File Download URL	Experiment Set Accession	Experiment Accession	File Accession	Size	md5sum	File Type	File Format	Experiment Type	Bio Rep No	Tech Rep No	Biosource	Biosource Type	Organism	Assay Details	Related File Relationship	Related File	Paired end	Lab	Project	Set Status	File Status	Publication	Notes
https://data.4dnucleome.org/files-processed/4DNFI5RMAGF9/@@download/4DNFI5RMAGF9.mcool	4DNES21VTCK2	4DNEXC8P1KZ6	4DNFI5RMAGF9	45441396	55fd2e479eb5e95d0327c2ce52ea6951	contact matrix	mcool	in situ Hi-C	1	1	GM12878	immortalized cell line	human	Enzyme: MboI	N/A	N/A	N/A	Erez Lieberman Aiden, BCM	External	released	released	Rao SS et al. (2014)	N/A
https://data.4dnucleome.org/files-processed/4DNFI6HDY7WZ/@@download/4DNFI6HDY7WZ.mcool	4DNES2M5JIGV	4DNEXENKINA2, 4DNEXZJZ5EBZ	4DNFI6HDY7WZ	26310980892	N/A	contact matrix	mcool	in situ Hi-C	1, 1	1, 2	H1-hESC (Tier 1)	stem cell derived cell line	human	Enzyme: DpnII	N/A	N/A	N/A	Job Dekker, UMMS	4DN	released	released	Krietenstein N et al. (2020)	N/A
https://data.4dnucleome.org/files-processed/4DNFITH978XV/@@download/4DNFITH978XV.mcool	4DNES4DGHDMX	4DNEXX13N3PT	4DNFITH978XV	1718209690	e9ee053f8e8b75e5547dcfa701b31605	contact matrix	mcool	in situ Hi-C	1	1	H1-hESC	stem cell derived cell line	human	Enzyme: NcoI	N/A	N/A	N/A	Job Dekker, UMMS	4DN	released	released	Correspondence: job.dekker@umassmed.edu	N/A
https://data.4dnucleome.org/files-processed/4DNFIBKJ25D4/@@download/4DNFIBKJ25D4.mcool	4DNESBJ1KYYH	4DNEXY1C3Y6L, 4DNEXV32FZGK, 4DNEX1OOVTSS, 4DNEX681LMAK	4DNFIBKJ25D4	275512524	9d5616f0249ee471d908ac6dbd847480	contact matrix	mcool	in situ Hi-C	1, 1, 1, 1	2, 4, 3, 1	GM12878	immortalized cell line	human	Enzyme: NcoI	N/A	N/A	N/A	Erez Lieberman Aiden, BCM	External	released	released	Rao SS et al. (2014)	N/A
https://data.4dnucleome.org/files-processed/4DNFI43WFPJ5/@@download/4DNFI43WFPJ5.mcool	4DNESECNR4O8	4DNEXLUNKQ9B, 4DNEX6MBIGEW, 4DNEX8ET72CE	4DNFI43WFPJ5	7210227246	a618f67c68a992ed8db07407e4e26458	contact matrix	mcool	in situ Hi-C	1, 1, 1	1, 3, 2	192627	primary cell	human	Enzyme: MboI	N/A	N/A	N/A	Erez Lieberman Aiden, BCM	External	released	released	Rao SS et al. (2014)	N/A
https://data.4dnucleome.org/files-processed/4DNFI7QWAH57/@@download/4DNFI7QWAH57.mcool	4DNESETP2XUO	4DNEX1S5EP3J	4DNFI7QWAH57	36804096	06bf3c55b6c8b9e0874d6dd5b897445f	contact matrix	mcool	in situ Hi-C	1	1	GM12878	immortalized cell line	human	Enzyme: HindIII	N/A	N/A	N/A	Erez Lieberman Aiden, BCM	External	released	released	Rao SS et al. (2014)	N/A
https://data.4dnucleome.org/files-processed/4DNFIRMZ7QTE/@@download/4DNFIRMZ7QTE.mcool	4DNESHFBC56P	4DNEX81QMZAN, 4DNEX2ET3OY1	4DNFIRMZ7QTE	3797356088	N/A	contact matrix	mcool	in situ Hi-C	1, 1	2, 1	HUVEC cell	primary cell	human	Enzyme: MboI	N/A	N/A	N/A	Erez Lieberman Aiden, BCM	External	released	released	Rao SS et al. (2014)	N/A
https://data.4dnucleome.org/files-processed/4DNFIT64Q7A3/@@download/4DNFIT64Q7A3.mcool	4DNESIU6F8HF	4DNEX25INNTK, 4DNEXMF4CO8O, 4DNEXZPB8C7E	4DNFIT64Q7A3	3920517229	3effe7e2de866532d765f05d03512bc2	contact matrix	mcool	in situ Hi-C	1, 1, 1	3, 1, 2	HAP-1	immortalized cell line	human	Enzyme: MboI	N/A	N/A	N/A	Benjamin Rowland, NKI	External	released	released	Haarhuis JHI et al. (2017)	N/A
https://data.4dnucleome.org/files-processed/4DNFIIV4M7TF/@@download/4DNFIIV4M7TF.mcool	4DNESJFTAURO	4DNEX2VLB31V, 4DNEXBLH67CB	4DNFIIV4M7TF	3227765188	7e9970a160cffec538d30e3be5082ee9	contact matrix	mcool	in situ Hi-C	1, 1	1, 2	GM12878	immortalized cell line	human	Enzyme: MboI	N/A	N/A	N/A	Erez Lieberman Aiden, BCM	External	released	released	Rao SS et al. (2014)	N/A

