Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR7702334_R1	20.52622788603766	42.0	76.0	0.0	622253376.0
SRR7702334_R2	17.91420707734578	43.0	76.0	0.0	622253376.0
SRR7702335_R1	17.25605451616488	42.0	76.0	0.0	538564230.0
SRR7702335_R2	15.49778834596377	43.0	76.0	0.0	538564230.0
SRR8446383_R1	25.90624835243193	44.0	76.0	10.0	498920758.0
SRR8446383_R2	22.389960996433132	45.0	76.0	10.0	498920758.0
SRR8446384_R1	21.813607548596366	42.0	76.0	10.0	441776838.0
SRR8446384_R2	19.370434923780437	43.0	76.0	20.0	441776838.0
SRR8446385_R1	0.8140488493233846	43.0	76.0	0.0	304303349.0
SRR8446385_R2	63.472365905598586	43.0	74.79576159380356	10.0	304303349.0
SRR8446386_R1	0.45712493523247133	41.0	76.0	0.0	303008126.0
SRR8446386_R2	51.08407444287487	41.0	74.99338287053067	10.0	303008126.0
SRR8446387_R1	22.12326019056306	42.0	76.0	20.0	487577302.0
SRR8446387_R2	15.229747807731414	42.0	76.0	10.0	487577302.0
