Label 1	Label 2	Sample 1	Sample 2	intersection	union-intersection	jaccard	n_intersections
H1	H1	Healthy_Patient1_2148.peak.chr.intersect.bed	Healthy_Patient1_2148.peak.chr.intersect.bed	3533969	3533969	1.0	8706
H1	H2	Healthy_Patient1_2148.peak.chr.intersect.bed	Healthy_Patient2_2150.peak.chr.intersect.bed	1005907	3752298	0.268078	3767
H1	H3	Healthy_Patient1_2148.peak.chr.intersect.bed	Healthy_Patient3_2152.peak.chr.intersect.bed	1954210	4285026	0.456056	5838
H1	H4	Healthy_Patient1_2148.peak.chr.intersect.bed	Healthy_Patient4_2154.peak.chr.intersect.bed	1568987	4330120	0.362343	4996
H1	H5	Healthy_Patient1_2148.peak.chr.intersect.bed	Healthy_Patient5_2145.peak.chr.intersect.bed	148219	3541844	0.041848	678
H1	H7	Healthy_Patient1_2148.peak.chr.intersect.bed	Healthy_Patient7_2074.peak.chr.intersect.bed	1487221	4209573	0.353295	4828
H1	H8	Healthy_Patient1_2148.peak.chr.intersect.bed	Healthy_Patient8_2072.peak.chr.intersect.bed	1184992	3974100	0.298179	4278
H1	T1	Healthy_Patient1_2148.peak.chr.intersect.bed	Tumor_Patient1_2147.peak.chr.intersect.bed	1670161	4148335	0.40261	5414
H1	T2	Healthy_Patient1_2148.peak.chr.intersect.bed	Tumor_Patient2_2149.peak.chr.intersect.bed	2924960	8614989	0.33952	7650
H1	T3	Healthy_Patient1_2148.peak.chr.intersect.bed	Tumor_Patient3_2151.peak.chr.intersect.bed	1858736	4848710	0.383346	5386
H1	T4	Healthy_Patient1_2148.peak.chr.intersect.bed	Tumor_Patient4_2153.peak.chr.intersect.bed	2932914	7854546	0.373403	7798
H1	T5	Healthy_Patient1_2148.peak.chr.intersect.bed	Tumor_Patient5_2146.peak.chr.intersect.bed	173113	3567008	0.0485317	801
H1	T7	Healthy_Patient1_2148.peak.chr.intersect.bed	Tumor_Patient7_2073.peak.chr.intersect.bed	2533076	5782135	0.438087	7195
H1	T8	Healthy_Patient1_2148.peak.chr.intersect.bed	Tumor_Patient8_2071.peak.chr.intersect.bed	3031994	9481633	0.319776	8007
H2	H2	Healthy_Patient2_2150.peak.chr.intersect.bed	Healthy_Patient2_2150.peak.chr.intersect.bed	1224236	1224236	1.0	4521
H2	H3	Healthy_Patient2_2150.peak.chr.intersect.bed	Healthy_Patient3_2152.peak.chr.intersect.bed	938966	2990537	0.313979	3598
H2	H4	Healthy_Patient2_2150.peak.chr.intersect.bed	Healthy_Patient4_2154.peak.chr.intersect.bed	799240	2790134	0.286452	3156
H2	H5	Healthy_Patient2_2150.peak.chr.intersect.bed	Healthy_Patient5_2145.peak.chr.intersect.bed	113005	1267325	0.0891681	550
H2	H7	Healthy_Patient2_2150.peak.chr.intersect.bed	Healthy_Patient7_2074.peak.chr.intersect.bed	678042	2709019	0.250291	2769
H2	H8	Healthy_Patient2_2150.peak.chr.intersect.bed	Healthy_Patient8_2072.peak.chr.intersect.bed	608983	2240376	0.271822	2567
H2	T1	Healthy_Patient2_2150.peak.chr.intersect.bed	Tumor_Patient1_2147.peak.chr.intersect.bed	788633	2720130	0.289925	3134
H2	T2	Healthy_Patient2_2150.peak.chr.intersect.bed	Tumor_Patient2_2149.peak.chr.intersect.bed	1154419	8075797	0.142948	4303
H2	T3	Healthy_Patient2_2150.peak.chr.intersect.bed	Tumor_Patient3_2151.peak.chr.intersect.bed	814614	3583099	0.227349	3112
H2	T4	Healthy_Patient2_2150.peak.chr.intersect.bed	Tumor_Patient4_2153.peak.chr.intersect.bed	1140509	7337218	0.155442	4282
H2	T5	Healthy_Patient2_2150.peak.chr.intersect.bed	Tumor_Patient5_2146.peak.chr.intersect.bed	118496	1311892	0.0903245	587
H2	T7	Healthy_Patient2_2150.peak.chr.intersect.bed	Tumor_Patient7_2073.peak.chr.intersect.bed	1008086	4997392	0.201722	3905
H2	T8	Healthy_Patient2_2150.peak.chr.intersect.bed	Tumor_Patient8_2071.peak.chr.intersect.bed	1120947	9082947	0.123412	4227
H3	H3	Healthy_Patient3_2152.peak.chr.intersect.bed	Healthy_Patient3_2152.peak.chr.intersect.bed	2705267	2705267	1.0	7572
H3	H4	Healthy_Patient3_2152.peak.chr.intersect.bed	Healthy_Patient4_2154.peak.chr.intersect.bed	1446720	3623685	0.39924	4718
H3	H5	Healthy_Patient3_2152.peak.chr.intersect.bed	Healthy_Patient5_2145.peak.chr.intersect.bed	139168	2722193	0.0511235	645
H3	H7	Healthy_Patient3_2152.peak.chr.intersect.bed	Healthy_Patient7_2074.peak.chr.intersect.bed	1117922	3750170	0.298099	3962
