File	Total_Reads_1	Total_Reads_2	Not_Truncated_Reads_1	Not_Truncated_Reads_2	Truncated_Read_1	Truncated_Read_2	Too_Short_To_Map_Read_1	Too_Short_To_Map_Read_2	Unique_Alignments_Read_1	Unique_Alignments_Read_2	Multiple_Alignments_Read_1	Multiple_Alignments_Read_2	Failed_To_Align_Read_1	Failed_To_Align_Read_2	Paired_Read_1	Paired_Read_2	Valid_Pairs	Invalid_Pairs	Same_Circularised	Same_Dangling_Ends	Same_Fragment_Internal	Re_Ligation	Contiguous_Sequence	Wrong_Size	Deduplication_Read_Pairs_Uniques	Deduplication_Cis_Close_Uniques	Deduplication_Cis_Far_Uniques	Deduplication_Trans_Uniques	Percentage_Mapped	Percentage_Valid	Percentage_Uniques	Percentage_Unique_Trans	Percentage_Ditags_Passed_Through_HiCUP
PCa13266	1389535976	1389535976	607182043	618374309	782353933	771161667	53651658	51561465	1103244176	1087006273	201813193	211131202	30826949	39837036	882549501	882549501	856747009	25802492	1525180	6852094	10450090	6975128	0	0	742238536	13880095	293506547	434851894	63.51	97.08	86.63	58.59	53.42
PCa13848	800792402	800792402	409434336	415023264	391358066	385769138	27157320	26121634	646230735	638042673	109165433	113492887	18238914	23135208	529352596	529352596	507422655	21929941	914239	8367303	7160977	5487422	0	0	453760108	19259206	224783726	209717176	66.1	95.86	89.42	46.22	56.66
PCa14121	1286763805	1286763805	509276651	514256325	777487154	772507480	43477429	42124937	1030482913	1023146799	189174158	194858680	23629305	26633389	832340036	832340036	820086820	12253216	1299848	2299014	5209137	3445217	0	0	702775038	9661234	236819624	456294180	64.68	98.53	85.7	64.93	54.62
PCa19121	975568062	975568062	398073355	404354545	577494707	571213517	37200511	35837977	784098475	776365620	138055509	142527536	16213567	20836929	635464202	635464202	626600530	8863672	734298	2429855	3268896	2430623	0	0	551512856	10821388	225866603	314824865	65.14	98.61	88.02	57.08	56.53
PCa3023	910246351	910246351	417561618	423813241	492684733	486433110	29720658	28612381	736749350	727786575	126949970	131546703	16826373	22300692	601570087	601570087	590710431	10859656	666575	2670627	4213438	3309016	0	0	521149327	13033814	229988430	278127083	66.09	98.19	88.22	53.37	57.25
PCa33173	1205322147	1205322147	511489151	519673725	693832996	685648422	38714352	37324160	978952247	968205990	166985157	172914321	20670391	26877676	803839467	803839467	793657971	10181496	706838	2715032	4074196	2685430	0	0	691754110	17857933	360384343	313511834	66.69	98.73	87.16	45.32	57.39
PCa40507	1178798192	1178798192	643569742	649441199	535228450	529356993	30506787	29367257	903731683	892011266	171763843	179153440	72795879	78266229	720006498	720006498	593455140	126551358	6417152	41361898	60279251	18493057	0	0	507435577	8253090	185948119	313234368	61.08	82.42	85.51	61.73	43.05
PCa51852	1493767986	1493767986	645090013	650481381	848677973	843286605	49825415	47963719	1189666803	1175466206	213350842	220959211	40924926	49378850	958134944	958134944	901184935	56950009	3554074	14946778	28087536	10361621	0	0	782621936	10126539	253879329	518616068	64.14	94.06	86.84	66.27	52.39
PCa53687	1085407955	1085407955	599683413	603856168	485724542	481551787	27273036	26374834	858964793	852089734	145098272	150188021	54071854	56755366	704227158	704227158	582591565	121635593	4407511	35160797	64312081	17755204	0	0	510842845	12376639	206039523	292426683	64.88	82.73	87.68	57.24	47.06
PCa56413	991964391	991964391	425717167	430593710	566247224	561370681	32051064	30984343	803091974	796362761	141152411	145428168	15668942	19189119	658645690	658645690	650112326	8533364	763645	2029725	3229125	2510869	0	0	558639759	12988610	246423906	299227243	66.4	98.7	85.93	53.56	56.32
PCa57054	1520264893	1520264893	643251363	652168580	877013530	868096313	39868618	38619136	1241176366	1228691297	206655843	214115405	32564066	38839055	1025142790	1025142790	994706510	30436280	2014388	11123475	11543166	5755251	0	0	819572526	16765629	324907563	477899334	67.43	97.03	82.39	58.31	53.91
PCa57294	1201129218	1201129218	508228265	515954406	692900953	685174812	38906242	37453803	971708786	962863959	168727409	173953044	21786781	26858412	794123093	794123093	782616675	11506418	1458046	2407267	4650071	2991034	0	0	665334470	10770222	273846946	380717302	66.11	98.55	85.01	57.22	55.39
PCa58215	985944750	985944750	434267779	440700958	551676971	545243792	32288534	31105443	795624384	787035152	140185042	144940051	17846790	22864104	649245358	649245358	637619169	11626189	797289	2900548	4975789	2952563	0	0	555528965	13563279	244950554	297015132	65.85	98.21	87.13	53.47	56.34
