Sample	HiCUP_mqc-generalstats-hicup-Percentage_Ditags_Passed_Through_HiCUP	HiCUP_mqc-generalstats-hicup-Deduplication_Read_Pairs_Uniques	HiCUP_mqc-generalstats-hicup-Percentage_Uniques	HiCUP_mqc-generalstats-hicup-Valid_Pairs	HiCUP_mqc-generalstats-hicup-Percentage_Valid	HiCUP_mqc-generalstats-hicup-Paired_Read_1	HiCUP_mqc-generalstats-hicup-Percentage_Mapped
Benign-Prostate-1595983	55.83	398229261.0	83.48	477019720.0	98.81	482806993.0	67.69
Benign-Prostate-1648133	57.86	397704639.0	84.28	471882151.0	99.14	475992372.0	69.25
Benign-Prostate-1664855	53.62	312900145.0	79.18	395194018.0	99.22	398308483.0	68.25
Benign-Prostate-3320942	53.82	389059009.0	81.04	480097076.0	97.43	492786270.0	68.17
Benign-Prostate-3330581	53.84	336034915.0	79.87	420738424.0	97.88	429859994.0	68.88
a13266	53.42	742238536.0	86.63	856747009.0	97.08	882549501.0	63.51
a13848	56.66	453760108.0	89.42	507422655.0	95.86	529352596.0	66.1
a14121	54.62	702775038.0	85.7	820086820.0	98.53	832340036.0	64.68
a19121	56.53	551512856.0	88.02	626600530.0	98.61	635464202.0	65.14
a3023	57.25	521149327.0	88.22	590710431.0	98.19	601570087.0	66.09
a33173	57.39	691754110.0	87.16	793657971.0	98.73	803839467.0	66.69
a40507	43.05	507435577.0	85.51	593455140.0	82.42	720006498.0	61.08
a51852	52.39	782621936.0	86.84	901184935.0	94.06	958134944.0	64.14
a53687	47.06	510842845.0	87.68	582591565.0	82.73	704227158.0	64.88
a56413	56.32	558639759.0	85.93	650112326.0	98.7	658645690.0	66.4
a57054	53.91	819572526.0	82.39	994706510.0	97.03	1025142790.0	67.43
a57294	55.39	665334470.0	85.01	782616675.0	98.55	794123093.0	66.11
a58215	56.34	555528965.0	87.13	637619169.0	98.21	649245358.0	65.85
