Sample	Total_Reads_1	Total_Reads_2	Not_Truncated_Reads_1	Not_Truncated_Reads_2	Truncated_Read_1	Truncated_Read_2	Too_Short_To_Map_Read_1	Too_Short_To_Map_Read_2	Unique_Alignments_Read_1	Unique_Alignments_Read_2	Multiple_Alignments_Read_1	Multiple_Alignments_Read_2	Failed_To_Align_Read_1	Failed_To_Align_Read_2	Paired_Read_1	Paired_Read_2	Valid_Pairs	Invalid_Pairs	Same_Circularised	Same_Dangling_Ends	Same_Fragment_Internal	Re_Ligation	Contiguous_Sequence	Wrong_Size	Deduplication_Read_Pairs_Uniques	Deduplication_Cis_Close_Uniques	Deduplication_Cis_Far_Uniques	Deduplication_Trans_Uniques	Percentage_Mapped	Percentage_Valid	Percentage_Uniques	Percentage_Unique_Trans	Percentage_Ditags_Passed_Through_HiCUP	Duplicate_Read_Pairs
Benign-Prostate-1595983	713291455.0	713291455.0	342197286.0	346211585.0	371094169.0	367079870.0	19913477.0	19392656.0	583210620.0	576807159.0	98904987.0	102148078.0	11262371.0	14943562.0	482806993.0	482806993.0	477019720.0	5787273.0	5787273.0	1367994.0	1715343.0	2314381.0	0.0	0.0	398229261.0	14680722.0	204632492.0	178916047.0	67.69	98.81	83.48	44.93	55.83	78790459.0
Benign-Prostate-1648133	687400947.0	687400947.0	363197791.0	367967650.0	324203156.0	319433297.0	17625663.0	17121031.0	569256706.0	561362438.0	91331095.0	94944742.0	9187483.0	13972736.0	475992372.0	475992372.0	471882151.0	4110221.0	4110221.0	924981.0	1015730.0	1876240.0	0.0	0.0	397704639.0	16052406.0	208306930.0	173345303.0	69.25	99.14	84.28	43.59	57.86	74177512.0
Benign-Prostate-1664855	583601116.0	583601116.0	270071681.0	273358079.0	313529435.0	310243037.0	16102199.0	15700178.0	478474052.0	473372903.0	81008342.0	83535785.0	8016523.0	10992250.0	398308483.0	398308483.0	395194018.0	3114465.0	3114465.0	514753.0	750080.0	1488063.0	0.0	0.0	312900145.0	15088321.0	176076385.0	121735439.0	68.25	99.22	79.18	38.91	53.62	82293873.0
Benign-Prostate-3320942	722912632.0	722912632.0	354999387.0	358901822.0	367913245.0	364010810.0	19198436.0	18738845.0	592050556.0	586103089.0	98693601.0	101651394.0	12970039.0	16419304.0	492786270.0	492786270.0	480097076.0	12689194.0	12689194.0	4612266.0	4305420.0	3216844.0	0.0	0.0	389059009.0	13167375.0	198037683.0	177853951.0	68.17	97.43	81.04	45.71	53.82	91038067.0
Benign-Prostate-3330581	624100242.0	624100242.0	303956729.0	308373309.0	320143513.0	315726933.0	14854426.0	14452538.0	513567797.0	507056118.0	84386014.0	87387612.0	11292005.0	15203974.0	429859994.0	429859994.0	420738424.0	9121570.0	9121570.0	2720767.0	3081398.0	2945649.0	0.0	0.0	336034915.0	13101002.0	197164019.0	125769894.0	68.88	97.88	79.87	37.43	53.84	84703509.0
a13266	1389535976.0	1389535976.0	607182043.0	618374309.0	782353933.0	771161667.0	53651658.0	51561465.0	1103244176.0	1087006273.0	201813193.0	211131202.0	30826949.0	39837036.0	882549501.0	882549501.0	856747009.0	25802492.0	1525180.0	6852094.0	10450090.0	6975128.0	0.0	0.0	742238536.0	13880095.0	293506547.0	434851894.0	63.51	97.08	86.63	58.59	53.42	114508473.0
a13848	800792402.0	800792402.0	409434336.0	415023264.0	391358066.0	385769138.0	27157320.0	26121634.0	646230735.0	638042673.0	109165433.0	113492887.0	18238914.0	23135208.0	529352596.0	529352596.0	507422655.0	21929941.0	914239.0	8367303.0	7160977.0	5487422.0	0.0	0.0	453760108.0	19259206.0	224783726.0	209717176.0	66.1	95.86	89.42	46.22	56.66	53662547.0
a14121	1286763805.0	1286763805.0	509276651.0	514256325.0	777487154.0	772507480.0	43477429.0	42124937.0	1030482913.0	1023146799.0	189174158.0	194858680.0	23629305.0	26633389.0	832340036.0	832340036.0	820086820.0	12253216.0	1299848.0	2299014.0	5209137.0	3445217.0	0.0	0.0	702775038.0	9661234.0	236819624.0	456294180.0	64.68	98.53	85.7	64.93	54.62	117311782.0
a19121	975568062.0	975568062.0	398073355.0	404354545.0	577494707.0	571213517.0	37200511.0	35837977.0	784098475.0	776365620.0	138055509.0	142527536.0	16213567.0	20836929.0	635464202.0	635464202.0	626600530.0	8863672.0	734298.0	2429855.0	3268896.0	2430623.0	0.0	0.0	551512856.0	10821388.0	225866603.0	314824865.0	65.14	98.61	88.02	57.08	56.53	75087674.0
a3023	910246351.0	910246351.0	417561618.0	423813241.0	492684733.0	486433110.0	29720658.0	28612381.0	736749350.0	727786575.0	126949970.0	131546703.0	16826373.0	22300692.0	601570087.0	601570087.0	590710431.0	10859656.0	666575.0	2670627.0	4213438.0	3309016.0	0.0	0.0	521149327.0	13033814.0	229988430.0	278127083.0	66.09	98.19	88.22	53.37	57.25	69561104.0
a33173	1205322147.0	1205322147.0	511489151.0	519673725.0	693832996.0	685648422.0	38714352.0	37324160.0	978952247.0	968205990.0	166985157.0	172914321.0	20670391.0	26877676.0	803839467.0	803839467.0	793657971.0	10181496.0	706838.0	2715032.0	4074196.0	2685430.0	0.0	0.0	691754110.0	17857933.0	360384343.0	313511834.0	66.69	98.73	87.16	45.32	57.39	101903861.0
a40507	1178798192.0	1178798192.0	643569742.0	649441199.0	535228450.0	529356993.0	30506787.0	29367257.0	903731683.0	892011266.0	171763843.0	179153440.0	72795879.0	78266229.0	720006498.0	720006498.0	593455140.0	126551358.0	6417152.0	41361898.0	60279251.0	18493057.0	0.0	0.0	507435577.0	8253090.0	185948119.0	313234368.0	61.08	82.42	85.51	61.73	43.05	86019563.0
a51852	1493767986.0	1493767986.0	645090013.0	650481381.0	848677973.0	843286605.0	49825415.0	47963719.0	1189666803.0	1175466206.0	213350842.0	220959211.0	40924926.0	49378850.0	958134944.0	958134944.0	901184935.0	56950009.0	3554074.0	14946778.0	28087536.0	10361621.0	0.0	0.0	782621936.0	10126539.0	253879329.0	518616068.0	64.14	94.06	86.84	66.27	52.39	118562999.0
a53687	1085407955.0	1085407955.0	599683413.0	603856168.0	485724542.0	481551787.0	27273036.0	26374834.0	858964793.0	852089734.0	145098272.0	150188021.0	54071854.0	56755366.0	704227158.0	704227158.0	582591565.0	121635593.0	4407511.0	35160797.0	64312081.0	17755204.0	0.0	0.0	510842845.0	12376639.0	206039523.0	292426683.0	64.88	82.73	87.68	57.24	47.06	71748720.0
a56413	991964391.0	991964391.0	425717167.0	430593710.0	566247224.0	561370681.0	32051064.0	30984343.0	803091974.0	796362761.0	141152411.0	145428168.0	15668942.0	19189119.0	658645690.0	658645690.0	650112326.0	8533364.0	763645.0	2029725.0	3229125.0	2510869.0	0.0	0.0	558639759.0	12988610.0	246423906.0	299227243.0	66.4	98.7	85.93	53.56	56.32	91472567.0
a57054	1520264893.0	1520264893.0	643251363.0	652168580.0	877013530.0	868096313.0	39868618.0	38619136.0	1241176366.0	1228691297.0	206655843.0	214115405.0	32564066.0	38839055.0	1025142790.0	1025142790.0	994706510.0	30436280.0	2014388.0	11123475.0	11543166.0	5755251.0	0.0	0.0	819572526.0	16765629.0	324907563.0	477899334.0	67.43	97.03	82.39	58.31	53.91	175133984.0
a57294	1201129218.0	1201129218.0	508228265.0	515954406.0	692900953.0	685174812.0	38906242.0	37453803.0	971708786.0	962863959.0	168727409.0	173953044.0	21786781.0	26858412.0	794123093.0	794123093.0	782616675.0	11506418.0	1458046.0	2407267.0	4650071.0	2991034.0	0.0	0.0	665334470.0	10770222.0	273846946.0	380717302.0	66.11	98.55	85.01	57.22	55.39	117282205.0
a58215	985944750.0	985944750.0	434267779.0	440700958.0	551676971.0	545243792.0	32288534.0	31105443.0	795624384.0	787035152.0	140185042.0	144940051.0	17846790.0	22864104.0	649245358.0	649245358.0	637619169.0	11626189.0	797289.0	2900548.0	4975789.0	2952563.0	0.0	0.0	555528965.0	13563279.0	244950554.0	297015132.0	65.85	98.21	87.13	53.47	56.34	82090204.0
