Module	Section	Sample Name	Source
HiCUP	all_sections	a51852	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Processed/2019-06-18_PCa-LowC-sequencing/Reports/HiCUP_summary_report_PCa51852.txt
HiCUP	all_sections	a33173	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Processed/2019-06-18_PCa-LowC-sequencing/Reports/HiCUP_summary_report_PCa33173.txt
HiCUP	all_sections	a14121	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Processed/2019-06-18_PCa-LowC-sequencing/Reports/HiCUP_summary_report_PCa14121.txt
HiCUP	all_sections	a57294	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Processed/2019-06-18_PCa-LowC-sequencing/Reports/HiCUP_summary_report_PCa57294.txt
HiCUP	all_sections	a19121	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Processed/2019-06-18_PCa-LowC-sequencing/Reports/HiCUP_summary_report_PCa19121.txt
HiCUP	all_sections	a57054	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Processed/2019-06-18_PCa-LowC-sequencing/Reports/HiCUP_summary_report_PCa57054.txt
HiCUP	all_sections	a56413	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Processed/2019-06-18_PCa-LowC-sequencing/Reports/HiCUP_summary_report_PCa56413.txt
HiCUP	all_sections	a13848	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Processed/2019-06-18_PCa-LowC-sequencing/Reports/HiCUP_summary_report_PCa13848.txt
HiCUP	all_sections	a53687	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Processed/2019-06-18_PCa-LowC-sequencing/Reports/HiCUP_summary_report_PCa53687.txt
HiCUP	all_sections	a40507	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Processed/2019-06-18_PCa-LowC-sequencing/Reports/HiCUP_summary_report_PCa40507.txt
HiCUP	all_sections	a3023	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Processed/2019-06-18_PCa-LowC-sequencing/Reports/HiCUP_summary_report_PCa3023.txt
HiCUP	all_sections	a58215	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Processed/2019-06-18_PCa-LowC-sequencing/Reports/HiCUP_summary_report_PCa58215.txt
HiCUP	all_sections	a13266	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Processed/2019-06-18_PCa-LowC-sequencing/Reports/HiCUP_summary_report_PCa13266.txt
