Sample	Total_pairs	Valid_pairs	Cis_<10kbp	Cis_>10kbp	Trans	Invalid_pairs	Same_circularised	Same_dangling_ends	Same_internal	Re-ligation	Contiguous_sequence	Wrong_size
PCa3023	601570087	590710431	14800971	261082423	314827037	10859656	666575	2670627	4213438	3309016	0	0
PCa13266	882549501	856747009	16100000	339701839	500945170	25802492	1525180	6852094	10450090	6975128	0	0
PCa13848	529352596	507422655	21621772	251912053	233888830	21929941	914239	8367303	7160977	5487422	0	0
PCa14121	832340036	820086820	11285403	276613939	532187478	12253216	1299848	2299014	5209137	3445217	0	0
PCa19121	635464202	626600530	12321690	257101546	357177294	8863672	734298	2429855	3268896	2430623	0	0
PCa33173	803839467	793657971	20543093	414455791	358659087	10181496	706838	2715032	4074196	2685430	0	0
PCa40507	720006498	593455140	9676475	218023975	365754690	126551358	6417152	41361898	60279251	18493057	0	0
PCa51852	958134944	901184935	11683102	292897198	596604635	56950009	3554074	14946778	28087536	10361621	0	0
PCa53687	704227158	582591565	14137041	235447321	333007203	121635593	4407511	35160797	64312081	17755204	0	0
PCa56413	658645690	650112326	15152683	287180570	347779073	8533364	763645	2029725	3229125	2510869	0	0
PCa57054	1025142790	994706510	20451766	395584242	578670502	30436280	2014388	11123475	11543166	5755251	0	0
PCa57294	794123093	782616675	12678504	322583549	447354622	11506418	1458046	2407267	4650071	2991034	0	0
PCa58215	649245358	637619169	15595870	281585590	340437709	11626189	797289	2900548	4975789	2952563	0	0
