Sample	Sequencing Batch	Lane	Read Mate	Total_Reads_Processed	Truncated	Not_truncated	Average_length_truncated_sequence
PCa13266	HKYH3DSXX	4	1	285283451	158712059	126571392	73.69
PCa13266	HKYH3DSXX	4	2	285283451	156391999	128891452	74.02
PCa13266	HLGJ3DSXX	1	1	279423107	158318457	121104650	73.64
PCa13266	HLGJ3DSXX	1	2	279423107	156201650	123221457	74.01
PCa13266	HLGJ3DSXX	2	1	278224433	157055179	121169254	73.67
PCa13266	HLGJ3DSXX	2	2	278224433	154796494	123427939	74.02
PCa13266	HLGJ3DSXX	3	1	271333169	153065491	118267678	73.67
PCa13266	HLGJ3DSXX	3	2	271333169	150726926	120606243	73.99
PCa13266	HLGJ3DSXX	4	1	275271816	155202747	120069069	73.67
PCa13266	HLGJ3DSXX	4	2	275271816	153044598	122227218	74.03
PCa13848	HKYH3DSXX	4	1	172237900	82961216	89276684	74.85
PCa13848	HKYH3DSXX	4	2	172237900	81797423	90440477	75.19
PCa13848	HLGJ3DSXX	1	1	158178447	77913186	80265261	74.73
PCa13848	HLGJ3DSXX	1	2	158178447	76876477	81301970	75.11
PCa13848	HLGJ3DSXX	2	1	159390243	78133836	81256407	74.78
PCa13848	HLGJ3DSXX	2	2	159390243	77007156	82383087	75.15
PCa13848	HLGJ3DSXX	3	1	154295042	75596738	78698304	74.77
PCa13848	HLGJ3DSXX	3	2	154295042	74402734	79892308	75.1
PCa13848	HLGJ3DSXX	4	1	156690770	76753090	79937680	74.77
PCa13848	HLGJ3DSXX	4	2	156690770	75685348	81005422	75.13
PCa14121	HKYH3DSXX	4	1	294685955	176152973	118532982	75.88
PCa14121	HKYH3DSXX	4	2	294685955	175122717	119563238	76.21
PCa14121	HLGJ3DSXX	1	1	251548476	152971810	98576666	75.8
PCa14121	HLGJ3DSXX	1	2	251548476	151981216	99567260	76.14
PCa14121	HLGJ3DSXX	2	1	249815947	151386209	98429738	75.84
PCa14121	HLGJ3DSXX	2	2	249815947	150334827	99481120	76.16
PCa14121	HLGJ3DSXX	3	1	243451429	147360763	96090666	75.84
PCa14121	HLGJ3DSXX	3	2	243451429	146365719	97085710	76.14
PCa14121	HLGJ3DSXX	4	1	247261998	149615399	97646599	75.83
PCa14121	HLGJ3DSXX	4	2	247261998	148703001	98558997	76.16
PCa19121	HKYH3DSXX	4	1	251476631	147330374	104146257	74.05
PCa19121	HKYH3DSXX	4	2	251476631	145809056	105667575	74.41
PCa19121	HLGJ3DSXX	1	1	182506221	108783250	73722971	74.02
PCa19121	HLGJ3DSXX	1	2	182506221	107638962	74867259	74.4
PCa19121	HLGJ3DSXX	2	1	182753562	108540186	74213376	74.03
PCa19121	HLGJ3DSXX	2	2	182753562	107286946	75466616	74.41
PCa19121	HLGJ3DSXX	3	1	178161839	105693668	72468171	74.05
PCa19121	HLGJ3DSXX	3	2	178161839	104453316	73708523	74.39
PCa19121	HLGJ3DSXX	4	1	180669809	107147229	73522580	74.04
PCa19121	HLGJ3DSXX	4	2	180669809	106025237	74644572	74.42
PCa3023	HKYH3DSXX	4	1	187529122	100059551	87469571	75.57
PCa3023	HKYH3DSXX	4	2	187529122	98786069	88743053	75.87
PCa3023	HLGJ3DSXX	1	1	182309600	99428326	82881274	75.53
PCa3023	HLGJ3DSXX	1	2	182309600	98239428	84070172	75.88
PCa3023	HLGJ3DSXX	2	1	182753824	99204285	83549539	75.57
PCa3023	HLGJ3DSXX	2	2	182753824	97927390	84826434	75.89
PCa3023	HLGJ3DSXX	3	1	177564383	96316786	81247597	75.57
PCa3023	HLGJ3DSXX	3	2	177564383	95003219	82561164	75.87
PCa3023	HLGJ3DSXX	4	1	180089422	97675785	82413637	75.57
PCa3023	HLGJ3DSXX	4	2	180089422	96477004	83612418	75.9
PCa33173	HKYH3DSXX	4	1	206228737	117212762	89015975	76.33
PCa33173	HKYH3DSXX	4	2	206228737	115794190	90434547	76.64
PCa33173	HLGJ3DSXX	1	1	252426433	146224321	106202112	76.33
PCa33173	HLGJ3DSXX	1	2	252426433	144586126	107840307	76.67
PCa33173	HLGJ3DSXX	2	1	252116377	145429091	106687286	76.36
PCa33173	HLGJ3DSXX	2	2	252116377	143696967	108419410	76.69
PCa33173	HLGJ3DSXX	3	1	245383314	141405660	103977654	76.36
PCa33173	HLGJ3DSXX	3	2	245383314	139605089	105778225	76.66
