Sample	Input read pairs	Uniquely aligned and properly paired	Valid Pairs	Unique valid pairs	Final contacts in canonical chromosomes
PCa3023	910246351	601570087	590710431	521149327	516231899
PCa13266	1389535976	882549501	856747009	742238536	734465993
PCa13848	800792402	529352596	507422655	453760108	448523558
PCa14121	1286763805	832340036	820086820	702775038	697046388
PCa19121	975568062	635464202	626600530	551512856	546868767
PCa33173	1205322147	803839467	793657971	691754110	686091855
PCa40507	1178798192	720006498	593455140	507435577	495673914
PCa51852	1493767986	958134944	901184935	782621936	773031656
PCa53687	1085407955	704227158	582591565	510842845	502063372
PCa56413	991964391	658645690	650112326	558639759	554350553
PCa57054	1520264893	1025142790	994706510	819572526	812084620
PCa57294	1201129218	794123093	782616675	665334470	659670320
PCa58215	985944750	649245358	637619169	555528965	550821375
