SampleID	T2E	Include	Type
PCa13266	No	Yes	Malignant
PCa13848	Yes	Yes	Malignant
PCa14121	No	Yes	Malignant
PCa19121	Yes	Yes	Malignant
PCa3023	Yes	Yes	Malignant
PCa33173	No	Yes	Malignant
PCa40507	Yes	Yes	Malignant
PCa51852	Yes	Yes	Malignant
PCa53687	No	Yes	Malignant
PCa56413	Yes	Yes	Malignant
PCa57294	No	Yes	Malignant
PCa58215	No	Yes	Malignant
Benign-Prostate-1595983	No	Yes	Benign
Benign-Prostate-1648133	No	Yes	Benign
Benign-Prostate-1664855	No	Yes	Benign
Benign-Prostate-3320942	No	Yes	Benign
Benign-Prostate-3330581	No	Yes	Benign
