Sample	Read_pairs_processed	Unique_di-tags	Cis_<10kbp_of_uniques	Cis_>10kbp_of_uniques	Trans_of_uniques
PCa3023	590710431	521149327	13033814	229988430	278127083
PCa13266	856747009	742238536	13880095	293506547	434851894
PCa13848	507422655	453760108	19259206	224783726	209717176
PCa14121	820086820	702775038	9661234	236819624	456294180
PCa19121	626600530	551512856	10821388	225866603	314824865
PCa33173	793657971	691754110	17857933	360384343	313511834
PCa40507	593455140	507435577	8253090	185948119	313234368
PCa51852	901184935	782621936	10126539	253879329	518616068
PCa53687	582591565	510842845	12376639	206039523	292426683
PCa56413	650112326	558639759	12988610	246423906	299227243
PCa57054	994706510	819572526	16765629	324907563	477899334
PCa57294	782616675	665334470	10770222	273846946	380717302
PCa58215	637619169	555528965	13563279	244950554	297015132
