Sample	Sequencing Batch	Lane	Read_pairs_processed	Unique_di-tags	Cis_<10kbp_of_uniques	Cis_>10kbp_of_uniques	Trans_of_uniques
PCa13266	HKYH3DSXX	4	177079291	155394460	2883217	60939709	91571534
PCa13266	HLGJ3DSXX	1	172601787	149138816	2794840	59128260	87215716
PCa13266	HLGJ3DSXX	2	171695490	148124902	2773170	58609656	86742076
PCa13266	HLGJ3DSXX	3	166550206	143817917	2696321	57064357	84057239
PCa13266	HLGJ3DSXX	4	168820235	145762441	2732547	57764565	85265329
PCa13848	HKYH3DSXX	4	109965387	99141314	4178354	48785703	46177257
PCa13848	HLGJ3DSXX	1	100364145	89699054	3812642	44535524	41350888
PCa13848	HLGJ3DSXX	2	101083188	90093327	3821759	44621484	41650084
PCa13848	HLGJ3DSXX	3	97276608	86719443	3700279	43111958	39907206
PCa13848	HLGJ3DSXX	4	98733327	88106970	3746172	43729057	40631741
PCa14121	HKYH3DSXX	4	189256100	163022504	2233508	54711491	106077505
PCa14121	HLGJ3DSXX	1	160472148	137329803	1888184	46351733	89089886
PCa14121	HLGJ3DSXX	2	159226144	136125987	1873031	45896256	88356700
PCa14121	HLGJ3DSXX	3	154475551	132259784	1819428	44629590	85810766
PCa14121	HLGJ3DSXX	4	156656877	134036960	1847083	45230554	86959323
PCa19121	HKYH3DSXX	4	162619541	143635667	2779848	58155733	82700086
PCa19121	HLGJ3DSXX	1	117334287	103289461	2036582	42514080	58738799
PCa19121	HLGJ3DSXX	2	117407756	103156068	2031438	42328581	58796049
PCa19121	HLGJ3DSXX	3	113886813	100041606	1972431	41175987	56893188
PCa19121	HLGJ3DSXX	4	115352133	101390054	2001089	41692222	57696743
PCa3023	HKYH3DSXX	4	122491697	109118336	2709036	47827202	58582098
PCa3023	HLGJ3DSXX	1	118504687	104384546	2614644	46178680	55591222
PCa3023	HLGJ3DSXX	2	118726543	104408111	2612323	46088094	55707694
PCa3023	HLGJ3DSXX	3	114722204	100921969	2531060	44662066	53728843
PCa3023	HLGJ3DSXX	4	116265300	102316365	2566751	45232388	54517226
PCa33173	HKYH3DSXX	4	136581460	121255508	3101253	62638610	55515645
PCa33173	HLGJ3DSXX	1	166600160	144774360	3743976	75604672	65425712
PCa33173	HLGJ3DSXX	2	166244970	144200617	3725207	75128529	65346881
PCa33173	HLGJ3DSXX	3	160962374	139738125	3616689	73015626	63105810
PCa33173	HLGJ3DSXX	4	163269007	141785500	3670808	73996906	64117786
PCa40507	HKYH3DSXX	4	130050287	112642199	1824614	40973335	69844250
PCa40507	HLGJ3DSXX	1	117381522	100139313	1628479	36796688	61714146
PCa40507	HLGJ3DSXX	2	116891035	99521082	1619485	36499081	61402516
PCa40507	HLGJ3DSXX	3	114028638	97072686	1580462	35670637	59821587
PCa40507	HLGJ3DSXX	4	115103658	98060297	1600050	36008378	60451869
PCa51852	HKYH3DSXX	4	172040108	151667759	1946680	48768559	100952520
PCa51852	HLGJ3DSXX	1	185240071	160377260	2079118	52184014	106114128
PCa51852	HLGJ3DSXX	2	184192172	159264447	2062990	51700721	105500736
PCa51852	HLGJ3DSXX	3	178631211	154607879	2003559	50285460	102318860
PCa51852	HLGJ3DSXX	4	181081373	156704591	2034192	50940575	103729824
PCa53687	HKYH3DSXX	4	139013322	122463185	2956684	49032648	70473853
PCa53687	HLGJ3DSXX	1	112310652	98443925	2387828	39824630	56231467
PCa53687	HLGJ3DSXX	2	112400376	98325486	2383727	39700681	56241078
PCa53687	HLGJ3DSXX	3	108664467	95124037	2307592	38476091	54340354
PCa53687	HLGJ3DSXX	4	110202748	96486212	2340808	39005473	55139931
PCa56413	HKYH3DSXX	4	120683321	105626491	2444221	46413728	56768542
PCa56413	HLGJ3DSXX	1	134331815	115034290	2679049	50799214	61556027
PCa56413	HLGJ3DSXX	2	133564203	114229078	2655365	50384775	61188938
PCa56413	HLGJ3DSXX	3	129965672	111185008	2591299	49125946	59467763
PCa56413	HLGJ3DSXX	4	131567315	112564892	2618676	49700243	60245973
PCa57054	HKYH3DSXX	4	197133177	164705451	3350617	64939284	96415550
PCa57054	HLGJ3DSXX	1	203031692	166583660	3415369	66156710	97011581
PCa57054	HLGJ3DSXX	2	201192791	165063343	3376129	65452738	96234476
PCa57054	HLGJ3DSXX	3	195222421	160478279	3289185	63754424	93434670
PCa57054	HLGJ3DSXX	4	198126429	162741793	3334329	64604407	94803057
PCa57294	HKYH3DSXX	4	156229865	134879669	2170634	55226272	77482763
PCa57294	HLGJ3DSXX	1	158199297	134191419	2178176	55337948	76675295
PCa57294	HLGJ3DSXX	2	157983043	133707603	2166816	55052545	76488242
PCa57294	HLGJ3DSXX	3	154578691	130762031	2118162	53909205	74734664
PCa57294	HLGJ3DSXX	4	155625779	131793748	2136434	54320976	75336338
PCa58215	HKYH3DSXX	4	132137050	116543572	2823985	51088031	62631556
PCa58215	HLGJ3DSXX	1	127671141	111035392	2715893	49060483	59259016
PCa58215	HLGJ3DSXX	2	127900877	110980366	2710232	48947364	59322770
PCa58215	HLGJ3DSXX	3	124364401	107939448	2643047	47703743	57592658
PCa58215	HLGJ3DSXX	4	125545700	109030187	2670122	48150933	58209132
