Sample	Sequencing Batch	Lane	Read Mate	Total_reads_processed	Reads_too_short_to_map	Unique_alignments	Multiple_alignments	Failed_to_align	Paired
PCa3023	HKYH3DSXX	4	1	187529122	6044270	152279156	25921702	3283994	124664377
PCa3023	HKYH3DSXX	4	2	187529122	5831578	150427248	26916964	4353332	124664377
PCa3023	HLGJ3DSXX	1	1	182309600	5994432	147605800	25418484	3290884	120687962
PCa3023	HLGJ3DSXX	1	2	182309600	5774577	145999610	26257601	4277812	120687962
PCa3023	HLGJ3DSXX	2	1	182753824	5982950	148041229	25450019	3279626	120906574
PCa3023	HLGJ3DSXX	2	2	182753824	5750897	146179859	26440057	4383011	120906574
PCa3023	HLGJ3DSXX	3	1	177564383	5806290	143469651	24867531	3420911	116855931
PCa3023	HLGJ3DSXX	3	2	177564383	5587484	141540487	25772569	4663843	116855931
PCa3023	HLGJ3DSXX	4	1	180089422	5892716	145353514	25292234	3550958	118455243
PCa3023	HLGJ3DSXX	4	2	180089422	5667845	143639371	26159512	4622694	118455243
PCa13266	HKYH3DSXX	4	1	285283451	10892611	227277290	41105432	6008118	182237689
PCa13266	HKYH3DSXX	4	2	285283451	10485374	223863195	43145644	7789238	182237689
PCa13266	HLGJ3DSXX	1	1	279423107	10851662	221908812	40564921	6097712	177816926
PCa13266	HLGJ3DSXX	1	2	279423107	10432473	218992316	42297489	7700829	177816926
PCa13266	HLGJ3DSXX	2	1	278224433	10762672	221055079	40370488	6036194	176862315
PCa13266	HLGJ3DSXX	2	2	278224433	10348247	217719324	42319187	7837675	176862315
PCa13266	HLGJ3DSXX	3	1	271333169	10498256	215047026	39558290	6229597	171622351
PCa13266	HLGJ3DSXX	3	2	271333169	10079714	211638508	41363784	8251163	171622351
PCa13266	HLGJ3DSXX	4	1	275271816	10646457	217955969	40214062	6455328	174010220
PCa13266	HLGJ3DSXX	4	2	275271816	10215657	214792930	42005098	8258131	174010220
PCa13848	HKYH3DSXX	4	1	172237900	5748646	139485257	23274298	3729699	114571589
PCa13848	HKYH3DSXX	4	2	172237900	5541331	137743073	24250326	4703170	114571589
PCa13848	HLGJ3DSXX	1	1	158178447	5408447	127670184	21543859	3555957	104731932
PCa13848	HLGJ3DSXX	1	2	158178447	5200614	126226223	22330882	4420728	104731932
PCa13848	HLGJ3DSXX	2	1	159390243	5418030	128710511	21704828	3556874	105449416
PCa13848	HLGJ3DSXX	2	2	159390243	5211298	127034602	22611489	4532854	105449416
PCa13848	HLGJ3DSXX	3	1	154295042	5252179	124281211	21127480	3634172	101529269
PCa13848	HLGJ3DSXX	3	2	154295042	5042882	122520004	21966223	4765933	101529269
PCa13848	HLGJ3DSXX	4	1	156690770	5330018	126083572	21514968	3762212	103070390
PCa13848	HLGJ3DSXX	4	2	156690770	5125509	124518771	22333967	4712523	103070390
PCa14121	HKYH3DSXX	4	1	294685955	9850611	236802028	42958275	5075041	191991433
PCa14121	HKYH3DSXX	4	2	294685955	9553816	235351011	44196514	5584614	191991433
PCa14121	HLGJ3DSXX	1	1	251548476	8550607	201512749	36981495	4503625	162866431
PCa14121	HLGJ3DSXX	1	2	251548476	8285492	200168064	38035471	5059449	162866431
PCa14121	HLGJ3DSXX	2	1	249815947	8464581	200183307	36708121	4459938	161611321
PCa14121	HLGJ3DSXX	2	2	249815947	8198591	198551291	37919196	5146869	161611321
PCa14121	HLGJ3DSXX	3	1	243451429	8238303	194574975	35940948	4697203	156803723
PCa14121	HLGJ3DSXX	3	2	243451429	7978490	193049169	37047814	5375956	156803723
PCa14121	HLGJ3DSXX	4	1	247261998	8373327	197409854	36585319	4893498	159067128
PCa14121	HLGJ3DSXX	4	2	247261998	8108548	196027264	37659685	5466501	159067128
PCa19121	HKYH3DSXX	4	1	251476631	9506424	202746438	35295899	3927870	164820409
PCa19121	HKYH3DSXX	4	2	251476631	9174616	200888450	36440187	4973378	164820409
PCa19121	HLGJ3DSXX	1	1	182506221	6998932	146711714	25838412	2957163	119006448
PCa19121	HLGJ3DSXX	1	2	182506221	6744995	145387592	26615934	3757700	119006448
PCa19121	HLGJ3DSXX	2	1	182753562	6986550	146961278	25854438	2951296	119075342
PCa19121	HLGJ3DSXX	2	2	182753562	6724074	145414078	26745595	3869815	119075342
PCa19121	HLGJ3DSXX	3	1	178161839	6803017	142914886	25321186	3122750	115523925
PCa19121	HLGJ3DSXX	3	2	178161839	6550062	141332406	26155428	4123943	115523925
PCa19121	HLGJ3DSXX	4	1	180669809	6905588	144764159	25745574	3254488	117038078
PCa19121	HLGJ3DSXX	4	2	180669809	6644230	143343094	26570392	4112093	117038078
PCa33173	HKYH3DSXX	4	1	206228737	6556076	168040606	28331227	3300828	138272206
PCa33173	HKYH3DSXX	4	2	206228737	6322691	166131816	29430982	4343248	138272206
PCa33173	HLGJ3DSXX	1	1	252426433	8153755	205137126	34936083	4199469	168731728
PCa33173	HLGJ3DSXX	1	2	252426433	7861242	203169580	36052262	5343349	168731728
PCa33173	HLGJ3DSXX	2	1	252116377	8106052	204960360	34877849	4172116	168368969
PCa33173	HLGJ3DSXX	2	2	252116377	7817725	202647261	36180001	5471390	168368969
PCa33173	HLGJ3DSXX	3	1	245383314	7883096	198976876	34118224	4405118	163042226
PCa33173	HLGJ3DSXX	3	2	245383314	7601882	196587287	35320032	5874113	163042226
PCa33173	HLGJ3DSXX	4	1	249167286	8015373	201837279	34721774	4592860	165424338
PCa33173	HLGJ3DSXX	4	2	249167286	7720620	199670046	35931044	5845576	165424338
PCa40507	HKYH3DSXX	4	1	255498351	6536451	196795078	36938306	15228516	157093854
PCa40507	HKYH3DSXX	4	2	255498351	6281042	194243051	38618405	16355853	157093854
PCa40507	HLGJ3DSXX	1	1	233192800	6074257	178712382	33970922	14435239	142572491
