File	Total_Reads_1	Total_Reads_2	Not_Truncated_Reads_1	Not_Truncated_Reads_2	Truncated_Read_1	Truncated_Read_2	Average_Length_Truncated_1	Average_Length_Truncated_2	Too_Short_To_Map_Read_1	Too_Short_To_Map_Read_2	Unique_Alignments_Read_1	Unique_Alignments_Read_2	Multiple_Alignments_Read_1	Multiple_Alignments_Read_2	Failed_To_Align_Read_1	Failed_To_Align_Read_2	Paired_Read_1	Paired_Read_2	Valid_Pairs	Invalid_Pairs	Same_Circularised	Same_Dangling_Ends	Same_Fragment_Internal	Re_Ligation	Contiguous_Sequence	Wrong_Size	Deduplication_Read_Pairs_Uniques	Deduplication_Cis_Close_Uniques	Deduplication_Cis_Far_Uniques	Deduplication_Trans_Uniques	Percentage_Mapped	Percentage_Valid	Percentage_Uniques	Percentage_Unique_Trans	Percentage_Ditags_Passed_Through_HiCUP
PCa13266	285283451	285283451	126571392	128891452	158712059	156391999	73.69	74.02	10892611	10485374	227277290	223863195	41105432	43145644	6008118	7789238	182237689	182237689	177079291	5158398	293835	1380613	2076382	1407568	0	0	155394460	2883217	60939709	91571534	63.88	97.17	87.75	58.93	54.47
PCa13848	172237900	172237900	89276684	90440477	82961216	81797423	74.85	75.19	5748646	5541331	139485257	137743073	23274298	24250326	3729699	4703170	114571589	114571589	109965387	4606202	181786	1766732	1490858	1166826	0	0	99141314	4178354	48785703	46177257	66.52	95.98	90.16	46.58	57.56
PCa14121	294685955	294685955	118532982	119563238	176152973	175122717	75.88	76.21	9850611	9553816	236802028	235351011	42958275	44196514	5075041	5584614	191991433	191991433	189256100	2735333	289448	519128	1155981	770776	0	0	163022504	2233508	54711491	106077505	65.15	98.58	86.14	65.07	55.32
PCa19121	251476631	251476631	104146257	105667575	147330374	145809056	74.05	74.41	9506424	9174616	202746438	200888450	35295899	36440187	3927870	4973378	164820409	164820409	162619541	2200868	178554	610200	803528	608586	0	0	143635667	2779848	58155733	82700086	65.54	98.66	88.33	57.58	57.12
PCa3023	187529122	187529122	87469571	88743053	100059551	98786069	75.57	75.87	6044270	5831578	152279156	150427248	25921702	26916964	3283994	4353332	124664377	124664377	122491697	2172680	130401	536829	836038	669412	0	0	109118336	2709036	47827202	58582098	66.48	98.26	89.08	53.69	58.19
PCa33173	206228737	206228737	89015975	90434547	117212762	115794190	76.33	76.64	6556076	6322691	168040606	166131816	28331227	29430982	3300828	4343248	138272206	138272206	136581460	1690746	115507	456938	671768	446533	0	0	121255508	3101253	62638610	55515645	67.05	98.78	88.78	45.78	58.8
PCa40507	255498351	255498351	141026357	142353811	114471994	113144540	75.66	76.04	6536451	6281042	196795078	194243051	36938306	38618405	15228516	16355853	157093854	157093854	130050287	27043567	1261856	8900256	12853867	4027588	0	0	112642199	1824614	40973335	69844250	61.49	82.79	86.61	62.01	44.09
PCa51852	283109981	283109981	123575725	125184951	159534256	157925030	75.02	75.37	9350193	9019126	226204787	223530204	40150702	41655930	7404299	8904721	182613984	182613984	172040108	10573876	634402	2794199	5200041	1945234	0	0	151667759	1946680	48768559	100952520	64.5	94.21	88.16	66.56	53.57
PCa53687	256683937	256683937	143080105	143970767	113603832	112713170	76.37	76.73	6381111	6183687	203769095	202333091	34116011	35268566	12417720	12898593	167491045	167491045	139013322	28477723	970389	8287446	14997402	4222486	0	0	122463185	2956684	49032648	70473853	65.25	83.0	88.09	57.55	47.71
PCa56413	182873200	182873200	79778135	80602582	103095065	102270618	76.36	76.67	5837042	5649916	148517400	147413278	25802543	26565892	2716215	3244114	122226230	122226230	120683321	1542909	137220	372174	579699	453816	0	0	105626491	2444221	46413728	56768542	66.84	98.74	87.52	53.74	57.76
PCa57054	299297771	299297771	128954458	130723860	170343313	168573911	78.88	79.15	7743061	7512816	245225987	242644542	40313905	41915384	6014818	7225029	202996897	202996897	197133177	5863720	374407	2161846	2209048	1118419	0	0	164705451	3350617	64939284	96415550	67.82	97.11	83.55	58.54	55.03
PCa57294	238309004	238309004	102502016	104058281	135806988	134250723	76.33	76.69	7639861	7346501	193381350	191661554	33202520	34296534	4085273	5004415	158473772	158473772	156229865	2243907	284530	477026	899861	582490	0	0	134879669	2170634	55226272	77482763	66.5	98.58	86.33	57.45	56.6
PCa58215	202949172	202949172	90750057	92036381	112199115	110912791	75.69	76.0	6573973	6344611	164322910	162578516	28610929	29643632	3441360	4382413	134464175	134464175	132137050	2327125	155728	585657	990213	595527	0	0	116543572	2823985	51088031	62631556	66.26	98.27	88.2	53.74	57.43
