File	Total_reads_processed	Reads_too_short_to_map	%Reads_too_short_to_map	Unique_alignments	%Unique_alignments	Multiple_alignments	%Multiple_alignments	Failed_to_align	%failed_to_align	Paired	%Paired
PCa13266_R1.trunc.fastq.gz	285283451	10892611	3.8	227277290	79.7	41105432	14.4	6008118	2.1	182237689	63.9
PCa13266_R2.trunc.fastq.gz	285283451	10485374	3.7	223863195	78.5	43145644	15.1	7789238	2.7	182237689	63.9
PCa13848_R1.trunc.fastq.gz	172237900	5748646	3.3	139485257	81.0	23274298	13.5	3729699	2.2	114571589	66.5
PCa13848_R2.trunc.fastq.gz	172237900	5541331	3.2	137743073	80.0	24250326	14.1	4703170	2.7	114571589	66.5
PCa14121_R1.trunc.fastq.gz	294685955	9850611	3.3	236802028	80.4	42958275	14.6	5075041	1.7	191991433	65.2
PCa14121_R2.trunc.fastq.gz	294685955	9553816	3.2	235351011	79.9	44196514	15.0	5584614	1.9	191991433	65.2
PCa19121_R1.trunc.fastq.gz	251476631	9506424	3.8	202746438	80.6	35295899	14.0	3927870	1.6	164820409	65.5
PCa19121_R2.trunc.fastq.gz	251476631	9174616	3.6	200888450	79.9	36440187	14.5	4973378	2.0	164820409	65.5
PCa3023_R1.trunc.fastq.gz	187529122	6044270	3.2	152279156	81.2	25921702	13.8	3283994	1.8	124664377	66.5
PCa3023_R2.trunc.fastq.gz	187529122	5831578	3.1	150427248	80.2	26916964	14.4	4353332	2.3	124664377	66.5
PCa33173_R1.trunc.fastq.gz	206228737	6556076	3.2	168040606	81.5	28331227	13.7	3300828	1.6	138272206	67.0
PCa33173_R2.trunc.fastq.gz	206228737	6322691	3.1	166131816	80.6	29430982	14.3	4343248	2.1	138272206	67.0
PCa40507_R1.trunc.fastq.gz	255498351	6536451	2.6	196795078	77.0	36938306	14.5	15228516	6.0	157093854	61.5
PCa40507_R2.trunc.fastq.gz	255498351	6281042	2.5	194243051	76.0	38618405	15.1	16355853	6.4	157093854	61.5
PCa51852_R1.trunc.fastq.gz	283109981	9350193	3.3	226204787	79.9	40150702	14.2	7404299	2.6	182613984	64.5
PCa51852_R2.trunc.fastq.gz	283109981	9019126	3.2	223530204	79.0	41655930	14.7	8904721	3.1	182613984	64.5
PCa53687_R1.trunc.fastq.gz	256683937	6381111	2.5	203769095	79.4	34116011	13.3	12417720	4.8	167491045	65.3
PCa53687_R2.trunc.fastq.gz	256683937	6183687	2.4	202333091	78.8	35268566	13.7	12898593	5.0	167491045	65.3
PCa56413_R1.trunc.fastq.gz	182873200	5837042	3.2	148517400	81.2	25802543	14.1	2716215	1.5	122226230	66.8
PCa56413_R2.trunc.fastq.gz	182873200	5649916	3.1	147413278	80.6	26565892	14.5	3244114	1.8	122226230	66.8
PCa57054_R1.trunc.fastq.gz	299297771	7743061	2.6	245225987	81.9	40313905	13.5	6014818	2.0	202996897	67.8
PCa57054_R2.trunc.fastq.gz	299297771	7512816	2.5	242644542	81.1	41915384	14.0	7225029	2.4	202996897	67.8
PCa57294_R1.trunc.fastq.gz	238309004	7639861	3.2	193381350	81.1	33202520	13.9	4085273	1.7	158473772	66.5
PCa57294_R2.trunc.fastq.gz	238309004	7346501	3.1	191661554	80.4	34296534	14.4	5004415	2.1	158473772	66.5
PCa58215_R1.trunc.fastq.gz	202949172	6573973	3.2	164322910	81.0	28610929	14.1	3441360	1.7	134464175	66.3
PCa58215_R2.trunc.fastq.gz	202949172	6344611	3.1	162578516	80.1	29643632	14.6	4382413	2.2	134464175	66.3
