File	Total_Reads_Processed	Truncated	%Truncated	Not_truncated	%Not_truncated	Average_length_truncated_sequence
PCa13266_R1.fastq.gz	285283451	158712059	55.63	126571392	44.37	73.69
PCa13266_R2.fastq.gz	285283451	156391999	54.82	128891452	45.18	74.02
PCa13848_R1.fastq.gz	172237900	82961216	48.17	89276684	51.83	74.85
PCa13848_R2.fastq.gz	172237900	81797423	47.49	90440477	52.51	75.19
PCa14121_R1.fastq.gz	294685955	176152973	59.78	118532982	40.22	75.88
PCa14121_R2.fastq.gz	294685955	175122717	59.43	119563238	40.57	76.21
PCa19121_R1.fastq.gz	251476631	147330374	58.59	104146257	41.41	74.05
PCa19121_R2.fastq.gz	251476631	145809056	57.98	105667575	42.02	74.41
PCa3023_R1.fastq.gz	187529122	100059551	53.36	87469571	46.64	75.57
PCa3023_R2.fastq.gz	187529122	98786069	52.68	88743053	47.32	75.87
PCa33173_R1.fastq.gz	206228737	117212762	56.84	89015975	43.16	76.33
PCa33173_R2.fastq.gz	206228737	115794190	56.15	90434547	43.85	76.64
PCa40507_R1.fastq.gz	255498351	114471994	44.8	141026357	55.2	75.66
PCa40507_R2.fastq.gz	255498351	113144540	44.28	142353811	55.72	76.04
PCa51852_R1.fastq.gz	283109981	159534256	56.35	123575725	43.65	75.02
PCa51852_R2.fastq.gz	283109981	157925030	55.78	125184951	44.22	75.37
PCa53687_R1.fastq.gz	256683937	113603832	44.26	143080105	55.74	76.37
PCa53687_R2.fastq.gz	256683937	112713170	43.91	143970767	56.09	76.73
PCa56413_R1.fastq.gz	182873200	103095065	56.38	79778135	43.62	76.36
PCa56413_R2.fastq.gz	182873200	102270618	55.92	80602582	44.08	76.67
PCa57294_R1.fastq.gz	238309004	135806988	56.99	102502016	43.01	76.33
PCa57294_R2.fastq.gz	238309004	134250723	56.33	104058281	43.67	76.69
PCa58215_R1.fastq.gz	202949172	112199115	55.28	90750057	44.72	75.69
PCa58215_R2.fastq.gz	202949172	110912791	54.65	92036381	45.35	76.0
