File	Total_Reads_Processed	Truncated	%Truncated	Not_truncated	%Not_truncated	Average_length_truncated_sequence
PCa57054_L003_R1.fastq.gz	299607751	173192233	57.81	126415518	42.19	78.82
PCa57054_L003_R2.fastq.gz	299607751	171333882	57.19	128273869	42.81	79.09
PCa14121_L001_R1.fastq.gz	251548476	152971810	60.81	98576666	39.19	75.8
PCa14121_L001_R2.fastq.gz	251548476	151981216	60.42	99567260	39.58	76.14
PCa13848_L002_R1.fastq.gz	159390243	78133836	49.02	81256407	50.98	74.78
PCa13848_L002_R2.fastq.gz	159390243	77007156	48.31	82383087	51.69	75.15
PCa51852_L002_R1.fastq.gz	304985916	174024314	57.06	130961602	42.94	75.0
PCa51852_L002_R2.fastq.gz	304985916	172173214	56.45	132812702	43.55	75.37
PCa3023_L001_R1.fastq.gz	182309600	99428326	54.54	82881274	45.46	75.53
PCa3023_L001_R2.fastq.gz	182309600	98239428	53.89	84070172	46.11	75.88
PCa40507_L003_R1.fastq.gz	227870165	103647674	45.49	124222491	54.51	75.57
PCa40507_L003_R2.fastq.gz	227870165	102444162	44.96	125426003	55.04	75.9
PCa57054_L001_R1.fastq.gz	309750829	179906792	58.08	129844037	41.92	78.77
PCa57054_L001_R2.fastq.gz	309750829	178195904	57.53	131554925	42.47	79.09
PCa40507_L001_R1.fastq.gz	233192800	106630991	45.73	126561809	54.27	75.54
PCa40507_L001_R2.fastq.gz	233192800	105555302	45.27	127637498	54.73	75.91
PCa33173_L003_R1.fastq.gz	245383314	141405660	57.63	103977654	42.37	76.36
PCa33173_L003_R2.fastq.gz	245383314	139605089	56.89	105778225	43.11	76.66
PCa14121_L003_R1.fastq.gz	243451429	147360763	60.53	96090666	39.47	75.84
PCa14121_L003_R2.fastq.gz	243451429	146365719	60.12	97085710	39.88	76.14
PCa53687_L003_R1.fastq.gz	203575824	91238123	44.82	112337701	55.18	76.38
PCa53687_L003_R2.fastq.gz	203575824	90390421	44.4	113185403	55.6	76.72
PCa57054_L004_R1.fastq.gz	304410188	175918996	57.79	128491192	42.21	78.8
PCa57054_L004_R2.fastq.gz	304410188	174191403	57.22	130218785	42.78	79.11
PCa57054_L002_R1.fastq.gz	307198354	177652196	57.83	129546158	42.17	78.81
PCa57054_L002_R2.fastq.gz	307198354	175801213	57.23	131397141	42.77	79.11
