Sample	Unique Alignments	Multiple Alignments	Failed To Align	Too short to map
a13266_L001 Read 1	221908812.0	40564921.0	6097712.0	10851662.0
a13266_L001 Read 2	218992316.0	42297489.0	7700829.0	10432473.0
a13266_L002 Read 1	221055079.0	40370488.0	6036194.0	10762672.0
a13266_L002 Read 2	217719324.0	42319187.0	7837675.0	10348247.0
a13266_L003 Read 1	215047026.0	39558290.0	6229597.0	10498256.0
a13266_L003 Read 2	211638508.0	41363784.0	8251163.0	10079714.0
a13266_L004 Read 1	217955969.0	40214062.0	6455328.0	10646457.0
a13266_L004 Read 2	214792930.0	42005098.0	8258131.0	10215657.0
a13848_L001 Read 1	127670184.0	21543859.0	3555957.0	5408447.0
a13848_L001 Read 2	126226223.0	22330882.0	4420728.0	5200614.0
a13848_L002 Read 1	128710511.0	21704828.0	3556874.0	5418030.0
a13848_L002 Read 2	127034602.0	22611489.0	4532854.0	5211298.0
a13848_L003 Read 1	124281211.0	21127480.0	3634172.0	5252179.0
a13848_L003 Read 2	122520004.0	21966223.0	4765933.0	5042882.0
a13848_L004 Read 1	126083572.0	21514968.0	3762212.0	5330018.0
a13848_L004 Read 2	124518771.0	22333967.0	4712523.0	5125509.0
a14121_L001 Read 1	201512749.0	36981495.0	4503625.0	8550607.0
a14121_L001 Read 2	200168064.0	38035471.0	5059449.0	8285492.0
a14121_L002 Read 1	200183307.0	36708121.0	4459938.0	8464581.0
a14121_L002 Read 2	198551291.0	37919196.0	5146869.0	8198591.0
a14121_L003 Read 1	194574975.0	35940948.0	4697203.0	8238303.0
a14121_L003 Read 2	193049169.0	37047814.0	5375956.0	7978490.0
a14121_L004 Read 1	197409854.0	36585319.0	4893498.0	8373327.0
a14121_L004 Read 2	196027264.0	37659685.0	5466501.0	8108548.0
a19121_L001 Read 1	146711714.0	25838412.0	2957163.0	6998932.0
a19121_L001 Read 2	145387592.0	26615934.0	3757700.0	6744995.0
a19121_L002 Read 1	146961278.0	25854438.0	2951296.0	6986550.0
a19121_L002 Read 2	145414078.0	26745595.0	3869815.0	6724074.0
a19121_L003 Read 1	142914886.0	25321186.0	3122750.0	6803017.0
a19121_L003 Read 2	141332406.0	26155428.0	4123943.0	6550062.0
a19121_L004 Read 1	144764159.0	25745574.0	3254488.0	6905588.0
a19121_L004 Read 2	143343094.0	26570392.0	4112093.0	6644230.0
a3023_L001 Read 1	147605800.0	25418484.0	3290884.0	5994432.0
a3023_L001 Read 2	145999610.0	26257601.0	4277812.0	5774577.0
a3023_L002 Read 1	148041229.0	25450019.0	3279626.0	5982950.0
a3023_L002 Read 2	146179859.0	26440057.0	4383011.0	5750897.0
a3023_L003 Read 1	143469651.0	24867531.0	3420911.0	5806290.0
a3023_L003 Read 2	141540487.0	25772569.0	4663843.0	5587484.0
a3023_L004 Read 1	145353514.0	25292234.0	3550958.0	5892716.0
a3023_L004 Read 2	143639371.0	26159512.0	4622694.0	5667845.0
a33173_L001 Read 1	205137126.0	34936083.0	4199469.0	8153755.0
a33173_L001 Read 2	203169580.0	36052262.0	5343349.0	7861242.0
a33173_L002 Read 1	204960360.0	34877849.0	4172116.0	8106052.0
a33173_L002 Read 2	202647261.0	36180001.0	5471390.0	7817725.0
a33173_L003 Read 1	198976876.0	34118224.0	4405118.0	7883096.0
a33173_L003 Read 2	196587287.0	35320032.0	5874113.0	7601882.0
a33173_L004 Read 1	201837279.0	34721774.0	4592860.0	8015373.0
a33173_L004 Read 2	199670046.0	35931044.0	5845576.0	7720620.0
a40507_L001 Read 1	178712382.0	33970922.0	14435239.0	6074257.0
a40507_L001 Read 2	176598266.0	35338860.0	15398424.0	5857250.0
a40507_L002 Read 1	178011029.0	33788087.0	14278837.0	6022501.0
a40507_L002 Read 2	175608661.0	35320011.0	15372847.0	5798935.0
a40507_L003 Read 1	174326604.0	33331065.0	14306152.0	5906344.0
a40507_L003 Read 2	171895949.0	34742760.0	15549075.0	5682381.0
a40507_L004 Read 1	175886590.0	33735463.0	14547135.0	5967234.0
a40507_L004 Read 2	173665339.0	35133404.0	15590030.0	5747649.0
a51852_L001 Read 1	244243960.0	43738437.0	8278970.0	10280100.0
a51852_L001 Read 2	241607661.0	45175631.0	9859180.0	9898995.0
a51852_L002 Read 1	243097074.0	43509642.0	8191373.0	10187827.0
a51852_L002 Read 2	240086205.0	45147775.0	9943732.0	9808204.0
a51852_L003 Read 1	236450964.0	42616932.0	8385928.0	9929716.0
a51852_L003 Read 2	233371576.0	44144399.0	10322381.0	9545184.0
a51852_L004 Read 1	239670018.0	43335129.0	8664356.0	10077579.0
a51852_L004 Read 2	236870560.0	44835476.0	10348836.0	9692210.0
a53687_L001 Read 1	165569219.0	27917176.0	10393744.0	5288484.0
a53687_L001 Read 2	164333933.0	28844640.0	10874869.0	5115181.0
a53687_L002 Read 1	165781795.0	27963374.0	10348842.0	5276910.0
a53687_L002 Read 2	164305462.0	29030117.0	10934454.0	5100888.0
a53687_L003 Read 1	160802742.0	27312933.0	10337365.0	5122784.0
a53687_L003 Read 2	159370784.0	28294439.0	10961941.0	4948660.0
a53687_L004 Read 1	163041942.0	27788778.0	10574183.0	5203747.0
a53687_L004 Read 2	161746464.0	28750259.0	11085509.0	5026418.0
a56413_L001 Read 1	165773572.0	29101015.0	3130301.0	6655210.0
a56413_L001 Read 2	164492042.0	29938515.0	3799542.0	6429999.0
a56413_L002 Read 1	164977770.0	28937076.0	3101915.0	6585223.0
a56413_L002 Read 2	163483962.0	29871888.0	3877306.0	6368828.0
a56413_L003 Read 1	160910430.0	28431765.0	3290669.0	6441201.0
a56413_L003 Read 2	159396195.0	29313958.0	4139950.0	6223962.0
a56413_L004 Read 1	162912802.0	28880012.0	3429842.0	6532388.0
a56413_L004 Read 2	161577284.0	29737915.0	4128207.0	6311638.0
a57054_L001 Read 1	252984263.0	42069558.0	6515422.0	8181586.0
