Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
PCa13266_L001_R1	PCa13266_L001_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	279423107.0	0.0	151.0	42.0	78.43728099297593	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
PCa13266_L001_R2	PCa13266_L001_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	279423107.0	0.0	151.0	42.0	81.71696758470779	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
PCa13266_L002_R1	PCa13266_L002_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	278224433.0	0.0	151.0	42.0	77.20560481769986	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
PCa13266_L002_R2	PCa13266_L002_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	278224433.0	0.0	151.0	42.0	77.38656987871893	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
PCa13266_L003_R1	PCa13266_L003_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	271333169.0	0.0	151.0	42.0	80.51436204384932	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
PCa13266_L003_R2	PCa13266_L003_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	271333169.0	0.0	151.0	42.0	80.92675880667583	151.0	pass	pass	warn	pass	warn	warn	pass	pass	pass	pass	pass
PCa13266_L004_R1	PCa13266_L004_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	275271816.0	0.0	151.0	42.0	80.93786462242602	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
PCa13266_L004_R2	PCa13266_L004_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	275271816.0	0.0	151.0	42.0	85.28311299452177	151.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
PCa13848_L001_R1	PCa13848_L001_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	158178447.0	0.0	151.0	42.0	77.98897813732492	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
PCa13848_L001_R2	PCa13848_L001_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	158178447.0	0.0	151.0	42.0	80.04548657020081	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
PCa13848_L002_R1	PCa13848_L002_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	159390243.0	0.0	151.0	42.0	76.44962439614733	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
PCa13848_L002_R2	PCa13848_L002_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	159390243.0	0.0	151.0	42.0	76.62713665872282	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
