File	Total_Reads_1	Total_Reads_2	Not_Truncated_Reads_1	Not_Truncated_Reads_2	Truncated_Read_1	Truncated_Read_2	Average_Length_Truncated_1	Average_Length_Truncated_2	Too_Short_To_Map_Read_1	Too_Short_To_Map_Read_2	Unique_Alignments_Read_1	Unique_Alignments_Read_2	Multiple_Alignments_Read_1	Multiple_Alignments_Read_2	Failed_To_Align_Read_1	Failed_To_Align_Read_2	Paired_Read_1	Paired_Read_2	Valid_Pairs	Invalid_Pairs	Same_Circularised	Same_Dangling_Ends	Same_Fragment_Internal	Re_Ligation	Contiguous_Sequence	Wrong_Size	Deduplication_Read_Pairs_Uniques	Deduplication_Cis_Close_Uniques	Deduplication_Cis_Far_Uniques	Deduplication_Trans_Uniques	Percentage_Mapped	Percentage_Valid	Percentage_Uniques	Percentage_Unique_Trans	Percentage_Ditags_Passed_Through_HiCUP
PCa13266_L001	279423107	279423107	121104650	123221457	158318457	156201650	73.64	74.01	10851662	10432473	221908812	218992316	40564921	42297489	6097712	7700829	177816926	177816926	172601787	5215139	315324	1386065	2115471	1398279	0	0	149138816	2794840	59128260	87215716	63.64	97.07	86.41	58.48	53.37
PCa13266_L002	278224433	278224433	121169254	123427939	157055179	154796494	73.67	74.02	10762672	10348247	221055079	217719324	40370488	42319187	6036194	7837675	176862315	176862315	171695490	5166825	307936	1373632	2091421	1393836	0	0	148124902	2773170	58609656	86742076	63.57	97.08	86.27	58.56	53.24
PCa13266_L003	271333169	271333169	118267678	120606243	153065491	150726926	73.67	73.99	10498256	10079714	215047026	211638508	39558290	41363784	6229597	8251163	171622351	171622351	166550206	5072145	300791	1342916	2059100	1369338	0	0	143817917	2696321	57064357	84057239	63.25	97.04	86.35	58.45	53.0
PCa13266_L004	275271816	275271816	120069069	122227218	155202747	153044598	73.67	74.03	10646457	10215657	217955969	214792930	40214062	42005098	6455328	8258131	174010220	174010220	168820235	5189985	307294	1368868	2107716	1406107	0	0	145762441	2732547	57764565	85265329	63.21	97.02	86.34	58.5	52.95
PCa13848_L001	158178447	158178447	80265261	81301970	77913186	76876477	74.73	75.11	5408447	5200614	127670184	126226223	21543859	22330882	3555957	4420728	104731932	104731932	100364145	4367787	186947	1667984	1428175	1084681	0	0	89699054	3812642	44535524	41350888	66.21	95.83	89.37	46.1	56.71
PCa13848_L002	159390243	159390243	81256407	82383087	78133836	77007156	74.78	75.15	5418030	5211298	128710511	127034602	21704828	22611489	3556874	4532854	105449416	105449416	101083188	4366228	184253	1663741	1428010	1090224	0	0	90093327	3821759	44621484	41650084	66.16	95.86	89.13	46.23	56.52
PCa13848_L003	154295042	154295042	78698304	79892308	75596738	74402734	74.77	75.1	5252179	5042882	124281211	122520004	21127480	21966223	3634172	4765933	101529269	101529269	97276608	4252661	178496	1620700	1390865	1062600	0	0	86719443	3700279	43111958	39907206	65.8	95.81	89.15	46.02	56.2
PCa13848_L004	156690770	156690770	79937680	81005422	76753090	75685348	74.77	75.13	5330018	5125509	126083572	124518771	21514968	22333967	3762212	4712523	103070390	103070390	98733327	4337063	182757	1648146	1423069	1083091	0	0	88106970	3746172	43729057	40631741	65.78	95.79	89.24	46.12	56.23
PCa14121_L001	251548476	251548476	98576666	99567260	152971810	151981216	75.8	76.14	8550607	8285492	201512749	200168064	36981495	38035471	4503625	5059449	162866431	162866431	160472148	2394283	257967	451063	1017278	667975	0	0	137329803	1888184	46351733	89089886	64.75	98.53	85.58	64.87	54.59
PCa14121_L002	249815947	249815947	98429738	99481120	151386209	150334827	75.84	76.16	8464581	8198591	200183307	198551291	36708121	37919196	4459938	5146869	161611321	161611321	159226144	2385177	254855	448999	1013109	668214	0	0	136125987	1873031	45896256	88356700	64.69	98.52	85.49	64.91	54.49
PCa14121_L003	243451429	243451429	96090666	97085710	147360763	146365719	75.84	76.14	8238303	7978490	194574975	193049169	35940948	37047814	4697203	5375956	156803723	156803723	154475551	2328172	246293	433601	991585	656693	0	0	132259784	1819428	44629590	85810766	64.41	98.52	85.62	64.88	54.33
PCa14121_L004	247261998	247261998	97646599	98558997	149615399	148703001	75.83	76.16	8373327	8108548	197409854	196027264	36585319	37659685	4893498	5466501	159067128	159067128	156656877	2410251	251285	446223	1031184	681559	0	0	134036960	1847083	45230554	86959323	64.33	98.48	85.56	64.88	54.21
PCa19121_L001	182506221	182506221	73722971	74867259	108783250	107638962	74.02	74.4	6998932	6744995	146711714	145387592	25838412	26615934	2957163	3757700	119006448	119006448	117334287	1672161	141794	458995	617415	453957	0	0	103289461	2036582	42514080	58738799	65.21	98.59	88.03	56.87	56.6
PCa19121_L002	182753562	182753562	74213376	75466616	108540186	107286946	74.03	74.41	6986550	6724074	146961278	145414078	25854438	26745595	2951296	3869815	119075342	119075342	117407756	1667586	139524	456957	615921	455184	0	0	103156068	2031438	42328581	58796049	65.16	98.6	87.86	57.0	56.45
PCa19121_L003	178161839	178161839	72468171	73708523	105693668	104453316	74.05	74.39	6803017	6550062	142914886	141332406	25321186	26155428	3122750	4123943	115523925	115523925	113886813	1637112	135565	447056	604800	449691	0	0	100041606	1972431	41175987	56893188	64.84	98.58	87.84	56.87	56.15
PCa19121_L004	180669809	180669809	73522580	74644572	107147229	106025237	74.04	74.42	6905588	6644230	144764159	143343094	25745574	26570392	3254488	4112093	117038078	117038078	115352133	1685945	138861	456647	627232	463205	0	0	101390054	2001089	41692222	57696743	64.78	98.56	87.9	56.91	56.12
PCa3023_L001	182309600	182309600	82881274	84070172	99428326	98239428	75.53	75.88	5994432	5774577	147605800	145999610	25418484	26257601	3290884	4277812	120687962	120687962	118504687	2183275	137025	539034	848590	658626	0	0	104384546	2614644	46178680	55591222	66.2	98.19	88.08	53.26	57.26
PCa3023_L002	182753824	182753824	83549539	84826434	99204285	97927390	75.57	75.89	5982950	5750897	148041229	146179859	25450019	26440057	3279626	4383011	120906574	120906574	118726543	2180031	134459	537909	844720	662943	0	0	104408111	2612323	46088094	55707694	66.16	98.2	87.94	53.36	57.13
PCa3023_L003	177564383	177564383	81247597	82561164	96316786	95003219	75.57	75.87	5806290	5587484	143469651	141540487	24867531	25772569	3420911	4663843	116855931	116855931	114722204	2133727	131029	522015	829520	651163	0	0	100921969	2531060	44662066	53728843	65.81	98.17	87.97	53.24	56.84
PCa3023_L004	180089422	180089422	82413637	83612418	97675785	96477004	75.57	75.9	5892716	5667845	145353514	143639371	25292234	26159512	3550958	4622694	118455243	118455243	116265300	2189943	133661	534840	854570	666872	0	0	102316365	2566751	45232388	54517226	65.78	98.15	88.0	53.28	56.81
PCa33173_L001	252426433	252426433	106202112	107840307	146224321	144586126	76.33	76.67	8153755	7861242	205137126	203169580	34936083	36052262	4199469	5343349	168731728	168731728	166600160	2131568	150939	570039	853740	556850	0	0	144774360	3743976	75604672	65425712	66.84	98.74	86.9	45.19	57.35
PCa33173_L002	252116377	252116377	106687286	108419410	145429091	143696967	76.36	76.69	8106052	7817725	204960360	202647261	34877849	36180001	4172116	5471390	168368969	168368969	166244970	2123999	148247	568025	849277	558450	0	0	144200617	3725207	75128529	65346881	66.78	98.74	86.74	45.32	57.2
PCa33173_L003	245383314	245383314	103977654	105778225	141405660	139605089	76.36	76.66	7883096	7601882	198976876	196587287	34118224	35320032	4405118	5874113	163042226	163042226	160962374	2079852	143985	552128	833905	549834	0	0	139738125	3616689	73015626	63105810	66.44	98.72	86.81	45.16	56.95
PCa33173_L004	249167286	249167286	105606124	107201236	143561162	141966050	76.35	76.69	8015373	7720620	201837279	199670046	34721774	35931044	4592860	5845576	165424338	165424338	163269007	2155331	148160	567902	865506	573763	0	0	141785500	3670808	73996906	64117786	66.39	98.7	86.84	45.22	56.9
PCa40507_L001	233192800	233192800	126561809	127637498	106630991	105555302	75.54	75.91	6074257	5857250	178712382	176598266	33970922	35338860	14435239	15398424	142572491	142572491	117381522	25190969	1319416	8217366	12009279	3644908	0	0	100139313	1628479	36796688	61714146	61.14	82.33	85.31	61.63	42.94
PCa40507_L002	232100454	232100454	126330719	127505337	105769735	104595117	75.57	75.93	6022501	5798935	178011029	175608661	33788087	35320011	14278837	15372847	141833229	141833229	116891035	24942194	1284500	8142128	11875769	3639797	0	0	99521082	1619485	36499081	61402516	61.11	82.41	85.14	61.7	42.88
PCa40507_L003	227870165	227870165	124222491	125426003	103647674	102444162	75.57	75.9	5906344	5682381	174326604	171895949	33331065	34742760	14306152	15549075	138599843	138599843	114028638	24571205	1266930	8017705	11715138	3571432	0	0	97072686	1580462	35670637	59821587	60.82	82.27	85.13	61.63	42.6
PCa40507_L004	230136422	230136422	125428366	126518550	104708056	103617872	75.57	75.93	5967234	5747649	175886590	173665339	33735463	35133404	14547135	15590030	139907081	139907081	115103658	24803423	1284450	8084443	11825198	3609332	0	0	98060297	1600050	36008378	60451869	60.79	82.27	85.19	61.65	42.61
PCa51852_L001	306541467	306541467	131069692	132791384	175471775	173750083	74.97	75.35	10280100	9898995	244243960	241607661	43738437	45175631	8278970	9859180	197003122	197003122	185240071	11763051	747576	3087392	5806624	2121459	0	0	160377260	2079118	52184014	106114128	64.27	94.03	86.58	66.17	52.32
PCa51852_L002	304985916	304985916	130961602	132812702	174024314	172173214	75.0	75.37	10187827	9808204	243097074	240086205	43509642	45147775	8191373	9943732	195829794	195829794	184192172	11637622	731128	3052228	5739066	2115200	0	0	159264447	2062990	51700721	105500736	64.21	94.06	86.47	66.24	52.22
PCa51852_L003	297383540	297383540	127948560	129834876	169434980	167548664	75.0	75.35	9929716	9545184	236450964	233371576	42616932	44144399	8385928	10322381	190015456	190015456	178631211	11384245	712683	2983955	5618576	2069031	0	0	154607879	2003559	50285460	102318860	63.9	94.01	86.55	66.18	51.99
PCa51852_L004	301747082	301747082	131534434	129857468	170212648	171889614	75.38	75.0	10077579	9692210	239670018	236870560	43335129	44835476	8664356	10348836	192672588	192672588	181081373	11591215	728285	3029004	5723229	2110697	0	0	156704591	2034192	50940575	103729824	63.85	93.98	86.54	66.19	51.93
PCa53687_L001	209168623	209168623	114909287	115715739	94259336	93452884	76.35	76.73	5288484	5115181	165569219	164333933	27917176	28844640	10393744	10874869	135873119	135873119	112310652	23562467	878956	6794729	12480806	3407976	0	0	98443925	2387828	39824630	56231467	64.96	82.66	87.65	57.12	47.06
PCa53687_L002	209370921	209370921	115361681	116214879	94009240	93156042	76.37	76.74	5276910	5100888	165781795	164305462	27963374	29030117	10348842	10934454	135866005	135866005	112400376	23465629	860856	6775057	12409869	3419847	0	0	98325486	2383727	39700681	56241078	64.89	82.73	87.48	57.2	46.96
PCa53687_L003	203575824	203575824	112337701	113185403	91238123	90390421	76.38	76.72	5122784	4948660	160802742	159370784	27312933	28294439	10337365	10961941	131573082	131573082	108664467	22908615	840874	6608263	12133959	3325519	0	0	95124037	2307592	38476091	54340354	64.63	82.59	87.54	57.13	46.73
PCa53687_L004	206608650	206608650	113994639	114769380	92614011	91839270	76.37	76.74	5203747	5026418	163041942	161746464	27788778	28750259	10574183	11085509	133423907	133423907	110202748	23221159	856436	6695302	12290045	3379376	0	0	96486212	2340808	39005473	55139931	64.58	82.6	87.55	57.15	46.7
PCa56413_L001	204660098	204660098	87087785	88081444	117572313	116578654	76.3	76.63	6655210	6429999	165773572	164492042	29101015	29938515	3130301	3799542	136086287	136086287	134331815	1754472	159349	419421	663090	512612	0	0	115034290	2679049	50799214	61556027	66.49	98.71	85.63	53.51	56.21
PCa56413_L002	203601984	203601984	87112453	88173828	116489531	115428156	76.33	76.64	6585223	6368828	164977770	163483962	28937076	29871888	3101915	3877306	135310917	135310917	133564203	1746714	157476	414718	661017	513503	0	0	114229078	2655365	50384775	61188938	66.46	98.71	85.52	53.57	56.1
PCa56413_L003	199074065	199074065	85277419	86336732	113796646	112737333	76.33	76.62	6441201	6223962	160910430	159396195	28431765	29313958	3290669	4139950	131678353	131678353	129965672	1712681	153077	405627	648960	505017	0	0	111185008	2591299	49125946	59467763	66.15	98.7	85.55	53.49	55.85
