File	Total_reads_processed	Reads_too_short_to_map	%Reads_too_short_to_map	Unique_alignments	%Unique_alignments	Multiple_alignments	%Multiple_alignments	Failed_to_align	%failed_to_align	Paired	%Paired
PCa13266_L001_R1.trunc.fastq.gz	279423107	10851662	3.9	221908812	79.4	40564921	14.5	6097712	2.2	177816926	63.6
PCa13266_L001_R2.trunc.fastq.gz	279423107	10432473	3.7	218992316	78.4	42297489	15.1	7700829	2.8	177816926	63.6
PCa33173_L002_R1.trunc.fastq.gz	252116377	8106052	3.2	204960360	81.3	34877849	13.8	4172116	1.7	168368969	66.8
PCa33173_L002_R2.trunc.fastq.gz	252116377	7817725	3.1	202647261	80.4	36180001	14.4	5471390	2.2	168368969	66.8
PCa53687_L001_R1.trunc.fastq.gz	209168623	5288484	2.5	165569219	79.2	27917176	13.3	10393744	5.0	135873119	65.0
PCa53687_L001_R2.trunc.fastq.gz	209168623	5115181	2.4	164333933	78.6	28844640	13.8	10874869	5.2	135873119	65.0
PCa33173_L004_R1.trunc.fastq.gz	249167286	8015373	3.2	201837279	81.0	34721774	13.9	4592860	1.8	165424338	66.4
PCa33173_L004_R2.trunc.fastq.gz	249167286	7720620	3.1	199670046	80.1	35931044	14.4	5845576	2.3	165424338	66.4
PCa57294_L003_R1.trunc.fastq.gz	238148586	7718698	3.2	192365173	80.8	33565864	14.1	4498851	1.9	156860038	65.9
PCa57294_L003_R2.trunc.fastq.gz	238148586	7431067	3.1	190403994	80.0	34607207	14.5	5706318	2.4	156860038	65.9
PCa58215_L001_R1.trunc.fastq.gz	197101435	6494897	3.3	159107795	80.7	28017956	14.2	3480787	1.8	130000822	66.0
PCa58215_L001_R2.trunc.fastq.gz	197101435	6259484	3.2	157569965	79.9	28888684	14.7	4383302	2.2	130000822	66.0
PCa58215_L004_R1.trunc.fastq.gz	195158636	6401727	3.3	157043378	80.5	27925196	14.3	3788335	1.9	127891642	65.5
PCa58215_L004_R2.trunc.fastq.gz	195158636	6162010	3.2	155388044	79.6	28833888	14.8	4774694	2.4	127891642	65.5
PCa57054_L003_R1.trunc.fastq.gz	299607751	7867587	2.6	244159871	81.5	40899728	13.7	6680565	2.2	201241173	67.2
PCa57054_L003_R2.trunc.fastq.gz	299607751	7620438	2.5	241499735	80.6	42358724	14.1	8128854	2.7	201241173	67.2
PCa19121_L003_R1.trunc.fastq.gz	178161839	6803017	3.8	142914886	80.2	25321186	14.2	3122750	1.8	115523925	64.8
PCa19121_L003_R2.trunc.fastq.gz	178161839	6550062	3.7	141332406	79.3	26155428	14.7	4123943	2.3	115523925	64.8
PCa58215_L002_R1.trunc.fastq.gz	197578594	6482844	3.3	159562002	80.8	28061005	14.2	3472743	1.8	130231477	65.9
PCa58215_L002_R2.trunc.fastq.gz	197578594	6241592	3.2	157774363	79.9	29066154	14.7	4496485	2.3	130231477	65.9
PCa53687_L002_R1.trunc.fastq.gz	209370921	5276910	2.5	165781795	79.2	27963374	13.4	10348842	4.9	135866005	64.9
PCa53687_L002_R2.trunc.fastq.gz	209370921	5100888	2.4	164305462	78.5	29030117	13.9	10934454	5.2	135866005	64.9
PCa57054_L001_R1.trunc.fastq.gz	309750829	8181586	2.6	252984263	81.7	42069558	13.6	6515422	2.1	209265218	67.6
PCa57054_L001_R2.trunc.fastq.gz	309750829	7922868	2.6	250761692	81.0	43440524	14.0	7625745	2.5	209265218	67.6
PCa56413_L001_R1.trunc.fastq.gz	204660098	6655210	3.3	165773572	81.0	29101015	14.2	3130301	1.5	136086287	66.5
PCa56413_L001_R2.trunc.fastq.gz	204660098	6429999	3.1	164492042	80.4	29938515	14.6	3799542	1.9	136086287	66.5
PCa13266_L002_R1.trunc.fastq.gz	278224433	10762672	3.9	221055079	79.5	40370488	14.5	6036194	2.2	176862315	63.6
PCa13266_L002_R2.trunc.fastq.gz	278224433	10348247	3.7	217719324	78.3	42319187	15.2	7837675	2.8	176862315	63.6
PCa58215_L003_R1.trunc.fastq.gz	193156913	6335093	3.3	155588299	80.6	27569956	14.3	3663565	1.9	126657242	65.6
PCa58215_L003_R2.trunc.fastq.gz	193156913	6097746	3.2	153724264	79.6	28507693	14.8	4827210	2.5	126657242	65.6
PCa14121_L002_R1.trunc.fastq.gz	249815947	8464581	3.4	200183307	80.1	36708121	14.7	4459938	1.8	161611321	64.7
PCa14121_L002_R2.trunc.fastq.gz	249815947	8198591	3.3	198551291	79.5	37919196	15.2	5146869	2.1	161611321	64.7
PCa57294_L002_R1.trunc.fastq.gz	242230536	7865579	3.2	196108226	81.0	33988243	14.0	4268488	1.8	160301822	66.2
PCa57294_L002_R2.trunc.fastq.gz	242230536	7565202	3.1	194247213	80.2	35101740	14.5	5316381	2.2	160301822	66.2
PCa19121_L001_R1.trunc.fastq.gz	182506221	6998932	3.8	146711714	80.4	25838412	14.2	2957163	1.6	119006448	65.2
PCa19121_L001_R2.trunc.fastq.gz	182506221	6744995	3.7	145387592	79.7	26615934	14.6	3757700	2.1	119006448	65.2
PCa53687_L004_R1.trunc.fastq.gz	206608650	5203747	2.5	163041942	78.9	27788778	13.4	10574183	5.1	133423907	64.6
PCa53687_L004_R2.trunc.fastq.gz	206608650	5026418	2.4	161746464	78.3	28750259	13.9	11085509	5.4	133423907	64.6
PCa3023_L003_R1.trunc.fastq.gz	177564383	5806290	3.3	143469651	80.8	24867531	14.0	3420911	1.9	116855931	65.8
PCa3023_L003_R2.trunc.fastq.gz	177564383	5587484	3.1	141540487	79.7	25772569	14.5	4663843	2.6	116855931	65.8
PCa51852_L003_R1.trunc.fastq.gz	297383540	9929716	3.3	236450964	79.5	42616932	14.3	8385928	2.8	190015456	63.9
PCa51852_L003_R2.trunc.fastq.gz	297383540	9545184	3.2	233371576	78.5	44144399	14.8	10322381	3.5	190015456	63.9
PCa14121_L001_R1.trunc.fastq.gz	251548476	8550607	3.4	201512749	80.1	36981495	14.7	4503625	1.8	162866431	64.7
PCa14121_L001_R2.trunc.fastq.gz	251548476	8285492	3.3	200168064	79.6	38035471	15.1	5059449	2.0	162866431	64.7
PCa57054_L004_R1.trunc.fastq.gz	304410188	8000999	2.6	247818177	81.4	41663307	13.7	6927705	2.3	204292187	67.1
PCa57054_L004_R2.trunc.fastq.gz	304410188	7747142	2.5	245411967	80.6	43100408	14.2	8150671	2.7	204292187	67.1
PCa33173_L001_R1.trunc.fastq.gz	252426433	8153755	3.2	205137126	81.3	34936083	13.8	4199469	1.7	168731728	66.8
PCa33173_L001_R2.trunc.fastq.gz	252426433	7861242	3.1	203169580	80.5	36052262	14.3	5343349	2.1	168731728	66.8
PCa3023_L001_R1.trunc.fastq.gz	182309600	5994432	3.3	147605800	81.0	25418484	13.9	3290884	1.8	120687962	66.2
PCa3023_L001_R2.trunc.fastq.gz	182309600	5774577	3.2	145999610	80.1	26257601	14.4	4277812	2.3	120687962	66.2
PCa14121_L004_R1.trunc.fastq.gz	247261998	8373327	3.4	197409854	79.8	36585319	14.8	4893498	2.0	159067128	64.3
PCa14121_L004_R2.trunc.fastq.gz	247261998	8108548	3.3	196027264	79.3	37659685	15.2	5466501	2.2	159067128	64.3
PCa40507_L004_R1.trunc.fastq.gz	230136422	5967234	2.6	175886590	76.4	33735463	14.7	14547135	6.3	139907081	60.8
PCa40507_L004_R2.trunc.fastq.gz	230136422	5747649	2.5	173665339	75.5	35133404	15.3	15590030	6.8	139907081	60.8
PCa13848_L004_R1.trunc.fastq.gz	156690770	5330018	3.4	126083572	80.5	21514968	13.7	3762212	2.4	103070390	65.8
PCa13848_L004_R2.trunc.fastq.gz	156690770	5125509	3.3	124518771	79.5	22333967	14.3	4712523	3.0	103070390	65.8
PCa57054_L002_R1.trunc.fastq.gz	307198354	8075385	2.6	250988068	81.7	41709345	13.6	6425556	2.1	207347315	67.5
PCa57054_L002_R2.trunc.fastq.gz	307198354	7815872	2.5	248373361	80.9	43300365	14.1	7708756	2.5	207347315	67.5
PCa19121_L002_R1.trunc.fastq.gz	182753562	6986550	3.8	146961278	80.4	25854438	14.1	2951296	1.6	119075342	65.2
PCa19121_L002_R2.trunc.fastq.gz	182753562	6724074	3.7	145414078	79.6	26745595	14.6	3869815	2.1	119075342	65.2
PCa57294_L001_R1.trunc.fastq.gz	242401704	7895846	3.3	196175855	80.9	34044323	14.0	4285680	1.8	160517601	66.2
PCa57294_L001_R2.trunc.fastq.gz	242401704	7620309	3.1	194588326	80.3	35000050	14.4	5193019	2.1	160517601	66.2
PCa3023_L004_R1.trunc.fastq.gz	180089422	5892716	3.3	145353514	80.7	25292234	14.0	3550958	2.0	118455243	65.8
PCa3023_L004_R2.trunc.fastq.gz	180089422	5667845	3.1	143639371	79.8	26159512	14.5	4622694	2.6	118455243	65.8
PCa13848_L002_R1.trunc.fastq.gz	159390243	5418030	3.4	128710511	80.8	21704828	13.6	3556874	2.2	105449416	66.2
PCa13848_L002_R2.trunc.fastq.gz	159390243	5211298	3.3	127034602	79.7	22611489	14.2	4532854	2.8	105449416	66.2
PCa57294_L004_R1.trunc.fastq.gz	240039388	7786258	3.2	193678182	80.7	33926459	14.1	4648489	1.9	157969860	65.8
PCa57294_L004_R2.trunc.fastq.gz	240039388	7490724	3.1	191962872	80.0	34947513	14.6	5638279	2.3	157969860	65.8
PCa40507_L002_R1.trunc.fastq.gz	232100454	6022501	2.6	178011029	76.7	33788087	14.6	14278837	6.2	141833229	61.1
PCa40507_L002_R2.trunc.fastq.gz	232100454	5798935	2.5	175608661	75.7	35320011	15.2	15372847	6.6	141833229	61.1
PCa13266_L003_R1.trunc.fastq.gz	271333169	10498256	3.9	215047026	79.3	39558290	14.6	6229597	2.3	171622351	63.3
PCa13266_L003_R2.trunc.fastq.gz	271333169	10079714	3.7	211638508	78.0	41363784	15.2	8251163	3.0	171622351	63.3
PCa51852_L002_R1.trunc.fastq.gz	304985916	10187827	3.3	243097074	79.7	43509642	14.3	8191373	2.7	195829794	64.2
PCa51852_L002_R2.trunc.fastq.gz	304985916	9808204	3.2	240086205	78.7	45147775	14.8	9943732	3.3	195829794	64.2
PCa56413_L002_R1.trunc.fastq.gz	203601984	6585223	3.2	164977770	81.0	28937076	14.2	3101915	1.5	135310917	66.5
PCa56413_L002_R2.trunc.fastq.gz	203601984	6368828	3.1	163483962	80.3	29871888	14.7	3877306	1.9	135310917	66.5
PCa19121_L004_R1.trunc.fastq.gz	180669809	6905588	3.8	144764159	80.1	25745574	14.3	3254488	1.8	117038078	64.8
PCa19121_L004_R2.trunc.fastq.gz	180669809	6644230	3.7	143343094	79.3	26570392	14.7	4112093	2.3	117038078	64.8
PCa14121_L003_R1.trunc.fastq.gz	243451429	8238303	3.4	194574975	79.9	35940948	14.8	4697203	1.9	156803723	64.4
PCa14121_L003_R2.trunc.fastq.gz	243451429	7978490	3.3	193049169	79.3	37047814	15.2	5375956	2.2	156803723	64.4
PCa13848_L003_R1.trunc.fastq.gz	154295042	5252179	3.4	124281211	80.5	21127480	13.7	3634172	2.4	101529269	65.8
PCa13848_L003_R2.trunc.fastq.gz	154295042	5042882	3.3	122520004	79.4	21966223	14.2	4765933	3.1	101529269	65.8
PCa13848_L001_R1.trunc.fastq.gz	158178447	5408447	3.4	127670184	80.7	21543859	13.6	3555957	2.2	104731932	66.2
PCa13848_L001_R2.trunc.fastq.gz	158178447	5200614	3.3	126226223	79.8	22330882	14.1	4420728	2.8	104731932	66.2
PCa3023_L002_R1.trunc.fastq.gz	182753824	5982950	3.3	148041229	81.0	25450019	13.9	3279626	1.8	120906574	66.2
PCa3023_L002_R2.trunc.fastq.gz	182753824	5750897	3.1	146179859	80.0	26440057	14.5	4383011	2.4	120906574	66.2
PCa33173_L003_R1.trunc.fastq.gz	245383314	7883096	3.2	198976876	81.1	34118224	13.9	4405118	1.8	163042226	66.4
PCa33173_L003_R2.trunc.fastq.gz	245383314	7601882	3.1	196587287	80.1	35320032	14.4	5874113	2.4	163042226	66.4
PCa56413_L004_R1.trunc.fastq.gz	201755044	6532388	3.2	162912802	80.7	28880012	14.3	3429842	1.7	133343903	66.1
PCa56413_L004_R2.trunc.fastq.gz	201755044	6311638	3.1	161577284	80.1	29737915	14.7	4128207	2.0	133343903	66.1
PCa53687_L003_R1.trunc.fastq.gz	203575824	5122784	2.5	160802742	79.0	27312933	13.4	10337365	5.1	131573082	64.6
PCa53687_L003_R2.trunc.fastq.gz	203575824	4948660	2.4	159370784	78.3	28294439	13.9	10961941	5.4	131573082	64.6
PCa56413_L003_R1.trunc.fastq.gz	199074065	6441201	3.2	160910430	80.8	28431765	14.3	3290669	1.7	131678353	66.1
PCa56413_L003_R2.trunc.fastq.gz	199074065	6223962	3.1	159396195	80.1	29313958	14.7	4139950	2.1	131678353	66.1
PCa13266_L004_R1.trunc.fastq.gz	275271816	10646457	3.9	217955969	79.2	40214062	14.6	6455328	2.3	174010220	63.2
PCa13266_L004_R2.trunc.fastq.gz	275271816	10215657	3.7	214792930	78.0	42005098	15.3	8258131	3.0	174010220	63.2
PCa51852_L001_R1.trunc.fastq.gz	306541467	10280100	3.4	244243960	79.7	43738437	14.3	8278970	2.7	197003122	64.3
PCa51852_L001_R2.trunc.fastq.gz	306541467	9898995	3.2	241607661	78.8	45175631	14.7	9859180	3.2	197003122	64.3
PCa51852_L004_R1.trunc.fastq.gz	301747082	10077579	3.3	239670018	79.4	43335129	14.4	8664356	2.9	192672588	63.9
PCa51852_L004_R2.trunc.fastq.gz	301747082	9692210	3.2	236870560	78.5	44835476	14.9	10348836	3.4	192672588	63.9
PCa40507_L001_R1.trunc.fastq.gz	233192800	6074257	2.6	178712382	76.6	33970922	14.6	14435239	6.2	142572491	61.1
PCa40507_L001_R2.trunc.fastq.gz	233192800	5857250	2.5	176598266	75.7	35338860	15.2	15398424	6.6	142572491	61.1
PCa40507_L003_R1.trunc.fastq.gz	227870165	5906344	2.6	174326604	76.5	33331065	14.6	14306152	6.3	138599843	60.8
PCa40507_L003_R2.trunc.fastq.gz	227870165	5682381	2.5	171895949	75.4	34742760	15.2	15549075	6.8	138599843	60.8
