Sample	Unique Reads	Duplicate Reads
PCa13266_L001_R1	219171888.0	60251219.0
PCa13266_L001_R2	228336090.0	51087017.0
PCa13266_L002_R1	214804857.0	63419576.0
PCa13266_L002_R2	215308346.0	62916087.0
PCa13266_L003_R1	218462171.0	52870998.0
PCa13266_L003_R2	219581140.0	51752029.0
PCa13266_L004_R1	222799130.0	52472686.0
PCa13266_L004_R2	234760374.0	40511442.0
PCa13848_L001_R1	123361755.0	34816692.0
PCa13848_L001_R2	126614708.0	31563739.0
PCa13848_L002_R1	121853243.0	37537000.0
PCa13848_L002_R2	122136180.0	37254063.0
PCa13848_L003_R1	122722889.0	31572153.0
PCa13848_L003_R2	123072186.0	31222856.0
PCa13848_L004_R1	125529838.0	31160932.0
PCa13848_L004_R2	130297884.0	26392886.0
PCa14121_L001_R1	201970759.0	49577717.0
PCa14121_L001_R2	206098354.0	45450122.0
PCa14121_L002_R1	197606161.0	52209786.0
PCa14121_L002_R2	197138134.0	52677813.0
PCa14121_L003_R1	200512506.0	42938923.0
PCa14121_L003_R2	198888540.0	44562889.0
PCa14121_L004_R1	204696214.0	42565784.0
PCa14121_L004_R2	211270225.0	35991773.0
PCa19121_L001_R1	150320494.0	32185727.0
PCa19121_L001_R2	152582654.0	29923567.0
PCa19121_L002_R1	148010077.0	34743485.0
PCa19121_L002_R2	147945275.0	34808287.0
PCa19121_L003_R1	148171489.0	29990350.0
PCa19121_L003_R2	147897920.0	30263919.0
PCa19121_L004_R1	151407311.0	29262498.0
PCa19121_L004_R2	155782829.0	24886980.0
PCa3023_L001_R1	149413211.0	32896389.0
PCa3023_L001_R2	152600086.0	29709514.0
PCa3023_L002_R1	147876721.0	34877103.0
PCa3023_L002_R2	147924221.0	34829603.0
PCa3023_L003_R1	148141124.0	29423259.0
PCa3023_L003_R2	148382701.0	29181682.0
PCa3023_L004_R1	150854621.0	29234801.0
PCa3023_L004_R2	155919733.0	24169689.0
PCa33173_L001_R1	201689339.0	50737094.0
PCa33173_L001_R2	206913527.0	45512906.0
PCa33173_L002_R1	197483591.0	54632786.0
PCa33173_L002_R2	197393802.0	54722575.0
PCa33173_L003_R1	200397367.0	44985947.0
PCa33173_L003_R2	200229709.0	45153605.0
PCa33173_L004_R1	204453096.0	44714190.0
PCa33173_L004_R2	213335578.0	35831708.0
PCa40507_L001_R1	183657062.0	49535738.0
PCa40507_L001_R2	188464217.0	44728583.0
PCa40507_L002_R1	178626434.0	53474020.0
PCa40507_L002_R2	178797127.0	53303327.0
PCa40507_L003_R1	182138184.0	45731981.0
PCa40507_L003_R2	182629548.0	45240617.0
PCa40507_L004_R1	185603468.0	44532954.0
PCa40507_L004_R2	193479977.0	36656445.0
PCa51852_L001_R1	244172200.0	62369267.0
PCa51852_L001_R2	251869733.0	54671734.0
PCa51852_L002_R1	238259939.0	66725977.0
PCa51852_L002_R2	238589910.0	66396006.0
PCa51852_L003_R1	242351703.0	55031837.0
PCa51852_L003_R2	242660959.0	54722581.0
PCa51852_L004_R1	247636471.0	54110611.0
PCa51852_L004_R2	259565220.0	42181862.0
PCa53687_L001_R1	171887036.0	37281587.0
PCa53687_L001_R2	174738585.0	34430038.0
PCa53687_L002_R1	169255291.0	40115630.0
PCa53687_L002_R2	168530960.0	40839961.0
PCa53687_L003_R1	170307902.0	33267922.0
PCa53687_L003_R2	169285895.0	34289929.0
PCa53687_L004_R1	173407213.0	33201437.0
PCa53687_L004_R2	178539066.0	28069584.0
PCa56413_L001_R1	162799485.0	41860613.0
PCa56413_L001_R2	166192020.0	38468078.0
PCa56413_L002_R1	158919360.0	44682624.0
PCa56413_L002_R2	158698758.0	44903226.0
PCa56413_L003_R1	161297551.0	37776514.0
PCa56413_L003_R2	160620387.0	38453678.0
PCa56413_L004_R1	164129333.0	37625711.0
PCa56413_L004_R2	169754674.0	32000370.0
PCa57054_L001_R1	226227305.0	83523524.0
PCa57054_L001_R2	236292027.0	73458802.0
PCa57054_L002_R1	220185040.0	87013314.0
PCa57054_L002_R2	219064742.0	88133612.0
PCa57054_L003_R1	228353215.0	71254536.0
PCa57054_L003_R2	227638492.0	71969259.0
PCa57054_L004_R1	232287084.0	72123104.0
PCa57054_L004_R2	248096849.0	56313339.0
PCa57294_L001_R1	193108422.0	49293282.0
PCa57294_L001_R2	198141945.0	44259759.0
PCa57294_L002_R1	189044132.0	53186404.0
PCa57294_L002_R2	188570413.0	53660123.0
PCa57294_L003_R1	192925977.0	45222609.0
PCa57294_L003_R2	192574997.0	45573589.0
PCa57294_L004_R1	196445121.0	43594267.0
PCa57294_L004_R2	204035580.0	36003808.0
PCa58215_L001_R1	159960478.0	37140957.0
PCa58215_L001_R2	163758353.0	33343082.0
PCa58215_L002_R1	157486858.0	40091736.0
PCa58215_L002_R2	157783206.0	39795388.0
PCa58215_L003_R1	158896855.0	34260058.0
PCa58215_L003_R2	159206244.0	33950669.0
PCa58215_L004_R1	162109514.0	33049122.0
PCa58215_L004_R2	167560780.0	27597856.0
