Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	HiCUP_mqc-generalstats-hicup-Percentage_Ditags_Passed_Through_HiCUP	HiCUP_mqc-generalstats-hicup-Deduplication_Read_Pairs_Uniques	HiCUP_mqc-generalstats-hicup-Percentage_Uniques	HiCUP_mqc-generalstats-hicup-Valid_Pairs	HiCUP_mqc-generalstats-hicup-Percentage_Valid	HiCUP_mqc-generalstats-hicup-Paired_Read_1	HiCUP_mqc-generalstats-hicup-Percentage_Mapped
PCa13266_R1	34.93440425925853	42.0	151.0	0.0	1104252525.0							
PCa13266_R2	29.645861938296264	42.0	151.0	0.0	1104252525.0							
PCa13848_R1	32.29142669106463	42.0	151.0	9.090909090909092	628554502.0							
PCa13848_R2	29.31827913127593	42.0	151.0	9.090909090909092	628554502.0							
PCa14121_R1	35.29095939951226	42.0	151.0	0.0	992077850.0							
PCa14121_R2	32.447643686643005	42.0	151.0	0.0	992077850.0							
PCa19121_R1	29.323747759339824	42.0	151.0	0.0	724091431.0							
PCa19121_R2	27.103623010796312	42.0	151.0	0.0	724091431.0							
PCa3023_R1	30.07626749201785	42.0	151.0	0.0	722717229.0							
PCa3023_R2	27.1454235508547	42.0	151.0	0.0	722717229.0							
PCa33173_R1	35.125710404423	42.0	151.0	0.0	999093410.0							
PCa33173_R2	31.39154375381952	42.0	151.0	0.0	999093410.0							
PCa40507_R1	34.026294095942305	42.0	151.0	0.0	923299841.0							
PCa40507_R2	30.678097733126293	42.0	151.0	0.0	923299841.0							
PCa51852_R1	35.18248160450683	42.0	151.0	0.0	1210658005.0							
PCa51852_R2	30.871951056814098	42.0	151.0	0.0	1210658005.0							
PCa53687_R1	30.665826857263838	41.0	151.0	0.0	828724018.0							
PCa53687_R2	28.311576990193743	41.0	151.0	0.0	828724018.0							
PCa56413_R1	34.655867654759604	42.0	151.0	0.0	809091191.0							
PCa56413_R2	31.84401648310471	42.0	151.0	0.0	809091191.0							
PCa57054_R1	45.76089999013203	42.0	151.0	0.0	1220967122.0							
PCa57054_R2	40.17853269652729	42.0	151.0	0.0	1220967122.0							
PCa57294_R1	35.71032712945056	42.0	151.0	0.0	962820214.0							
PCa57294_R2	32.055252172101916	42.0	151.0	0.0	962820214.0							
PCa58215_R1	31.535381786984175	42.0	151.0	0.0	782995578.0							
PCa58215_R2	28.304112498400542	42.0	151.0	0.0	782995578.0							
a13266_L001						53.37	149138816.0	86.41	172601787.0	97.07	177816926.0	63.64
a13266_L002						53.24	148124902.0	86.27	171695490.0	97.08	176862315.0	63.57
a13266_L003						53.0	143817917.0	86.35	166550206.0	97.04	171622351.0	63.25
a13266_L004						52.95	145762441.0	86.34	168820235.0	97.02	174010220.0	63.21
a13848_L001						56.71	89699054.0	89.37	100364145.0	95.83	104731932.0	66.21
a13848_L002						56.52	90093327.0	89.13	101083188.0	95.86	105449416.0	66.16
