Sample	Total_Reads_1	Total_Reads_2	Not_Truncated_Reads_1	Not_Truncated_Reads_2	Truncated_Read_1	Truncated_Read_2	Average_Length_Truncated_1	Average_Length_Truncated_2	Too_Short_To_Map_Read_1	Too_Short_To_Map_Read_2	Unique_Alignments_Read_1	Unique_Alignments_Read_2	Multiple_Alignments_Read_1	Multiple_Alignments_Read_2	Failed_To_Align_Read_1	Failed_To_Align_Read_2	Paired_Read_1	Paired_Read_2	Valid_Pairs	Invalid_Pairs	Same_Circularised	Same_Dangling_Ends	Same_Fragment_Internal	Re_Ligation	Contiguous_Sequence	Wrong_Size	Deduplication_Read_Pairs_Uniques	Deduplication_Cis_Close_Uniques	Deduplication_Cis_Far_Uniques	Deduplication_Trans_Uniques	Percentage_Mapped	Percentage_Valid	Percentage_Uniques	Percentage_Unique_Trans	Percentage_Ditags_Passed_Through_HiCUP	Duplicate_Read_Pairs
a13266_L001	279423107.0	279423107.0	121104650.0	123221457.0	158318457.0	156201650.0	73.64	74.01	10851662.0	10432473.0	221908812.0	218992316.0	40564921.0	42297489.0	6097712.0	7700829.0	177816926.0	177816926.0	172601787.0	5215139.0	315324.0	1386065.0	2115471.0	1398279.0	0.0	0.0	149138816.0	2794840.0	59128260.0	87215716.0	63.64	97.07	86.41	58.48	53.37	23462971.0
a13266_L002	278224433.0	278224433.0	121169254.0	123427939.0	157055179.0	154796494.0	73.67	74.02	10762672.0	10348247.0	221055079.0	217719324.0	40370488.0	42319187.0	6036194.0	7837675.0	176862315.0	176862315.0	171695490.0	5166825.0	307936.0	1373632.0	2091421.0	1393836.0	0.0	0.0	148124902.0	2773170.0	58609656.0	86742076.0	63.57	97.08	86.27	58.56	53.24	23570588.0
a13266_L003	271333169.0	271333169.0	118267678.0	120606243.0	153065491.0	150726926.0	73.67	73.99	10498256.0	10079714.0	215047026.0	211638508.0	39558290.0	41363784.0	6229597.0	8251163.0	171622351.0	171622351.0	166550206.0	5072145.0	300791.0	1342916.0	2059100.0	1369338.0	0.0	0.0	143817917.0	2696321.0	57064357.0	84057239.0	63.25	97.04	86.35	58.45	53.0	22732289.0
a13266_L004	275271816.0	275271816.0	120069069.0	122227218.0	155202747.0	153044598.0	73.67	74.03	10646457.0	10215657.0	217955969.0	214792930.0	40214062.0	42005098.0	6455328.0	8258131.0	174010220.0	174010220.0	168820235.0	5189985.0	307294.0	1368868.0	2107716.0	1406107.0	0.0	0.0	145762441.0	2732547.0	57764565.0	85265329.0	63.21	97.02	86.34	58.5	52.95	23057794.0
a13848_L001	158178447.0	158178447.0	80265261.0	81301970.0	77913186.0	76876477.0	74.73	75.11	5408447.0	5200614.0	127670184.0	126226223.0	21543859.0	22330882.0	3555957.0	4420728.0	104731932.0	104731932.0	100364145.0	4367787.0	186947.0	1667984.0	1428175.0	1084681.0	0.0	0.0	89699054.0	3812642.0	44535524.0	41350888.0	66.21	95.83	89.37	46.1	56.71	10665091.0
a13848_L002	159390243.0	159390243.0	81256407.0	82383087.0	78133836.0	77007156.0	74.78	75.15	5418030.0	5211298.0	128710511.0	127034602.0	21704828.0	22611489.0	3556874.0	4532854.0	105449416.0	105449416.0	101083188.0	4366228.0	184253.0	1663741.0	1428010.0	1090224.0	0.0	0.0	90093327.0	3821759.0	44621484.0	41650084.0	66.16	95.86	89.13	46.23	56.52	10989861.0
a13848_L003	154295042.0	154295042.0	78698304.0	79892308.0	75596738.0	74402734.0	74.77	75.1	5252179.0	5042882.0	124281211.0	122520004.0	21127480.0	21966223.0	3634172.0	4765933.0	101529269.0	101529269.0	97276608.0	4252661.0	178496.0	1620700.0	1390865.0	1062600.0	0.0	0.0	86719443.0	3700279.0	43111958.0	39907206.0	65.8	95.81	89.15	46.02	56.2	10557165.0
a13848_L004	156690770.0	156690770.0	79937680.0	81005422.0	76753090.0	75685348.0	74.77	75.13	5330018.0	5125509.0	126083572.0	124518771.0	21514968.0	22333967.0	3762212.0	4712523.0	103070390.0	103070390.0	98733327.0	4337063.0	182757.0	1648146.0	1423069.0	1083091.0	0.0	0.0	88106970.0	3746172.0	43729057.0	40631741.0	65.78	95.79	89.24	46.12	56.23	10626357.0
a14121_L001	251548476.0	251548476.0	98576666.0	99567260.0	152971810.0	151981216.0	75.8	76.14	8550607.0	8285492.0	201512749.0	200168064.0	36981495.0	38035471.0	4503625.0	5059449.0	162866431.0	162866431.0	160472148.0	2394283.0	257967.0	451063.0	1017278.0	667975.0	0.0	0.0	137329803.0	1888184.0	46351733.0	89089886.0	64.75	98.53	85.58	64.87	54.59	23142345.0
a14121_L002	249815947.0	249815947.0	98429738.0	99481120.0	151386209.0	150334827.0	75.84	76.16	8464581.0	8198591.0	200183307.0	198551291.0	36708121.0	37919196.0	4459938.0	5146869.0	161611321.0	161611321.0	159226144.0	2385177.0	254855.0	448999.0	1013109.0	668214.0	0.0	0.0	136125987.0	1873031.0	45896256.0	88356700.0	64.69	98.52	85.49	64.91	54.49	23100157.0
