File	Total_reads_processed	Reads_too_short_to_map	%Reads_too_short_to_map	Unique_alignments	%Unique_alignments	Multiple_alignments	%Multiple_alignments	Failed_to_align	%failed_to_align	Paired	%Paired
Benign-Prostate-1595983_R1.trunc.fastq.gz	379905436	10679848	2.8	311533347	82.0	52550340	13.8	5141901	1.4	258582610	68.1
Benign-Prostate-1595983_R2.trunc.fastq.gz	379905436	10403660	2.7	308324993	81.2	54250810	14.3	6925973	1.8	258582610	68.1
Benign-Prostate-1648133_R1.trunc.fastq.gz	371804504	9596145	2.6	308668037	83.0	49279585	13.3	4260737	1.1	259090240	69.7
Benign-Prostate-1648133_R2.trunc.fastq.gz	371804504	9339236	2.5	305118355	82.1	51011240	13.7	6335673	1.7	259090240	69.7
Benign-Prostate-1664855_R1.trunc.fastq.gz	309023777	8585089	2.8	254171183	82.2	42788158	13.8	3479347	1.1	212320006	68.7
Benign-Prostate-1664855_R2.trunc.fastq.gz	309023777	8372922	2.7	251836926	81.5	44045233	14.3	4768696	1.5	212320006	68.7
Benign-Prostate-3320942_R1.trunc.fastq.gz	385630896	10301399	2.7	316706442	82.1	52519190	13.6	6103865	1.6	264141624	68.5
Benign-Prostate-3320942_R2.trunc.fastq.gz	385630896	10058132	2.6	313560121	81.3	54150486	14.0	7862157	2.0	264141624	68.5
Benign-Prostate-3330581_R1.trunc.fastq.gz	343240588	8222728	2.4	283184575	82.5	46289861	13.5	5543424	1.6	238059024	69.4
Benign-Prostate-3330581_R2.trunc.fastq.gz	343240588	8019567	2.3	280411467	81.7	47808874	13.9	7000680	2.0	238059024	69.4
