File	Total_Reads_Processed	Truncated	%Truncated	Not_truncated	%Not_truncated	Average_length_truncated_sequence
Benign-Prostate-1648133_R1.fastq.gz	371804504	176195076	47.39	195609428	52.61	77.18
Benign-Prostate-1648133_R2.fastq.gz	371804504	173601992	46.69	198202512	53.31	77.29
Benign-Prostate-1595983_R1.fastq.gz	379905436	198712647	52.31	181192789	47.69	76.73
Benign-Prostate-1595983_R2.fastq.gz	379905436	196249789	51.66	183655647	48.34	76.86
Benign-Prostate-3320942_R1.fastq.gz	385630896	197128474	51.12	188502422	48.88	76.83
Benign-Prostate-3320942_R2.fastq.gz	385630896	194697937	50.49	190932959	49.51	76.95
Benign-Prostate-3330581_R1.fastq.gz	343240588	176938465	51.55	166302123	48.45	78.31
Benign-Prostate-3330581_R2.fastq.gz	343240588	174646745	50.88	168593843	49.12	78.43
Benign-Prostate-1664855_R1.fastq.gz	309023777	166908417	54.01	142115360	45.99	77.43
Benign-Prostate-1664855_R2.fastq.gz	309023777	165017400	53.40	144006377	46.60	77.56
