Sample	HiCUP_mqc-generalstats-hicup-Percentage_Ditags_Passed_Through_HiCUP	HiCUP_mqc-generalstats-hicup-Deduplication_Read_Pairs_Uniques	HiCUP_mqc-generalstats-hicup-Percentage_Uniques	HiCUP_mqc-generalstats-hicup-Valid_Pairs	HiCUP_mqc-generalstats-hicup-Percentage_Valid	HiCUP_mqc-generalstats-hicup-Paired_Read_1	HiCUP_mqc-generalstats-hicup-Percentage_Mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Benign-Prostate-1595983	55.43	210564024.0	82.41	255503776.0	98.81	258582610.0	68.06					
Benign-Prostate-1595983_L001_R1								21.690909097731677	42.0	150.0	9.090909090909092	193688823.0
Benign-Prostate-1595983_L001_R2								20.95666796120574	43.0	150.0	9.090909090909092	193688823.0
Benign-Prostate-1595983_L002_R1								17.55538496080669	42.0	150.0	9.090909090909092	186216613.0
Benign-Prostate-1595983_L002_R2								18.573675055655514	42.0	150.0	9.090909090909092	186216613.0
Benign-Prostate-1648133	57.37	213317031.0	83.04	256877053.0	99.15	259090240.0	69.68					
Benign-Prostate-1648133_L001_R1								22.98585520661163	42.0	150.0	9.090909090909092	189452174.0
Benign-Prostate-1648133_L001_R2								21.977893557364553	42.0	150.0	9.090909090909092	189452174.0
Benign-Prostate-1648133_L002_R1								18.66805023925869	42.0	150.0	9.090909090909092	182352330.0
Benign-Prostate-1648133_L002_R2								19.633401274621377	42.0	150.0	9.090909090909092	182352330.0
Benign-Prostate-1664855	53.17	164322729.0	77.99	210684122.0	99.23	212320006.0	68.71					
Benign-Prostate-1664855_L001_R1								22.658158953991787	42.0	150.0	9.090909090909092	157772799.0
Benign-Prostate-1664855_L001_R2								22.12961101225565	42.0	150.0	9.090909090909092	157772799.0
Benign-Prostate-1664855_L002_R1								18.959587797074036	42.0	150.0	9.090909090909092	151250978.0
Benign-Prostate-1664855_L002_R2								19.726261179653164	42.0	150.0	9.090909090909092	151250978.0
Benign-Prostate-3320942	53.27	205433076.0	79.83	257340496.0	97.43	264141624.0	68.5					
Benign-Prostate-3320942_L001_R1								22.68804308763721	42.0	150.0	9.090909090909092	196837220.0
Benign-Prostate-3320942_L001_R2								21.93531934962695	42.0	150.0	9.090909090909092	196837220.0
Benign-Prostate-3320942_L002_R1								18.290267013352107	42.0	150.0	9.090909090909092	188793676.0
Benign-Prostate-3320942_L002_R2								19.602204012088976	42.0	150.0	9.090909090909092	188793676.0
Benign-Prostate-3330581	52.99	181894280.0	78.06	233026251.0	97.89	238059024.0	69.36					
Benign-Prostate-3330581_L001_R1								26.06139617334368	41.0	150.0	9.090909090909092	174924695.0
Benign-Prostate-3330581_L001_R2								25.215581575582476	41.0	150.0	9.090909090909092	174924695.0
Benign-Prostate-3330581_L002_R1								21.868664219655344	41.0	150.0	9.090909090909092	168315893.0
Benign-Prostate-3330581_L002_R2								22.787380404122928	41.0	150.0	9.090909090909092	168315893.0
