File	Total_Reads_Processed	Truncated	%Truncated	Not_truncated	%Not_truncated	Average_length_truncated_sequence
Benign-Prostate-1664855_R1.fastq.gz	274577339	146621018	53.40	127956321	46.60	77.89
Benign-Prostate-1664855_R2.fastq.gz	274577339	145225637	52.89	129351702	47.11	78.08
Benign-Prostate-1648133_R1.fastq.gz	315596443	148008080	46.90	167588363	53.10	77.65
Benign-Prostate-1648133_R2.fastq.gz	315596443	145831305	46.21	169765138	53.79	77.83
Benign-Prostate-1595983_R1.fastq.gz	333386019	172381522	51.71	161004497	48.29	77.19
Benign-Prostate-1595983_R2.fastq.gz	333386019	170830081	51.24	162555938	48.76	77.39
Benign-Prostate-3330581_R1.fastq.gz	280859654	143205048	50.99	137654606	49.01	78.78
Benign-Prostate-3330581_R2.fastq.gz	280859654	141080188	50.23	139779466	49.77	78.97
Benign-Prostate-3320942_R1.fastq.gz	337281736	170784771	50.64	166496965	49.36	77.27
Benign-Prostate-3320942_R2.fastq.gz	337281736	169312873	50.20	167968863	49.80	77.47
