Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CTRL_R1	22.57583604798775	43.0	150.0	18.181818181818183	39645714.0
CTRL_R2	20.953887818287996	44.0	150.0	18.181818181818183	39645714.0
LT_R1	16.813230192780836	44.0	150.0	18.181818181818183	17646272.0
LT_R2	16.28754096659084	44.0	150.0	18.181818181818183	17646272.0
NPM1WT_R1	25.326502721466113	47.0	150.0	18.181818181818183	59866249.0
NPM1WT_R2	22.985860737895067	48.0	150.0	18.181818181818183	59866249.0
NPM1c_R1	48.015625736500446	48.0	150.0	18.181818181818183	35350853.0
NPM1c_R2	44.202800094807905	49.0	150.0	18.181818181818183	35350853.0
ST_R1	15.169742225045141	42.0	150.0	0.0	18625396.0
ST_R2	15.315112518804767	42.0	150.0	9.090909090909092	18625396.0
