"Category"	"Not Truncated"	"Truncated"
"BP1595983 Read 1"	342197286	371094169
"BP1595983 Read 2"	346211585	367079870
"BP1648133 Read 1"	363197791	324203156
"BP1648133 Read 2"	367967650	319433297
"BP1664855 Read 1"	270071681	313529435
"BP1664855 Read 2"	273358079	310243037
"BP3320942 Read 1"	354999387	367913245
"BP3320942 Read 2"	358901822	364010810
"BP3330581 Read 1"	303956729	320143513
"BP3330581 Read 2"	308373309	315726933
"CPCG0268 Read 1"	607182043	782353933
"CPCG0268 Read 2"	618374309	771161667
"CPCG0366 Read 1"	409434336	391358066
"CPCG0366 Read 2"	415023264	385769138
"CPCG0255 Read 1"	509276651	777487154
"CPCG0255 Read 2"	514256325	772507480
"CPCG0258 Read 1"	398073355	577494707
"CPCG0258 Read 2"	404354545	571213517
"CPCG0324 Read 1"	417561618	492684733
"CPCG0324 Read 2"	423813241	486433110
"CPCG0246 Read 1"	511489151	693832996
"CPCG0246 Read 2"	519673725	685648422
"CPCG0342 Read 1"	643569742	535228450
"CPCG0342 Read 2"	649441199	529356993
"CPCG0336 Read 1"	645090013	848677973
"CPCG0336 Read 2"	650481381	843286605
"CPCG0339 Read 1"	599683413	485724542
"CPCG0339 Read 2"	603856168	481551787
"CPCG0331 Read 1"	425717167	566247224
"CPCG0331 Read 2"	430593710	561370681
"CPCG0365 Read 1"	508228265	692900953
"CPCG0365 Read 2"	515954406	685174812
"CPCG0345 Read 1"	434267779	551676971
"CPCG0345 Read 2"	440700958	545243792
