"Category"	"Unique Alignments"	"Multiple Alignments"	"Failed To Align"	"Too short to map"
"BP1595983 Read 1"	583210620	98904987	11262371	19913477
"BP1595983 Read 2"	576807159	102148078	14943562	19392656
"BP1648133 Read 1"	569256706	91331095	9187483	17625663
"BP1648133 Read 2"	561362438	94944742	13972736	17121031
"BP1664855 Read 1"	478474052	81008342	8016523	16102199
"BP1664855 Read 2"	473372903	83535785	10992250	15700178
"BP3320942 Read 1"	592050556	98693601	12970039	19198436
"BP3320942 Read 2"	586103089	101651394	16419304	18738845
"BP3330581 Read 1"	513567797	84386014	11292005	14854426
"BP3330581 Read 2"	507056118	87387612	15203974	14452538
"CPCG0268 Read 1"	1103244176	201813193	30826949	53651658
"CPCG0268 Read 2"	1087006273	211131202	39837036	51561465
"CPCG0366 Read 1"	646230735	109165433	18238914	27157320
"CPCG0366 Read 2"	638042673	113492887	23135208	26121634
"CPCG0255 Read 1"	1030482913	189174158	23629305	43477429
"CPCG0255 Read 2"	1023146799	194858680	26633389	42124937
"CPCG0258 Read 1"	784098475	138055509	16213567	37200511
"CPCG0258 Read 2"	776365620	142527536	20836929	35837977
"CPCG0324 Read 1"	736749350	126949970	16826373	29720658
"CPCG0324 Read 2"	727786575	131546703	22300692	28612381
"CPCG0246 Read 1"	978952247	166985157	20670391	38714352
"CPCG0246 Read 2"	968205990	172914321	26877676	37324160
"CPCG0342 Read 1"	903731683	171763843	72795879	30506787
"CPCG0342 Read 2"	892011266	179153440	78266229	29367257
"CPCG0336 Read 1"	1189666803	213350842	40924926	49825415
"CPCG0336 Read 2"	1175466206	220959211	49378850	47963719
"CPCG0339 Read 1"	858964793	145098272	54071854	27273036
"CPCG0339 Read 2"	852089734	150188021	56755366	26374834
"CPCG0331 Read 1"	803091974	141152411	15668942	32051064
"CPCG0331 Read 2"	796362761	145428168	19189119	30984343
"CPCG0365 Read 1"	971708786	168727409	21786781	38906242
"CPCG0365 Read 2"	962863959	173953044	26858412	37453803
"CPCG0345 Read 1"	795624384	140185042	17846790	32288534
"CPCG0345 Read 2"	787035152	144940051	22864104	31105443
