"Category"	"Valid Pairs"	"Same Fragment - Internal"	"Same Fragment - Circularised"	"Same Fragment - Dangling Ends"	"Re-ligation"
"BP1595983"	477019720	1715343	5787273	1367994	2314381
"BP1648133"	471882151	1015730	4110221	924981	1876240
"BP1664855"	395194018	750080	3114465	514753	1488063
"BP3320942"	480097076	4305420	12689194	4612266	3216844
"BP3330581"	420738424	3081398	9121570	2720767	2945649
"CPCG0268"	856747009	10450090	1525180	6852094	6975128
"CPCG0366"	507422655	7160977	914239	8367303	5487422
"CPCG0255"	820086820	5209137	1299848	2299014	3445217
"CPCG0258"	626600530	3268896	734298	2429855	2430623
"CPCG0324"	590710431	4213438	666575	2670627	3309016
"CPCG0246"	793657971	4074196	706838	2715032	2685430
"CPCG0342"	593455140	60279251	6417152	41361898	18493057
"CPCG0336"	901184935	28087536	3554074	14946778	10361621
"CPCG0339"	582591565	64312081	4407511	35160797	17755204
"CPCG0331"	650112326	3229125	763645	2029725	2510869
"CPCG0365"	782616675	4650071	1458046	2407267	2991034
"CPCG0345"	637619169	4975789	797289	2900548	2952563
