"Category"	"Unique: cis < 10Kbp"	"Unique: cis > 10Kbp"	"Unique: trans"	"Duplicate read pairs"
"BP1595983"	14680722	204632492	178916047	78790459
"BP1648133"	16052406	208306930	173345303	74177512
"BP1664855"	15088321	176076385	121735439	82293873
"BP3320942"	13167375	198037683	177853951	91038067
"BP3330581"	13101002	197164019	125769894	84703509
"CPCG0268"	13880095	293506547	434851894	114508473
"CPCG0366"	19259206	224783726	209717176	53662547
"CPCG0255"	9661234	236819624	456294180	117311782
"CPCG0258"	10821388	225866603	314824865	75087674
"CPCG0324"	13033814	229988430	278127083	69561104
"CPCG0246"	17857933	360384343	313511834	101903861
"CPCG0342"	8253090	185948119	313234368	86019563
"CPCG0336"	10126539	253879329	518616068	118562999
"CPCG0339"	12376639	206039523	292426683	71748720
"CPCG0331"	12988610	246423906	299227243	91472567
"CPCG0365"	10770222	273846946	380717302	117282205
"CPCG0345"	13563279	244950554	297015132	82090204
