Sample	Resolution	w	N	Mean_Size	SD_Size
PCa3023	40000	3	7471	364634.627626824	228696.237495213
PCa3023	40000	4	6738	401446.319827842	231556.504274175
PCa3023	40000	5	6045	444206.005459057	242721.995103082
PCa3023	40000	6	5428	490461.551768607	261969.152385095
PCa3023	40000	7	4900	539311.286326531	286391.09609064
PCa3023	40000	8	4425	593524.362259887	315646.126446624
PCa3023	40000	9	4119	633723.064578781	333397.28210291
PCa3023	40000	10	3799	679753.962358515	356481.605596038
PCa3023	40000	11	3503	730432.572937482	387562.670737252
PCa3023	40000	12	3291	771748.80066849	414309.936086392
PCa3023	40000	13	3110	808741.254983923	433925.758510864
PCa3023	40000	14	2904	858121.660812672	462874.188370927
PCa3023	40000	15	2743	898747.831935837	491791.671397774
PCa3023	40000	16	2629	929914.531380753	517230.424291335
PCa3023	40000	17	2496	972333.85536859	537004.335563664
PCa3023	40000	18	2391	1009730.3651192	562428.220906143
PCa3023	40000	19	2281	1047043.09644893	586309.660933691
PCa3023	40000	20	2191	1084192.28799635	609837.566962532
PCa3023	40000	21	2093	1127178.83564262	633550.229282993
PCa3023	40000	22	2018	1164214.71902874	661456.634158585
PCa3023	40000	23	1943	1200960.01183737	678707.695961754
PCa3023	40000	24	1876	1240375.96108742	711858.86784823
PCa3023	40000	25	1808	1279660.01272124	726351.666905975
PCa3023	40000	26	1757	1314960.33181559	754932.303400955
PCa3023	40000	27	1720	1342596.10639535	766980.429196487
PCa3023	40000	28	1678	1368000.77651967	796347.787347497
PCa3023	40000	29	1648	1387151.27609223	803088.177571267
PCa3023	40000	30	1617	1409762.09214595	821354.698920698
PCa13266	40000	3	6912	393047.642216435	271015.369046107
PCa13266	40000	4	6348	427231.459199748	279202.27090727
PCa13266	40000	5	5697	474085.536773741	293899.448745507
PCa13266	40000	6	5092	526116.516692852	322318.634157916
PCa13266	40000	7	4580	581830.852183406	349493.439212801
PCa13266	40000	8	4172	632489.286433365	378262.588663986
PCa13266	40000	9	3855	679311.362645915	403988.922564572
PCa13266	40000	10	3544	732704.656602709	433128.808752977
PCa13266	40000	11	3267	786870.310070401	460392.012652687
PCa13266	40000	12	3052	836626.901376147	490390.918840073
PCa13266	40000	13	2867	882938.717474712	521408.785575976
PCa13266	40000	14	2707	928210.307720724	545805.547424283
PCa13266	40000	15	2568	971302.688084112	579903.068308231
PCa13266	40000	16	2440	1014321.8454918	604033.163899577
PCa13266	40000	17	2321	1057331.02240414	620173.522978592
PCa13266	40000	18	2211	1105067.97964722	647823.186319582
PCa13266	40000	19	2139	1137010.42683497	670457.57779084
PCa13266	40000	20	2053	1179340.13784705	692546.143695526
PCa13266	40000	21	1971	1218338.56062912	728683.257085065
PCa13266	40000	22	1918	1247479.30291971	751227.524532859
PCa13266	40000	23	1848	1292589.44967532	772665.220570271
PCa13266	40000	24	1788	1330282.60794183	792868.516006266
PCa13266	40000	25	1727	1374722.23682687	816100.885693141
PCa13266	40000	26	1690	1402831.54023669	841464.227134874
PCa13266	40000	27	1648	1431714.38288835	843232.275015467
PCa13266	40000	28	1605	1471891.15451713	869783.689844988
PCa13266	40000	29	1571	1500843.60471038	879531.05849144
PCa13266	40000	30	1532	1536256.72519582	903322.914719237
PCa13848	40000	3	7722	352062.328800829	217499.696051011
PCa13848	40000	4	6918	390602.096415149	219840.568584359
PCa13848	40000	5	6167	434322.247932544	234537.719216511
PCa13848	40000	6	5507	483679.917014709	256735.716644574
PCa13848	40000	7	4998	529264.766506603	280337.400480939
PCa13848	40000	8	4554	576246.223759333	303678.088589315
PCa13848	40000	9	4167	623802.568514519	327898.560790447
PCa13848	40000	10	3838	670480.798071913	351099.690692333
PCa13848	40000	11	3533	720176.989244268	381426.2312501
PCa13848	40000	12	3319	760345.074721302	402026.11158743
PCa13848	40000	13	3126	799816.155790147	433088.850809466
PCa13848	40000	14	2953	839060.380291229	454298.30306384
PCa13848	40000	15	2784	885339.548491379	486658.011664109
PCa13848	40000	16	2625	931209.639238095	513839.820139533
PCa13848	40000	17	2510	967356.694422311	533687.139634954
PCa13848	40000	18	2402	1007271.15029142	558233.765358897
PCa13848	40000	19	2322	1036513.91171404	580396.476753778
PCa13848	40000	20	2220	1075596.98333333	606762.617514234
PCa13848	40000	21	2128	1113940.46193609	623889.801910143
PCa13848	40000	22	2050	1150197.70878049	657997.53717198
PCa13848	40000	23	1982	1183928.00353179	674408.36385452
PCa13848	40000	24	1933	1213649.92395241	697722.480783586
PCa13848	40000	25	1877	1244701.81299947	710245.470083274
PCa13848	40000	26	1817	1279485.58227848	733115.003044586
PCa13848	40000	27	1787	1296376.77839955	748669.40735142
PCa13848	40000	28	1736	1327456.97177419	771505.26150111
PCa13848	40000	29	1687	1359374.80912863	781622.088529391
PCa13848	40000	30	1642	1397871.68270402	810841.38938198
PCa14121	40000	3	6824	397829.030334115	277008.87013436
PCa14121	40000	4	6448	420121.790167494	260938.885955089
PCa14121	40000	5	5868	459758.91325835	267868.133318133
PCa14121	40000	6	5233	513071.909612077	288695.01616186
PCa14121	40000	7	4825	553878.819274611	306362.193748345
PCa14121	40000	8	4357	607745.077576314	331789.080416981
PCa14121	40000	9	4029	651095.880615538	359223.738636477
PCa14121	40000	10	3704	700611.582883369	389249.389489304
PCa14121	40000	11	3413	755108.49780252	420026.063697856
PCa14121	40000	12	3232	791889.017017327	440568.020818287
PCa14121	40000	13	3017	837860.557838913	473436.584050165
PCa14121	40000	14	2809	889264.970808117	501869.14120981
PCa14121	40000	15	2666	932957.728057014	526188.685433009
PCa14121	40000	16	2520	975597.342460317	554489.83057389
PCa14121	40000	17	2409	1014771.81527605	576249.806503805
PCa14121	40000	18	2300	1058115.34913043	608626.593658098
PCa14121	40000	19	2195	1100585.5594533	631055.891948817
PCa14121	40000	20	2108	1139006.31072106	660474.094062308
PCa14121	40000	21	2038	1176459.91315015	682091.989418939
PCa14121	40000	22	1960	1214012.90969388	707251.747190291
PCa14121	40000	23	1911	1239071.32548404	721424.876400232
PCa14121	40000	24	1858	1272629.33423036	740549.484792043
PCa14121	40000	25	1787	1314664.41130386	772998.113210607
PCa14121	40000	26	1748	1343973.28546911	794005.996423424
PCa14121	40000	27	1682	1391572.71284186	812768.652458264
PCa14121	40000	28	1639	1427812.87553386	829960.246083556
PCa14121	40000	29	1601	1456580.45159275	843101.346783348
PCa14121	40000	30	1565	1488118.40447284	863551.538260636
PCa19121	40000	3	7158	379495.012992456	248745.86812035
PCa19121	40000	4	6559	411865.422015551	246684.272025444
PCa19121	40000	5	5846	457527.420971605	253797.607855524
PCa19121	40000	6	5254	504801.161591169	272803.372829125
PCa19121	40000	7	4782	551272.543496445	297626.291194974
PCa19121	40000	8	4339	603619.567411846	317264.478007429
PCa19121	40000	9	4012	648600.524177468	341227.138463178
PCa19121	40000	10	3708	694505.205771305	364567.735975069
PCa19121	40000	11	3426	747444.630180969	394372.407882624
PCa19121	40000	12	3228	789004.121127633	418172.202582957
