Label 1	Label 2	Sample 1	Sample 2	intersection	union-intersection	jaccard	n_intersections
0	0	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	581549255		1.0	9255
0	1	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	395349570		0.530223	8038
0	2	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13848.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	418250000		0.565089	8468
0	3	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa14121.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	398728098		0.525853	8098
0	4	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa19121.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	418228371		0.56032	8371
0	5	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa33173.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	416337724		0.578134	8188
0	6	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa40507.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	406829857		0.532396	8325
0	7	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa51852.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	405169703		0.530835	8171
0	8	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa53687.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	394990707		0.508231	8148
0	9	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa56413.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	415149880		0.5596	8348
0	10	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa57054.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	417069832		0.56519	8300
0	11	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa57294.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	396769673		0.518119	8141
0	12	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa58215.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	413189842		0.553793	8310
1	1	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	559428818		1.0	8818
1	2	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13848.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	396728107		0.536445	8107
1	3	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa14121.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	386849384		0.517173	7852
1	4	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa19121.40000bp.aggregated-boundaries.extended-20000bp.bedGraph	394969545		0.528353	8013
