Label 1	Label 2	Sample 1	Sample 2	intersection	union-intersection	jaccard	n_intersections
0	0	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.bedGraph	14544		1.0	14544
0	1	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.bedGraph	9888		0.530273	9888
0	2	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13848.40000bp.aggregated-boundaries.bedGraph	10460		0.5651	10460
0	3	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa14121.40000bp.aggregated-boundaries.bedGraph	9973		0.525947	9973
0	4	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa19121.40000bp.aggregated-boundaries.bedGraph	10461		0.560431	10461
0	5	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa33173.40000bp.aggregated-boundaries.bedGraph	10412		0.578091	10412
0	6	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa40507.40000bp.aggregated-boundaries.bedGraph	10175		0.532444	10175
0	7	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa51852.40000bp.aggregated-boundaries.bedGraph	10133		0.530857	10133
0	8	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa53687.40000bp.aggregated-boundaries.bedGraph	9879		0.508284	9879
0	9	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa56413.40000bp.aggregated-boundaries.bedGraph	10383		0.55964	10383
0	10	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa57054.40000bp.aggregated-boundaries.bedGraph	10431		0.565243	10431
0	11	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa57294.40000bp.aggregated-boundaries.bedGraph	9924		0.518197	9924
0	12	../2020-01-15_TAD-aggregation/resolved-TADs/PCa3023.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa58215.40000bp.aggregated-boundaries.bedGraph	10334		0.553835	10334
1	1	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.bedGraph	13991		1.0	13991
1	2	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13848.40000bp.aggregated-boundaries.bedGraph	9923		0.536552	9923
1	3	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa14121.40000bp.aggregated-boundaries.bedGraph	9676		0.517267	9676
1	4	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa19121.40000bp.aggregated-boundaries.bedGraph	9879		0.52843	9879
1	5	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa33173.40000bp.aggregated-boundaries.bedGraph	10305		0.586678	10305
1	6	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa40507.40000bp.aggregated-boundaries.bedGraph	9887		0.524648	9887
1	7	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa51852.40000bp.aggregated-boundaries.bedGraph	10096		0.543614	10096
1	8	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa53687.40000bp.aggregated-boundaries.bedGraph	9652		0.505076	9652
1	9	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa56413.40000bp.aggregated-boundaries.bedGraph	9653		0.515376	9653
1	10	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa57054.40000bp.aggregated-boundaries.bedGraph	10083		0.552523	10083
1	11	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa57294.40000bp.aggregated-boundaries.bedGraph	9733		0.518016	9733
1	12	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13266.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa58215.40000bp.aggregated-boundaries.bedGraph	10071		0.548261	10071
2	2	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13848.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13848.40000bp.aggregated-boundaries.bedGraph	14426		1.0	14426
2	3	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13848.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa14121.40000bp.aggregated-boundaries.bedGraph	9710		0.508191	9710
2	4	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13848.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa19121.40000bp.aggregated-boundaries.bedGraph	10446		0.562732	10446
2	5	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13848.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa33173.40000bp.aggregated-boundaries.bedGraph	10338		0.575388	10338
2	6	../2020-01-15_TAD-aggregation/resolved-TADs/PCa13848.40000bp.aggregated-boundaries.bedGraph	../2020-01-15_TAD-aggregation/resolved-TADs/PCa40507.40000bp.aggregated-boundaries.bedGraph	10104		0.530032	10104
