Sample1	Sample2	Window	N_Int	Total1	Frac
PCa13266	PCa13848	3	5365	7446	0.720521085146387
PCa13266	PCa13848	4	5468	6931	0.788919347857452
PCa13266	PCa13848	5	5103	6366	0.801602262016965
PCa13266	PCa13848	6	4820	5888	0.818614130434783
PCa13266	PCa13848	7	4531	5460	0.82985347985348
PCa13266	PCa13848	8	4298	5163	0.832461747046291
PCa13266	PCa13848	9	4074	4909	0.82990425748625
PCa13266	PCa13848	10	3866	4680	0.826068376068376
PCa13266	PCa13848	11	3718	4490	0.828062360801782
PCa13266	PCa13848	12	3557	4303	0.826632581919591
PCa13266	PCa13848	13	3464	4162	0.832292167227295
PCa13266	PCa13848	14	3347	4044	0.827645895153314
PCa13266	PCa13848	15	3245	3947	0.822143400050672
PCa13266	PCa13848	16	3153	3852	0.818535825545171
PCa13266	PCa13848	17	3094	3775	0.819602649006623
PCa13266	PCa13848	18	3005	3659	0.821262640065592
PCa13266	PCa13848	19	2978	3634	0.819482663731425
PCa13266	PCa13848	20	2905	3549	0.818540433925049
PCa13266	PCa13848	21	2864	3499	0.818519577022006
PCa13266	PCa13848	22	2786	3440	0.809883720930232
PCa13266	PCa13848	23	2722	3365	0.808915304606241
PCa13266	PCa13848	24	2659	3324	0.799939831528279
PCa13266	PCa13848	25	2637	3258	0.80939226519337
PCa13266	PCa13848	26	2579	3208	0.803927680798005
PCa13266	PCa13848	27	2576	3164	0.814159292035398
PCa13266	PCa13848	28	2500	3109	0.804117079446768
PCa13266	PCa13848	29	2480	3072	0.807291666666667
PCa13266	PCa13848	30	2465	3042	0.810322156476003
PCa13266	PCa14121	3	4929	7446	0.661966156325544
PCa13266	PCa14121	4	5185	6931	0.748088298946761
PCa13266	PCa14121	5	4910	6366	0.771284951303802
PCa13266	PCa14121	6	4678	5888	0.794497282608696
PCa13266	PCa14121	7	4460	5460	0.816849816849817
PCa13266	PCa14121	8	4197	5163	0.812899477048228
PCa13266	PCa14121	9	4029	4909	0.820737421063353
PCa13266	PCa14121	10	3850	4680	0.822649572649573
PCa13266	PCa14121	11	3669	4490	0.817149220489978
PCa13266	PCa14121	12	3537	4303	0.821984661863816
PCa13266	PCa14121	13	3399	4162	0.816674675636713
PCa13266	PCa14121	14	3275	4044	0.809841740850643
PCa13266	PCa14121	15	3213	3947	0.814035976691158
PCa13266	PCa14121	16	3148	3852	0.81723779854621
PCa13266	PCa14121	17	3076	3775	0.814834437086093
PCa13266	PCa14121	18	2994	3659	0.818256354195135
PCa13266	PCa14121	19	2942	3634	0.809576224545955
PCa13266	PCa14121	20	2874	3549	0.809805579036348
PCa13266	PCa14121	21	2815	3499	0.804515575878823
PCa13266	PCa14121	22	2739	3440	0.796220930232558
PCa13266	PCa14121	23	2712	3365	0.805943536404161
PCa13266	PCa14121	24	2644	3324	0.795427196149218
PCa13266	PCa14121	25	2582	3258	0.792510742786986
PCa13266	PCa14121	26	2578	3208	0.803615960099751
PCa13266	PCa14121	27	2535	3164	0.801201011378003
