SampleID	CRE_Overlap	N	Frequency
PCa3023	notx_and_noty	858	0.241962774957699
PCa3023	notx_and_y	687	0.193739424703892
PCa3023	x_and_y	1329	0.374788494077834
PCa3023	x_and_noty	672	0.189509306260575
PCa13266	notx_and_noty	2014	0.552083333333333
PCa13266	x_and_noty	593	0.162554824561404
PCa13266	x_and_y	452	0.12390350877193
PCa13266	notx_and_y	589	0.161458333333333
PCa13848	notx_and_noty	1396	0.269706336939722
PCa13848	notx_and_y	940	0.18160741885626
PCa13848	x_and_y	1877	0.362635239567233
PCa13848	x_and_noty	963	0.186051004636785
PCa14121	notx_and_noty	1136	0.647293447293447
PCa14121	x_and_noty	246	0.14017094017094
PCa14121	x_and_y	127	0.0723646723646724
PCa14121	notx_and_y	246	0.14017094017094
PCa19121	x_and_y	1132	0.40573476702509
PCa19121	notx_and_y	532	0.190681003584229
PCa19121	x_and_noty	489	0.175268817204301
PCa19121	notx_and_noty	637	0.22831541218638
PCa33173	notx_and_noty	2759	0.348402576082839
PCa33173	x_and_y	2238	0.28261144083849
PCa33173	x_and_noty	1398	0.176537441596161
PCa33173	notx_and_y	1524	0.19244854148251
PCa40507	x_and_y	587	0.510879025239339
PCa40507	x_and_noty	181	0.157528285465622
PCa40507	notx_and_noty	172	0.149695387293299
PCa40507	notx_and_y	209	0.181897302001741
PCa51852	notx_and_noty	996	0.438380281690141
PCa51852	x_and_y	539	0.237235915492958
PCa51852	notx_and_y	384	0.169014084507042
PCa51852	x_and_noty	353	0.155369718309859
PCa53687	x_and_y	349	0.344521224086871
PCa53687	notx_and_noty	291	0.287265547877591
PCa53687	x_and_noty	173	0.170779861796644
PCa53687	notx_and_y	200	0.197433366238894
PCa56413	x_and_y	1301	0.350484913793103
PCa56413	notx_and_y	679	0.18292025862069
PCa56413	notx_and_noty	1029	0.277209051724138
PCa56413	x_and_noty	703	0.189385775862069
PCa57054	x_and_y	4309	0.425286221871299
PCa57054	x_and_noty	1693	0.167094354520332
PCa57054	notx_and_noty	2443	0.241117252270036
PCa57054	notx_and_y	1687	0.166502171338334
PCa57294	x_and_y	1534	0.38766742481678
PCa57294	x_and_noty	694	0.175385392974476
PCa57294	notx_and_noty	1017	0.257012888551933
PCa57294	notx_and_y	712	0.179934293656811
PCa58215	x_and_y	1080	0.286548156009552
PCa58215	x_and_noty	688	0.182541788272751
PCa58215	notx_and_noty	1232	0.326877155744229
PCa58215	notx_and_y	769	0.204032899973468
