SampleID	TAD_Overlap	N	Frequency
PCa13266	1	919	0.251918859649123
PCa13266	0	464	0.12719298245614
PCa13266	2	631	0.17297149122807
PCa13848	0	269	0.0519706336939722
PCa13848	2	459	0.0886785162287481
PCa13848	1	668	0.129057187017002
PCa14121	2	349	0.198860398860399
PCa14121	0	272	0.154985754985755
PCa14121	1	515	0.293447293447293
PCa19121	1	285	0.102150537634409
PCa19121	2	237	0.0849462365591398
PCa19121	0	115	0.0412186379928315
PCa3023	2	275	0.0775521714608009
PCa3023	0	189	0.0532994923857868
PCa3023	1	394	0.111111111111111
PCa33173	0	851	0.107463063518121
PCa33173	1	1227	0.154943806036116
PCa33173	2	681	0.0859957065286021
PCa40507	1	86	0.0748476936466493
PCa40507	2	53	0.0461270670147955
PCa40507	0	33	0.0287206266318538
PCa51852	0	195	0.0858274647887324
PCa51852	1	457	0.201144366197183
PCa51852	2	344	0.151408450704225
PCa53687	2	105	0.10365251727542
PCa53687	1	119	0.117472852912142
PCa53687	0	67	0.0661401776900296
PCa56413	0	261	0.0703125
PCa56413	1	483	0.130118534482759
PCa56413	2	285	0.0767780172413793
PCa57054	1	1020	0.100671140939597
PCa57054	0	1015	0.100177654954599
PCa57054	2	408	0.0402684563758389
PCa57294	1	482	0.121809451604751
PCa57294	2	301	0.0760677280768259
PCa57294	0	234	0.0591357088703563
PCa58215	1	553	0.146723268771557
PCa58215	0	263	0.0697797824356593
PCa58215	2	416	0.110374104537012
