SampleID	Distance_Bin	N_Bin	N_Total	Freq	Bin_Lower	Bin_Mid	Bin_Upper
4DNFI6HDY7WZ		2067	196491	0.0105195657816389			
4DNFI6HDY7WZ	(-1.98e+05,-1.92e+05]	2220	196491	0.0112982273997282	-198000	-195000	-192000
4DNFI6HDY7WZ	(-1.92e+05,-1.88e+05]	2158	196491	0.0109826913191953	-192000	-190000	-188000
4DNFI6HDY7WZ	(-1.88e+05,-1.82e+05]	2155	196491	0.0109674234443308	-188000	-185000	-182000
4DNFI6HDY7WZ	(-1.82e+05,-1.78e+05]	2203	196491	0.0112117094421627	-182000	-180000	-178000
4DNFI6HDY7WZ	(-1.78e+05,-1.72e+05]	2235	196491	0.0113745667740507	-178000	-175000	-172000
4DNFI6HDY7WZ	(-1.72e+05,-1.68e+05]	2152	196491	0.0109521555694663	-172000	-170000	-168000
4DNFI6HDY7WZ	(-1.68e+05,-1.62e+05]	2190	196491	0.0111455486510833	-168000	-165000	-162000
4DNFI6HDY7WZ	(-1.62e+05,-1.58e+05]	2142	196491	0.0109012626532513	-162000	-160000	-158000
4DNFI6HDY7WZ	(-1.58e+05,-1.52e+05]	2161	196491	0.0109979591940598	-158000	-155000	-152000
4DNFI6HDY7WZ	(-1.52e+05,-1.48e+05]	2063	196491	0.0104992086151529	-152000	-150000	-148000
4DNFI6HDY7WZ	(-1.48e+05,-1.42e+05]	2046	196491	0.0104126906575874	-148000	-145000	-142000
4DNFI6HDY7WZ	(-1.42e+05,-1.38e+05]	2135	196491	0.0108656376119008	-142000	-140000	-138000
4DNFI6HDY7WZ	(-1.38e+05,-1.32e+05]	2126	196491	0.0108198339873073	-138000	-135000	-132000
4DNFI6HDY7WZ	(-1.32e+05,-1.28e+05]	2073	196491	0.0105501015313678	-132000	-130000	-128000
4DNFI6HDY7WZ	(-1.28e+05,-1.22e+05]	2002	196491	0.0101887618262414	-128000	-125000	-122000
4DNFI6HDY7WZ	(-1.22e+05,-1.18e+05]	2081	196491	0.0105908158643398	-122000	-120000	-118000
4DNFI6HDY7WZ	(-1.18e+05,-1.12e+05]	2021	196491	0.0102854583670499	-118000	-115000	-112000
4DNFI6HDY7WZ	(-1.12e+05,-1.08e+05]	1856	196491	0.00944572524950252	-112000	-110000	-108000
4DNFI6HDY7WZ	(-1.08e+05,-1.02e+05]	1934	196491	0.00984268999597946	-108000	-105000	-102000
4DNFI6HDY7WZ	(-1.02e+05,-9.75e+04]	1952	196491	0.00993429724516645	-102000	-99750	-97500
4DNFI6HDY7WZ	(-9.75e+04,-9.25e+04]	2011	196491	0.0102345654508349	-97500	-95000	-92500
4DNFI6HDY7WZ	(-9.25e+04,-8.75e+04]	2078	196491	0.0105755479894753	-92500	-90000	-87500
4DNFI6HDY7WZ	(-8.75e+04,-8.25e+04]	2140	196491	0.0108910840700083	-87500	-85000	-82500
4DNFI6HDY7WZ	(-8.25e+04,-7.75e+04]	1926	196491	0.00980197566300747	-82500	-80000	-77500
4DNFI6HDY7WZ	(-7.75e+04,-7.25e+04]	2134	196491	0.0108605483202793	-77500	-75000	-72500
4DNFI6HDY7WZ	(-7.25e+04,-6.75e+04]	2017	196491	0.0102651012005639	-72500	-70000	-67500
4DNFI6HDY7WZ	(-6.75e+04,-6.25e+04]	2223	196491	0.0113134952745927	-67500	-65000	-62500
4DNFI6HDY7WZ	(-6.25e+04,-5.75e+04]	2220	196491	0.0112982273997282	-62500	-60000	-57500
4DNFI6HDY7WZ	(-5.75e+04,-5.25e+04]	2364	196491	0.0120310853932241	-57500	-55000	-52500
4DNFI6HDY7WZ	(-5.25e+04,-4.75e+04]	2439	196491	0.0124127822648366	-52500	-50000	-47500
4DNFI6HDY7WZ	(-4.75e+04,-4.25e+04]	2590	196491	0.0131812652996829	-47500	-45000	-42500
4DNFI6HDY7WZ	(-4.25e+04,-3.75e+04]	2611	196491	0.0132881404237344	-42500	-40000	-37500
4DNFI6HDY7WZ	(-3.75e+04,-3.25e+04]	2827	196491	0.0143874274139783	-37500	-35000	-32500
4DNFI6HDY7WZ	(-3.25e+04,-2.75e+04]	3267	196491	0.0166267157274379	-32500	-30000	-27500
4DNFI6HDY7WZ	(-2.75e+04,-2.25e+04]	3500	196491	0.0178125206752472	-27500	-25000	-22500
4DNFI6HDY7WZ	(-2.25e+04,-1.75e+04]	3577	196491	0.0182043961301027	-22500	-20000	-17500
4DNFI6HDY7WZ	(-1.75e+04,-1.25e+04]	3875	196491	0.0197210050333094	-17500	-15000	-12500
4DNFI6HDY7WZ	(-1.25e+04,-7.5e+03]	4180	196491	0.0212732389778667	-12500	-10000	-7500
4DNFI6HDY7WZ	(-7.5e+03,-2.5e+03]	4419	196491	0.022489579675405	-7500	-5000	-2500
4DNFI6HDY7WZ	(-2.5e+03,2.5e+03]	5039	196491	0.0256449404807345	-2500	0	2500
4DNFI6HDY7WZ	(2.5e+03,7.5e+03]	4280	196491	0.0217821681400166	2500	5000	7500
4DNFI6HDY7WZ	(7.5e+03,1.25e+04]	4129	196491	0.0210136851051702	7500	10000	12500
4DNFI6HDY7WZ	(1.25e+04,1.75e+04]	3792	196491	0.019298593828725	12500	15000	17500
4DNFI6HDY7WZ	(1.75e+04,2.25e+04]	3546	196491	0.0180466280898362	17500	20000	22500
4DNFI6HDY7WZ	(2.25e+04,2.75e+04]	3514	196491	0.0178837707579482	22500	25000	27500
4DNFI6HDY7WZ	(2.75e+04,3.25e+04]	3113	196491	0.015842964817727	27500	30000	32500
4DNFI6HDY7WZ	(3.25e+04,3.75e+04]	2973	196491	0.0151304639907171	32500	35000	37500
4DNFI6HDY7WZ	(3.75e+04,4.25e+04]	2644	196491	0.0134560870472439	37500	40000	42500
4DNFI6HDY7WZ	(4.25e+04,4.75e+04]	2487	196491	0.0126570682626685	42500	45000	47500
4DNFI6HDY7WZ	(4.75e+04,5.25e+04]	2390	196491	0.0121634069753831	47500	50000	52500
4DNFI6HDY7WZ	(5.25e+04,5.75e+04]	2299	196491	0.0117002814378267	52500	55000	57500
4DNFI6HDY7WZ	(5.75e+04,6.25e+04]	2222	196491	0.0113084059829712	57500	60000	62500
4DNFI6HDY7WZ	(6.25e+04,6.75e+04]	2177	196491	0.0110793878600038	62500	65000	67500
4DNFI6HDY7WZ	(6.75e+04,7.25e+04]	2147	196491	0.0109267091113588	67500	70000	72500
4DNFI6HDY7WZ	(7.25e+04,7.75e+04]	2184	196491	0.0111150129013543	72500	75000	77500
4DNFI6HDY7WZ	(7.75e+04,8.25e+04]	2056	196491	0.0104635835738024	77500	80000	82500
4DNFI6HDY7WZ	(8.25e+04,8.75e+04]	2026	196491	0.0103109048251574	82500	85000	87500
4DNFI6HDY7WZ	(8.75e+04,9.25e+04]	2027	196491	0.0103159941167789	87500	90000	92500
4DNFI6HDY7WZ	(9.25e+04,9.75e+04]	2064	196491	0.0105042979067744	92500	95000	97500
4DNFI6HDY7WZ	(9.75e+04,1.02e+05]	2100	196491	0.0106875124051483	97500	99750	102000
4DNFI6HDY7WZ	(1.02e+05,1.08e+05]	2037	196491	0.0103668870329939	102000	105000	108000
4DNFI6HDY7WZ	(1.08e+05,1.12e+05]	1995	196491	0.0101531367848909	108000	110000	112000
4DNFI6HDY7WZ	(1.12e+05,1.18e+05]	2034	196491	0.0103516191581294	112000	115000	118000
