SampleID	Distance_Bin	N_Bin	N_Total	Freq	Bin_Lower	Bin_Mid	Bin_Upper
4DNFI6HDY7WZ		1034	99488	0.0103932132518495			
4DNFI6HDY7WZ	(-1.98e+05,-1.92e+05]	1074	99488	0.0107952717915729	-198000	-195000	-192000
4DNFI6HDY7WZ	(-1.92e+05,-1.88e+05]	1091	99488	0.0109661466709553	-192000	-190000	-188000
4DNFI6HDY7WZ	(-1.88e+05,-1.82e+05]	1090	99488	0.0109560952074622	-188000	-185000	-182000
4DNFI6HDY7WZ	(-1.82e+05,-1.78e+05]	1068	99488	0.0107349630106143	-182000	-180000	-178000
4DNFI6HDY7WZ	(-1.78e+05,-1.72e+05]	1082	99488	0.0108756834995175	-178000	-175000	-172000
4DNFI6HDY7WZ	(-1.72e+05,-1.68e+05]	1075	99488	0.0108053232550659	-172000	-170000	-168000
4DNFI6HDY7WZ	(-1.68e+05,-1.62e+05]	1059	99488	0.0106444998391766	-168000	-165000	-162000
4DNFI6HDY7WZ	(-1.62e+05,-1.58e+05]	1078	99488	0.0108354776455452	-162000	-160000	-158000
4DNFI6HDY7WZ	(-1.58e+05,-1.52e+05]	1069	99488	0.0107450144741074	-158000	-155000	-152000
4DNFI6HDY7WZ	(-1.52e+05,-1.48e+05]	1026	99488	0.0103128015439048	-152000	-150000	-148000
4DNFI6HDY7WZ	(-1.48e+05,-1.42e+05]	1040	99488	0.010453522032808	-148000	-145000	-142000
4DNFI6HDY7WZ	(-1.42e+05,-1.38e+05]	1004	99488	0.0100916693470569	-142000	-140000	-138000
4DNFI6HDY7WZ	(-1.38e+05,-1.32e+05]	1068	99488	0.0107349630106143	-138000	-135000	-132000
4DNFI6HDY7WZ	(-1.32e+05,-1.28e+05]	985	99488	0.00990069154068832	-132000	-130000	-128000
4DNFI6HDY7WZ	(-1.28e+05,-1.22e+05]	981	99488	0.00986048568671599	-128000	-125000	-122000
4DNFI6HDY7WZ	(-1.22e+05,-1.18e+05]	1000	99488	0.0100514634930846	-122000	-120000	-118000
4DNFI6HDY7WZ	(-1.18e+05,-1.12e+05]	959	99488	0.00963935348986812	-118000	-115000	-112000
4DNFI6HDY7WZ	(-1.12e+05,-1.08e+05]	944	99488	0.00948858153747186	-112000	-110000	-108000
4DNFI6HDY7WZ	(-1.08e+05,-1.02e+05]	931	99488	0.00935791251206176	-108000	-105000	-102000
4DNFI6HDY7WZ	(-1.02e+05,-9.75e+04]	967	99488	0.0097197651978128	-102000	-99750	-97500
4DNFI6HDY7WZ	(-9.75e+04,-9.25e+04]	1023	99488	0.0102826471534255	-97500	-95000	-92500
4DNFI6HDY7WZ	(-9.25e+04,-8.75e+04]	1013	99488	0.0101821325184947	-92500	-90000	-87500
4DNFI6HDY7WZ	(-8.75e+04,-8.25e+04]	1061	99488	0.0106646027661628	-87500	-85000	-82500
4DNFI6HDY7WZ	(-8.25e+04,-7.75e+04]	931	99488	0.00935791251206176	-82500	-80000	-77500
4DNFI6HDY7WZ	(-7.75e+04,-7.25e+04]	1034	99488	0.0103932132518495	-77500	-75000	-72500
