SampleID	Distance_Bin	N_Bin	N_Total	Freq	Bin_Lower	Bin_Mid	Bin_Upper
4DNFI6HDY7WZ		1989	189800	0.0104794520547945			
4DNFI6HDY7WZ	(-1.98e+05,-1.92e+05]	2096	189800	0.0110432033719705	-198000	-195000	-192000
4DNFI6HDY7WZ	(-1.92e+05,-1.88e+05]	2154	189800	0.0113487881981033	-192000	-190000	-188000
4DNFI6HDY7WZ	(-1.88e+05,-1.82e+05]	2158	189800	0.0113698630136986	-188000	-185000	-182000
4DNFI6HDY7WZ	(-1.82e+05,-1.78e+05]	2133	189800	0.0112381454162276	-182000	-180000	-178000
4DNFI6HDY7WZ	(-1.78e+05,-1.72e+05]	2121	189800	0.0111749209694415	-178000	-175000	-172000
4DNFI6HDY7WZ	(-1.72e+05,-1.68e+05]	2071	189800	0.0109114857744995	-172000	-170000	-168000
4DNFI6HDY7WZ	(-1.68e+05,-1.62e+05]	2163	189800	0.0113962065331928	-168000	-165000	-162000
4DNFI6HDY7WZ	(-1.62e+05,-1.58e+05]	2151	189800	0.0113329820864067	-162000	-160000	-158000
4DNFI6HDY7WZ	(-1.58e+05,-1.52e+05]	2020	189800	0.0106427818756586	-158000	-155000	-152000
4DNFI6HDY7WZ	(-1.52e+05,-1.48e+05]	2003	189800	0.0105532139093783	-152000	-150000	-148000
4DNFI6HDY7WZ	(-1.48e+05,-1.42e+05]	2068	189800	0.010895679662803	-148000	-145000	-142000
4DNFI6HDY7WZ	(-1.42e+05,-1.38e+05]	2075	189800	0.0109325605900948	-142000	-140000	-138000
4DNFI6HDY7WZ	(-1.38e+05,-1.32e+05]	2069	189800	0.0109009483667018	-138000	-135000	-132000
4DNFI6HDY7WZ	(-1.32e+05,-1.28e+05]	1963	189800	0.0103424657534247	-132000	-130000	-128000
4DNFI6HDY7WZ	(-1.28e+05,-1.22e+05]	1968	189800	0.0103688092729189	-128000	-125000	-122000
4DNFI6HDY7WZ	(-1.22e+05,-1.18e+05]	1992	189800	0.010495258166491	-122000	-120000	-118000
4DNFI6HDY7WZ	(-1.18e+05,-1.12e+05]	1869	189800	0.00984720758693362	-118000	-115000	-112000
4DNFI6HDY7WZ	(-1.12e+05,-1.08e+05]	1888	189800	0.00994731296101159	-112000	-110000	-108000
4DNFI6HDY7WZ	(-1.08e+05,-1.02e+05]	1831	189800	0.00964699683877766	-108000	-105000	-102000
4DNFI6HDY7WZ	(-1.02e+05,-9.75e+04]	1918	189800	0.0101053740779768	-102000	-99750	-97500
4DNFI6HDY7WZ	(-9.75e+04,-9.25e+04]	1966	189800	0.0103582718651212	-97500	-95000	-92500
4DNFI6HDY7WZ	(-9.25e+04,-8.75e+04]	1952	189800	0.0102845100105374	-92500	-90000	-87500
4DNFI6HDY7WZ	(-8.75e+04,-8.25e+04]	2073	189800	0.0109220231822972	-87500	-85000	-82500
4DNFI6HDY7WZ	(-8.25e+04,-7.75e+04]	1921	189800	0.0101211801896733	-82500	-80000	-77500
4DNFI6HDY7WZ	(-7.75e+04,-7.25e+04]	1992	189800	0.010495258166491	-77500	-75000	-72500
4DNFI6HDY7WZ	(-7.25e+04,-6.75e+04]	1979	189800	0.0104267650158061	-72500	-70000	-67500
4DNFI6HDY7WZ	(-6.75e+04,-6.25e+04]	2140	189800	0.0112750263435195	-67500	-65000	-62500
4DNFI6HDY7WZ	(-6.25e+04,-5.75e+04]	2185	189800	0.0115121180189673	-62500	-60000	-57500
4DNFI6HDY7WZ	(-5.75e+04,-5.25e+04]	2258	189800	0.0118967334035827	-57500	-55000	-52500
4DNFI6HDY7WZ	(-5.25e+04,-4.75e+04]	2330	189800	0.0122760800842993	-52500	-50000	-47500
4DNFI6HDY7WZ	(-4.75e+04,-4.25e+04]	2528	189800	0.0133192834562698	-47500	-45000	-42500
4DNFI6HDY7WZ	(-4.25e+04,-3.75e+04]	2582	189800	0.0136037934668072	-42500	-40000	-37500
4DNFI6HDY7WZ	(-3.75e+04,-3.25e+04]	2719	189800	0.0143256059009484	-37500	-35000	-32500
4DNFI6HDY7WZ	(-3.25e+04,-2.75e+04]	3130	189800	0.016491043203372	-32500	-30000	-27500
4DNFI6HDY7WZ	(-2.75e+04,-2.25e+04]	3350	189800	0.017650158061117	-27500	-25000	-22500
4DNFI6HDY7WZ	(-2.25e+04,-1.75e+04]	3434	189800	0.0180927291886196	-22500	-20000	-17500
4DNFI6HDY7WZ	(-1.75e+04,-1.25e+04]	3672	189800	0.0193466807165437	-17500	-15000	-12500
4DNFI6HDY7WZ	(-1.25e+04,-7.5e+03]	3947	189800	0.020795574288725	-12500	-10000	-7500
4DNFI6HDY7WZ	(-7.5e+03,-2.5e+03]	4276	189800	0.0225289778714436	-7500	-5000	-2500
4DNFI6HDY7WZ	(-2.5e+03,2.5e+03]	4876	189800	0.0256902002107482	-2500	0	2500
4DNFI6HDY7WZ	(2.5e+03,7.5e+03]	4045	189800	0.0213119072708114	2500	5000	7500
4DNFI6HDY7WZ	(7.5e+03,1.25e+04]	4012	189800	0.0211380400421496	7500	10000	12500
4DNFI6HDY7WZ	(1.25e+04,1.75e+04]	3687	189800	0.0194257112750263	12500	15000	17500
4DNFI6HDY7WZ	(1.75e+04,2.25e+04]	3377	189800	0.0177924130663857	17500	20000	22500
4DNFI6HDY7WZ	(2.25e+04,2.75e+04]	3311	189800	0.0174446786090622	22500	25000	27500
4DNFI6HDY7WZ	(2.75e+04,3.25e+04]	2887	189800	0.0152107481559536	27500	30000	32500
4DNFI6HDY7WZ	(3.25e+04,3.75e+04]	2915	189800	0.0153582718651212	32500	35000	37500
4DNFI6HDY7WZ	(3.75e+04,4.25e+04]	2619	189800	0.0137987355110643	37500	40000	42500
4DNFI6HDY7WZ	(4.25e+04,4.75e+04]	2374	189800	0.0125079030558483	42500	45000	47500
4DNFI6HDY7WZ	(4.75e+04,5.25e+04]	2339	189800	0.0123234984193888	47500	50000	52500
4DNFI6HDY7WZ	(5.25e+04,5.75e+04]	2225	189800	0.011722866174921	52500	55000	57500
