SampleID	Max_Persistence	Lesser_Persistence	Frac_Max_Persistence
PCa13266	3198	5864	0.352902229088501
PCa13848	3586	6145	0.368512999691707
PCa14121	3324	5849	0.36236781859806
PCa19121	3304	6127	0.350334004877532
PCa3023	3508	5920	0.372083156554943
PCa33173	3395	5690	0.37369290038525
PCa40507	3236	6106	0.346392635409976
PCa51852	3253	5887	0.355908096280088
PCa53687	3289	6079	0.351088812980359
PCa56413	3459	5933	0.368292163543441
PCa57294	3223	5912	0.352818828680898
PCa58215	3463	5924	0.368914456162778
