SampleID	Source	Peak	Background	Fold
4DNFI6HDY7WZ	Cell Line	0.0275201020800843	0.0107879119953693	2.55101284584981
4DNFIIV4M7TF	Cell Line	0.0238219260509937	0.0110438302641387	2.15703478605134
4DNFINSKEZND	Cell Line	0.0256093603955697	0.010905490928064	2.3482996377235
4DNFIT64Q7A3	Cell Line	0.0254642980735956	0.0108246413415012	2.352438041154
4DNFITH978XV	Cell Line	0.0256747624508519	0.0108699752535007	2.36198904340497
4DNFIXVAKX9Q	Cell Line	0.0238785439304277	0.0110425541322633	2.16241130850888
PCa13266	Primary	0.0234921770506081	0.0111446537585682	2.1079324274697
PCa13848	Primary	0.0241268584498988	0.0111362299917119	2.16651941167299
PCa14121	Primary	0.0235558831516468	0.0110667812799252	2.12852161399236
PCa19121	Primary	0.0238471833556394	0.0111095279871415	2.14655234526983
PCa3023	Primary	0.0246108250966254	0.0111086007231525	2.21547481181239
PCa33173	Primary	0.0245692282762186	0.0110607419910189	2.22130018909838
PCa40507	Primary	0.0243960335388032	0.0110854973491771	2.20071619435406
PCa51852	Primary	0.0234742147519026	0.0110716895053456	2.1202016856207
PCa53687	Primary	0.0231886957994059	0.0110985496280298	2.0893446960711
PCa56413	Primary	0.0254866959599658	0.0110644838019619	2.30346904710066
PCa57294	Primary	0.0238102675433801	0.0110703708057374	2.15081029905882
PCa58215	Primary	0.0248176406472709	0.0110512796545813	2.24568026717003
SRR7702334	Cell Line	0.0272684909130084	0.0108724002458959	2.50804700859884
SRR7702335	Cell Line	0.0269341548325694	0.0108704965509423	2.47772994603771
SRR8446383	Cell Line	0.0270624707945393	0.0110289868908306	2.45375854214123
SRR8446384	Cell Line	0.0270420054902367	0.010975702840257	2.4638062713443
SRR8446385	Cell Line	0.0271470759684545	0.0109206982857268	2.48583700951939
SRR8446386	Cell Line	0.027134559535334	0.0109027105517909	2.48879023307436
SRR8446387	Cell Line	0.027244836763926	0.0109594451228213	2.48596862875777
