SampleID	w	N	Label
4DNFI6HDY7WZ	3	8466	H1-hESC Rep 1
4DNFI6HDY7WZ	4	7654	H1-hESC Rep 1
4DNFI6HDY7WZ	5	6914	H1-hESC Rep 1
4DNFI6HDY7WZ	6	6309	H1-hESC Rep 1
4DNFI6HDY7WZ	7	5890	H1-hESC Rep 1
4DNFI6HDY7WZ	8	5501	H1-hESC Rep 1
4DNFI6HDY7WZ	9	5221	H1-hESC Rep 1
4DNFI6HDY7WZ	10	5025	H1-hESC Rep 1
4DNFI6HDY7WZ	11	4875	H1-hESC Rep 1
4DNFI6HDY7WZ	12	4709	H1-hESC Rep 1
4DNFI6HDY7WZ	13	4579	H1-hESC Rep 1
4DNFI6HDY7WZ	14	4475	H1-hESC Rep 1
4DNFI6HDY7WZ	15	4385	H1-hESC Rep 1
4DNFI6HDY7WZ	16	4284	H1-hESC Rep 1
4DNFI6HDY7WZ	17	4194	H1-hESC Rep 1
4DNFI6HDY7WZ	18	4113	H1-hESC Rep 1
4DNFI6HDY7WZ	19	4019	H1-hESC Rep 1
4DNFI6HDY7WZ	20	3954	H1-hESC Rep 1
4DNFI6HDY7WZ	21	3902	H1-hESC Rep 1
4DNFI6HDY7WZ	22	3858	H1-hESC Rep 1
4DNFI6HDY7WZ	23	3805	H1-hESC Rep 1
4DNFI6HDY7WZ	24	3743	H1-hESC Rep 1
4DNFIIV4M7TF	3	7747	GM12878 Rep 1
4DNFIIV4M7TF	4	7302	GM12878 Rep 1
4DNFIIV4M7TF	5	6792	GM12878 Rep 1
4DNFIIV4M7TF	6	6268	GM12878 Rep 1
4DNFIIV4M7TF	7	5851	GM12878 Rep 1
4DNFIIV4M7TF	8	5506	GM12878 Rep 1
4DNFIIV4M7TF	9	5260	GM12878 Rep 1
4DNFIIV4M7TF	10	5024	GM12878 Rep 1
4DNFIIV4M7TF	11	4892	GM12878 Rep 1
4DNFIIV4M7TF	12	4740	GM12878 Rep 1
4DNFIIV4M7TF	13	4601	GM12878 Rep 1
4DNFIIV4M7TF	14	4509	GM12878 Rep 1
4DNFIIV4M7TF	15	4396	GM12878 Rep 1
4DNFIIV4M7TF	16	4345	GM12878 Rep 1
4DNFIIV4M7TF	17	4238	GM12878 Rep 1
4DNFIIV4M7TF	18	4138	GM12878 Rep 1
4DNFIIV4M7TF	19	4094	GM12878 Rep 1
4DNFIIV4M7TF	20	4010	GM12878 Rep 1
4DNFIIV4M7TF	21	3972	GM12878 Rep 1
4DNFIIV4M7TF	22	3899	GM12878 Rep 1
4DNFIIV4M7TF	23	3854	GM12878 Rep 1
4DNFIIV4M7TF	24	3804	GM12878 Rep 1
4DNFINSKEZND	3	8160	HAP-1 Rep 2
4DNFINSKEZND	4	7474	HAP-1 Rep 2
4DNFINSKEZND	5	6824	HAP-1 Rep 2
4DNFINSKEZND	6	6284	HAP-1 Rep 2
4DNFINSKEZND	7	5844	HAP-1 Rep 2
4DNFINSKEZND	8	5525	HAP-1 Rep 2
4DNFINSKEZND	9	5274	HAP-1 Rep 2
4DNFINSKEZND	10	5077	HAP-1 Rep 2
4DNFINSKEZND	11	4944	HAP-1 Rep 2
4DNFINSKEZND	12	4809	HAP-1 Rep 2
4DNFINSKEZND	13	4699	HAP-1 Rep 2
4DNFINSKEZND	14	4592	HAP-1 Rep 2
4DNFINSKEZND	15	4526	HAP-1 Rep 2
4DNFINSKEZND	16	4441	HAP-1 Rep 2
4DNFINSKEZND	17	4381	HAP-1 Rep 2
4DNFINSKEZND	18	4317	HAP-1 Rep 2
4DNFINSKEZND	19	4249	HAP-1 Rep 2
4DNFINSKEZND	20	4201	HAP-1 Rep 2
4DNFINSKEZND	21	4153	HAP-1 Rep 2
4DNFINSKEZND	22	4110	HAP-1 Rep 2
4DNFINSKEZND	23	4071	HAP-1 Rep 2
4DNFINSKEZND	24	4041	HAP-1 Rep 2
4DNFIT64Q7A3	3	8162	HAP-1 Rep 1
4DNFIT64Q7A3	4	7464	HAP-1 Rep 1
4DNFIT64Q7A3	5	6789	HAP-1 Rep 1
4DNFIT64Q7A3	6	6196	HAP-1 Rep 1
4DNFIT64Q7A3	7	5716	HAP-1 Rep 1
4DNFIT64Q7A3	8	5350	HAP-1 Rep 1
4DNFIT64Q7A3	9	5076	HAP-1 Rep 1
4DNFIT64Q7A3	10	4842	HAP-1 Rep 1
4DNFIT64Q7A3	11	4643	HAP-1 Rep 1
4DNFIT64Q7A3	12	4492	HAP-1 Rep 1
4DNFIT64Q7A3	13	4354	HAP-1 Rep 1
4DNFIT64Q7A3	14	4269	HAP-1 Rep 1
4DNFIT64Q7A3	15	4145	HAP-1 Rep 1
4DNFIT64Q7A3	16	4097	HAP-1 Rep 1
4DNFIT64Q7A3	17	4014	HAP-1 Rep 1
4DNFIT64Q7A3	18	3910	HAP-1 Rep 1
4DNFIT64Q7A3	19	3866	HAP-1 Rep 1
4DNFIT64Q7A3	20	3819	HAP-1 Rep 1
4DNFIT64Q7A3	21	3749	HAP-1 Rep 1
4DNFIT64Q7A3	22	3733	HAP-1 Rep 1
4DNFIT64Q7A3	23	3696	HAP-1 Rep 1
4DNFIT64Q7A3	24	3657	HAP-1 Rep 1
4DNFITH978XV	3	8270	H1-hESC Rep 2
4DNFITH978XV	4	7871	H1-hESC Rep 2
4DNFITH978XV	5	7282	H1-hESC Rep 2
4DNFITH978XV	6	6812	H1-hESC Rep 2
4DNFITH978XV	7	6324	H1-hESC Rep 2
4DNFITH978XV	8	6034	H1-hESC Rep 2
4DNFITH978XV	9	5727	H1-hESC Rep 2
4DNFITH978XV	10	5491	H1-hESC Rep 2
4DNFITH978XV	11	5242	H1-hESC Rep 2
4DNFITH978XV	12	5109	H1-hESC Rep 2
4DNFITH978XV	13	4971	H1-hESC Rep 2
4DNFITH978XV	14	4862	H1-hESC Rep 2
4DNFITH978XV	15	4757	H1-hESC Rep 2
4DNFITH978XV	16	4625	H1-hESC Rep 2
4DNFITH978XV	17	4526	H1-hESC Rep 2
4DNFITH978XV	18	4416	H1-hESC Rep 2
4DNFITH978XV	19	4321	H1-hESC Rep 2
4DNFITH978XV	20	4242	H1-hESC Rep 2
4DNFITH978XV	21	4172	H1-hESC Rep 2
4DNFITH978XV	22	4110	H1-hESC Rep 2
4DNFITH978XV	23	4037	H1-hESC Rep 2
4DNFITH978XV	24	3986	H1-hESC Rep 2
4DNFIXVAKX9Q	3	8022	GM12878 Rep 2
4DNFIXVAKX9Q	4	7375	GM12878 Rep 2
4DNFIXVAKX9Q	5	6810	GM12878 Rep 2
4DNFIXVAKX9Q	6	6264	GM12878 Rep 2
4DNFIXVAKX9Q	7	5882	GM12878 Rep 2
4DNFIXVAKX9Q	8	5615	GM12878 Rep 2
4DNFIXVAKX9Q	9	5370	GM12878 Rep 2
4DNFIXVAKX9Q	10	5154	GM12878 Rep 2
4DNFIXVAKX9Q	11	5054	GM12878 Rep 2
4DNFIXVAKX9Q	12	4913	GM12878 Rep 2
4DNFIXVAKX9Q	13	4816	GM12878 Rep 2
4DNFIXVAKX9Q	14	4664	GM12878 Rep 2
4DNFIXVAKX9Q	15	4571	GM12878 Rep 2
4DNFIXVAKX9Q	16	4498	GM12878 Rep 2
4DNFIXVAKX9Q	17	4416	GM12878 Rep 2
4DNFIXVAKX9Q	18	4369	GM12878 Rep 2
4DNFIXVAKX9Q	19	4299	GM12878 Rep 2
4DNFIXVAKX9Q	20	4221	GM12878 Rep 2
4DNFIXVAKX9Q	21	4172	GM12878 Rep 2
4DNFIXVAKX9Q	22	4087	GM12878 Rep 2
4DNFIXVAKX9Q	23	4026	GM12878 Rep 2
4DNFIXVAKX9Q	24	3990	GM12878 Rep 2
Benign-Prostate-1595983	3	7418	BP1595983
Benign-Prostate-1595983	4	7076	BP1595983
Benign-Prostate-1595983	5	6519	BP1595983
Benign-Prostate-1595983	6	6070	BP1595983
Benign-Prostate-1595983	7	5692	BP1595983
Benign-Prostate-1595983	8	5335	BP1595983
Benign-Prostate-1595983	9	5067	BP1595983
Benign-Prostate-1595983	10	4844	BP1595983
Benign-Prostate-1595983	11	4668	BP1595983
Benign-Prostate-1595983	12	4531	BP1595983
Benign-Prostate-1595983	13	4397	BP1595983
Benign-Prostate-1595983	14	4297	BP1595983
Benign-Prostate-1595983	15	4195	BP1595983
Benign-Prostate-1595983	16	4078	BP1595983
Benign-Prostate-1595983	17	3954	BP1595983
Benign-Prostate-1595983	18	3911	BP1595983
Benign-Prostate-1595983	19	3838	BP1595983
Benign-Prostate-1595983	20	3764	BP1595983
Benign-Prostate-1595983	21	3674	BP1595983
Benign-Prostate-1595983	22	3615	BP1595983
Benign-Prostate-1595983	23	3575	BP1595983
Benign-Prostate-1595983	24	3523	BP1595983
Benign-Prostate-1648133	3	7447	BP1648133
Benign-Prostate-1648133	4	7112	BP1648133
Benign-Prostate-1648133	5	6639	BP1648133
Benign-Prostate-1648133	6	6156	BP1648133
Benign-Prostate-1648133	7	5722	BP1648133
Benign-Prostate-1648133	8	5377	BP1648133
Benign-Prostate-1648133	9	5118	BP1648133
Benign-Prostate-1648133	10	4898	BP1648133
Benign-Prostate-1648133	11	4692	BP1648133
Benign-Prostate-1648133	12	4495	BP1648133
Benign-Prostate-1648133	13	4378	BP1648133
Benign-Prostate-1648133	14	4257	BP1648133
Benign-Prostate-1648133	15	4102	BP1648133
Benign-Prostate-1648133	16	4007	BP1648133
Benign-Prostate-1648133	17	3898	BP1648133
Benign-Prostate-1648133	18	3856	BP1648133
Benign-Prostate-1648133	19	3761	BP1648133
Benign-Prostate-1648133	20	3680	BP1648133
Benign-Prostate-1648133	21	3639	BP1648133
Benign-Prostate-1648133	22	3589	BP1648133
Benign-Prostate-1648133	23	3516	BP1648133
Benign-Prostate-1648133	24	3476	BP1648133
Benign-Prostate-1664855	3	7405	BP1664855
Benign-Prostate-1664855	4	7080	BP1664855
Benign-Prostate-1664855	5	6593	BP1664855
Benign-Prostate-1664855	6	6059	BP1664855
Benign-Prostate-1664855	7	5701	BP1664855
Benign-Prostate-1664855	8	5349	BP1664855
Benign-Prostate-1664855	9	5061	BP1664855
Benign-Prostate-1664855	10	4816	BP1664855
Benign-Prostate-1664855	11	4638	BP1664855
Benign-Prostate-1664855	12	4471	BP1664855
Benign-Prostate-1664855	13	4342	BP1664855
Benign-Prostate-1664855	14	4228	BP1664855
Benign-Prostate-1664855	15	4107	BP1664855
Benign-Prostate-1664855	16	4017	BP1664855
Benign-Prostate-1664855	17	3917	BP1664855
Benign-Prostate-1664855	18	3840	BP1664855
Benign-Prostate-1664855	19	3765	BP1664855
Benign-Prostate-1664855	20	3718	BP1664855
Benign-Prostate-1664855	21	3656	BP1664855
Benign-Prostate-1664855	22	3585	BP1664855
Benign-Prostate-1664855	23	3529	BP1664855
Benign-Prostate-1664855	24	3474	BP1664855
Benign-Prostate-3320942	3	7340	BP3320942
Benign-Prostate-3320942	4	7024	BP3320942
Benign-Prostate-3320942	5	6572	BP3320942
Benign-Prostate-3320942	6	6060	BP3320942
Benign-Prostate-3320942	7	5662	BP3320942
Benign-Prostate-3320942	8	5367	BP3320942
Benign-Prostate-3320942	9	5091	BP3320942
Benign-Prostate-3320942	10	4878	BP3320942
Benign-Prostate-3320942	11	4692	BP3320942
Benign-Prostate-3320942	12	4473	BP3320942
Benign-Prostate-3320942	13	4321	BP3320942
Benign-Prostate-3320942	14	4211	BP3320942
Benign-Prostate-3320942	15	4081	BP3320942
Benign-Prostate-3320942	16	3988	BP3320942
Benign-Prostate-3320942	17	3913	BP3320942
Benign-Prostate-3320942	18	3828	BP3320942
Benign-Prostate-3320942	19	3759	BP3320942
Benign-Prostate-3320942	20	3694	BP3320942
Benign-Prostate-3320942	21	3624	BP3320942
Benign-Prostate-3320942	22	3568	BP3320942
Benign-Prostate-3320942	23	3516	BP3320942
Benign-Prostate-3320942	24	3454	BP3320942
Benign-Prostate-3330581	3	7424	BP3330581
Benign-Prostate-3330581	4	7070	BP3330581
Benign-Prostate-3330581	5	6559	BP3330581
Benign-Prostate-3330581	6	6111	BP3330581
Benign-Prostate-3330581	7	5722	BP3330581
Benign-Prostate-3330581	8	5419	BP3330581
