w	s1	s2	dist
3	PCa13266	PCa13848	0.27891113365593917
3	PCa13848	PCa13266	0.27891113365593917
3	PCa13266	PCa14121	0.2983849763861662
3	PCa14121	PCa13266	0.2983849763861662
3	PCa13266	PCa19121	0.2858781025077771
3	PCa19121	PCa13266	0.2858781025077771
3	PCa13266	PCa3023	0.2790932911519636
3	PCa3023	PCa13266	0.2790932911519636
3	PCa13266	PCa33173	0.2570477395254561
3	PCa33173	PCa13266	0.2570477395254561
3	PCa13266	PCa40507	0.2952407386483893
3	PCa40507	PCa13266	0.2952407386483893
3	PCa13266	PCa51852	0.28360985729126315
3	PCa51852	PCa13266	0.28360985729126315
3	PCa13266	PCa53687	0.29830344639659073
3	PCa53687	PCa13266	0.29830344639659073
3	PCa13266	PCa56413	0.2886141574118117
3	PCa56413	PCa13266	0.2886141574118117
3	PCa13266	PCa57054	0.27380357275070466
3	PCa57054	PCa13266	0.27380357275070466
3	PCa13266	PCa57294	0.2829778539218601
3	PCa57294	PCa13266	0.2829778539218601
3	PCa13266	PCa58215	0.2711892682681631
3	PCa58215	PCa13266	0.2711892682681631
3	PCa13848	PCa14121	0.29801812093773034
3	PCa14121	PCa13848	0.29801812093773034
3	PCa13848	PCa19121	0.26215953341015436
3	PCa19121	PCa13848	0.26215953341015436
3	PCa13848	PCa3023	0.25151701298679774
3	PCa3023	PCa13848	0.25151701298679774
3	PCa13848	PCa33173	0.24565219320116696
3	PCa33173	PCa13848	0.24565219320116696
3	PCa13848	PCa40507	0.292349586829418
3	PCa40507	PCa13848	0.292349586829418
3	PCa13848	PCa51852	0.2881116012816771
3	PCa51852	PCa13848	0.2881116012816771
3	PCa13848	PCa53687	0.2988572208323438
3	PCa53687	PCa13848	0.2988572208323438
3	PCa13848	PCa56413	0.26646536569477075
3	PCa56413	PCa13848	0.26646536569477075
3	PCa13848	PCa57054	0.25672201389480487
3	PCa57054	PCa13848	0.25672201389480487
3	PCa13848	PCa57294	0.28870061209503994
3	PCa57294	PCa13848	0.28870061209503994
3	PCa13848	PCa58215	0.25501076861558175
3	PCa58215	PCa13848	0.25501076861558175
3	PCa14121	PCa19121	0.29947368761371485
3	PCa19121	PCa14121	0.29947368761371485
3	PCa14121	PCa3023	0.29218689348387483
3	PCa3023	PCa14121	0.29218689348387483
3	PCa14121	PCa33173	0.2809285198265389
3	PCa33173	PCa14121	0.2809285198265389
3	PCa14121	PCa40507	0.307224689338854
3	PCa40507	PCa14121	0.307224689338854
3	PCa14121	PCa51852	0.30839777570530197
3	PCa51852	PCa14121	0.30839777570530197
3	PCa14121	PCa53687	0.3106556981114769
3	PCa53687	PCa14121	0.3106556981114769
3	PCa14121	PCa56413	0.28747833425145514
3	PCa56413	PCa14121	0.28747833425145514
3	PCa14121	PCa57054	0.2901004725417608
3	PCa57054	PCa14121	0.2901004725417608
3	PCa14121	PCa57294	0.29148177878042314
3	PCa57294	PCa14121	0.29148177878042314
3	PCa14121	PCa58215	0.28458252664348693
3	PCa58215	PCa14121	0.28458252664348693
3	PCa19121	PCa3023	0.2601258038088192
3	PCa3023	PCa19121	0.2601258038088192
