SampleID	w	BPscore	window_step_abs_delta
PCa13266	4	0.17152106167927514	0.8284789383207248
PCa13848	4	0.15257557000321822	0.8474244299967818
PCa14121	4	0.17189473628203156	0.8281052637179684
PCa19121	4	0.16507211622964504	0.834927883770355
PCa3023	4	0.14758983200808123	0.8524101679919187
PCa33173	4	0.15068948702865273	0.8493105129713473
PCa40507	4	0.18176687914973155	0.8182331208502684
PCa51852	4	0.17713842386856263	0.8228615761314374
PCa53687	4	0.17595349057532803	0.824046509424672
PCa56413	4	0.14814306009922323	0.8518569399007767
PCa57294	4	0.16772630681675074	0.8322736931832493
PCa58215	4	0.14766735883474055	0.8523326411652594
Benign-Prostate-1648133	4	0.21470909445139394	0.785290905548606
Benign-Prostate-1595983	4	0.2090630887079342	0.7909369112920658
Benign-Prostate-1664855	4	0.20761901725300458	0.7923809827469954
Benign-Prostate-3320942	4	0.21999522663115317	0.7800047733688469
Benign-Prostate-3330581	4	0.21248751656069592	0.7875124834393041
SRR7702334	4	0.14778974303475814	0.8522102569652419
SRR7702335	4	0.1568826937131294	0.8431173062868706
SRR8446383	4	0.15406901631715544	0.8459309836828446
SRR8446384	4	0.1469921843970853	0.8530078156029147
SRR8446385	4	0.1763600784297807	0.8236399215702193
SRR8446386	4	0.16875027903192538	0.8312497209680746
SRR8446387	4	0.16086957950451797	0.839130420495482
4DNFI6HDY7WZ	4	0.15232488302457872	0.8476751169754213
4DNFITH978XV	4	0.1743142236987645	0.8256857763012355
4DNFIT64Q7A3	4	0.16660396244844564	0.8333960375515543
4DNFINSKEZND	4	0.16600321161373865	0.8339967883862613
4DNFIIV4M7TF	4	0.19867705064260102	0.801322949357399
4DNFIXVAKX9Q	4	0.18417823182988652	0.8158217681701134
PCa13266	5	0.12199727687826187	0.04952378480101327
PCa13848	5	0.1092892926893955	0.04328627731382273
PCa14121	5	0.12750811226539882	0.044386624016632736
PCa19121	5	0.12591108249936095	0.039161033730284095
PCa3023	5	0.11869661873037207	0.028893213277709162
PCa33173	5	0.113327209063075	0.03736227796557773
PCa40507	5	0.13411466510461292	0.04765221404511863
PCa51852	5	0.13523061659696403	0.041907807271598596
PCa53687	5	0.12301898291168946	0.052934507663638566
PCa56413	5	0.11573653665188806	0.032406523447335175
PCa57294	5	0.12813276974035426	0.039593537076396484
PCa58215	5	0.1152000319611687	0.03246732687357186
Benign-Prostate-1648133	5	0.1685542830022506	0.04615481144914335
Benign-Prostate-1595983	5	0.15792914970693353	0.05113393900100066
Benign-Prostate-1664855	5	0.16256843920202446	0.04505057805098012
Benign-Prostate-3320942	5	0.16542675017329336	0.05456847645785981
Benign-Prostate-3330581	5	0.15781656389743284	0.05467095266326308
SRR7702334	5	0.11637339673970243	0.031416346295055714
SRR7702335	5	0.12014675109990822	0.03673594261322119
SRR8446383	5	0.12363229781958057	0.03043671849757487
SRR8446384	5	0.1147828742128106	0.03220931018427471
SRR8446385	5	0.1309242287394808	0.04543584969029987
SRR8446386	5	0.13383881910194584	0.034911459929979544
SRR8446387	5	0.12931556755320575	0.031554011951312216
4DNFI6HDY7WZ	5	0.13247462159849177	0.01985026142608695
4DNFITH978XV	5	0.13678125916063835	0.03753296453812616
4DNFIT64Q7A3	5	0.13449705667111667	0.03210690577732897
4DNFINSKEZND	5	0.13222537984431323	0.03377783176942542
4DNFIIV4M7TF	5	0.16145083647876893	0.037226214163832094
4DNFIXVAKX9Q	5	0.1539915261384222	0.03018670569146431
PCa13266	6	0.10254602482849882	0.019451252049763043
PCa13848	6	0.09814671632524515	0.01114257636415035
PCa14121	6	0.10619329287316552	0.0213148193922333
PCa19121	6	0.09941016552044073	0.026500916978920222
PCa3023	6	0.09676216808933195	0.021934450641040118
PCa33173	6	0.09556261320900661	0.017764595854068393
PCa40507	6	0.10932721552650387	0.02478744957810905
PCa51852	6	0.10832502985968673	0.026905586737277304
PCa53687	6	0.10534757314468317	0.01767140976700629
PCa56413	6	0.0961481172027684	0.019588419449119654
PCa57294	6	0.09759603770754834	0.03053673203280592
PCa58215	6	0.08979605012905592	0.025403981832112774
Benign-Prostate-1648133	6	0.1389678475001359	0.029586435502114677
Benign-Prostate-1595983	6	0.13561229491520413	0.0223168547917294
Benign-Prostate-1664855	6	0.13774275918735762	0.02482568001466684
Benign-Prostate-3320942	6	0.14549022065808692	0.01993652951520644
Benign-Prostate-3330581	6	0.13403983149771617	0.02377673239971667
SRR7702334	6	0.10708402929522534	0.009289367444477087
SRR7702335	6	0.1101031554809391	0.010043595618969114
SRR8446383	6	0.10411686018992969	0.019515437629650884
SRR8446384	6	0.10878011764148858	0.0060027565713220155
SRR8446385	6	0.12143685012206172	0.009487378617419093
SRR8446386	6	0.11745855790415072	0.01638026119779512
SRR8446387	6	0.11302779125786136	0.01628777629534439
