Sample	Resolution	w	N	Mean_Size	SD_Size
Benign-Prostate-1595983	40000	3	7021	389025.110810426	261011.782584064
Benign-Prostate-1595983	40000	4	6621	411687.857272315	250628.285756192
Benign-Prostate-1595983	40000	5	5961	454854.102164067	258642.633831749
Benign-Prostate-1595983	40000	6	5411	498544.687303641	278983.496594
Benign-Prostate-1595983	40000	7	4900	545792.918979592	298646.419930122
Benign-Prostate-1595983	40000	8	4479	593272.003348962	318977.263729153
Benign-Prostate-1595983	40000	9	4123	638686.709434878	344376.044997558
Benign-Prostate-1595983	40000	10	3793	686798.128921698	367752.686405024
Benign-Prostate-1595983	40000	11	3523	731486.035481124	391960.335899228
Benign-Prostate-1595983	40000	12	3320	770212.440662651	412639.849640823
Benign-Prostate-1595983	40000	13	3132	809165.166985952	439393.885180814
Benign-Prostate-1595983	40000	14	2968	846814.455188679	460195.979488376
Benign-Prostate-1595983	40000	15	2812	885741.572901849	476225.028463718
Benign-Prostate-1595983	40000	16	2661	928562.6843292	500518.652019295
Benign-Prostate-1595983	40000	17	2535	969966.588954635	527473.332878055
Benign-Prostate-1595983	40000	18	2406	1011082.8358271	547160.232812243
Benign-Prostate-1595983	40000	19	2298	1048331.28938207	572588.725851194
Benign-Prostate-1595983	40000	20	2190	1093472.74109589	593163.660925978
Benign-Prostate-1595983	40000	21	2106	1134921.7962963	629518.707842785
Benign-Prostate-1595983	40000	22	2036	1165925.98379175	656125.042795053
Benign-Prostate-1595983	40000	23	1966	1198832.80925738	674841.096093415
Benign-Prostate-1595983	40000	24	1894	1237901.42713833	704544.656283559
Benign-Prostate-1595983	40000	25	1838	1271765.67083787	736304.403243525
Benign-Prostate-1595983	40000	26	1798	1295408.95606229	750880.607720981
Benign-Prostate-1595983	40000	27	1743	1334426.45037292	769178.405117487
Benign-Prostate-1595983	40000	28	1712	1355715.71436916	780154.789797434
Benign-Prostate-1595983	40000	29	1664	1388837.32151442	796140.217262431
Benign-Prostate-1595983	40000	30	1628	1414855.83722359	823436.907370613
Benign-Prostate-1648133	40000	3	7073	386577.874027994	262713.601083495
Benign-Prostate-1648133	40000	4	6661	409215.628734424	247649.69514494
Benign-Prostate-1648133	40000	5	6039	448045.25633383	259919.717894084
Benign-Prostate-1648133	40000	6	5466	492123.180204903	283870.816700624
Benign-Prostate-1648133	40000	7	4953	540138.361195235	305416.439399902
Benign-Prostate-1648133	40000	8	4509	589271.524284764	333272.859246447
Benign-Prostate-1648133	40000	9	4187	630347.576546453	347867.867390262
Benign-Prostate-1648133	40000	10	3835	679224.329335072	375222.633506531
Benign-Prostate-1648133	40000	11	3541	728174.330132731	398894.429687178
Benign-Prostate-1648133	40000	12	3308	773792.413240629	421472.354496386
Benign-Prostate-1648133	40000	13	3126	812676.040627	450516.512545271
Benign-Prostate-1648133	40000	14	2961	849829.551840595	474188.423114696
Benign-Prostate-1648133	40000	15	2794	895227.381173944	503548.785840539
Benign-Prostate-1648133	40000	16	2635	940548.502087287	525321.37829347
Benign-Prostate-1648133	40000	17	2514	980948.807875895	544656.97050237
Benign-Prostate-1648133	40000	18	2415	1014155.40496894	564349.662707335
Benign-Prostate-1648133	40000	19	2296	1058808.92987805	596500.525045889
Benign-Prostate-1648133	40000	20	2209	1095566.00407424	618900.071824718
Benign-Prostate-1648133	40000	21	2130	1128387.46619718	646994.164246342
Benign-Prostate-1648133	40000	22	2056	1161880.01118677	665599.882167355
Benign-Prostate-1648133	40000	23	1977	1203351.19018715	698424.947750655
Benign-Prostate-1648133	40000	24	1912	1236540.43043933	709044.062293007
Benign-Prostate-1648133	40000	25	1858	1269787.56889128	735491.630361476
Benign-Prostate-1648133	40000	26	1799	1302871.20789327	750951.141969134
Benign-Prostate-1648133	40000	27	1751	1338198.34551685	770892.239730429
Benign-Prostate-1648133	40000	28	1695	1375708.14336283	795013.002437401
Benign-Prostate-1648133	40000	29	1659	1401220.79746835	810062.138967561
Benign-Prostate-1648133	40000	30	1618	1436010.69406675	826538.260694992
Benign-Prostate-1664855	40000	3	6963	391030.490162286	276531.239353777
Benign-Prostate-1664855	40000	4	6543	414731.056548984	259524.809531408
Benign-Prostate-1664855	40000	5	5951	453474.256931608	266939.564813341
Benign-Prostate-1664855	40000	6	5338	502912.196140877	285037.706099673
Benign-Prostate-1664855	40000	7	4859	548644.845235645	317556.626357736
Benign-Prostate-1664855	40000	8	4412	599588.690616501	345624.872417981
Benign-Prostate-1664855	40000	9	4068	645247.124631269	371443.390900875
Benign-Prostate-1664855	40000	10	3712	698810.695851293	405620.871100889
Benign-Prostate-1664855	40000	11	3459	743956.433362244	428469.360214664
Benign-Prostate-1664855	40000	12	3249	786342.044629117	456856.698502933
Benign-Prostate-1664855	40000	13	3062	826944.906270412	486732.683202711
Benign-Prostate-1664855	40000	14	2884	869121.117545076	508961.27488893
Benign-Prostate-1664855	40000	15	2710	916555.462361624	538979.79647554
Benign-Prostate-1664855	40000	16	2595	951424.008863198	563405.520722144
Benign-Prostate-1664855	40000	17	2471	993438.002023472	586752.84789234
Benign-Prostate-1664855	40000	18	2353	1036440.84275393	608472.869591682
Benign-Prostate-1664855	40000	19	2266	1069402.16372462	637949.257298629
Benign-Prostate-1664855	40000	20	2156	1111700.04777365	656781.900938498
Benign-Prostate-1664855	40000	21	2081	1147133.73522345	676874.743741384
Benign-Prostate-1664855	40000	22	2015	1181034.8898263	692478.134655355
Benign-Prostate-1664855	40000	23	1945	1218933.31773779	721821.902880595
Benign-Prostate-1664855	40000	24	1893	1246817.38140518	736918.495962059
Benign-Prostate-1664855	40000	25	1835	1281648.66648501	759917.272413171
Benign-Prostate-1664855	40000	26	1779	1313943.39685216	777005.840678078
Benign-Prostate-1664855	40000	27	1742	1343321.06946039	792356.346824586
Benign-Prostate-1664855	40000	28	1696	1375769.63620283	813735.684384714
Benign-Prostate-1664855	40000	29	1657	1405012.25286663	822138.824724343
Benign-Prostate-1664855	40000	30	1619	1437470.84805435	833844.285957784
Benign-Prostate-3320942	40000	3	6932	393682.586122331	274260.157547523
Benign-Prostate-3320942	40000	4	6542	416081.884286151	265640.561669932
Benign-Prostate-3320942	40000	5	5975	453002.12334728	267446.066918832
Benign-Prostate-3320942	40000	6	5345	503163.271655753	292908.858656287
Benign-Prostate-3320942	40000	7	4862	549981.013368984	319581.192963031
Benign-Prostate-3320942	40000	8	4480	592457.072991071	343897.166930932
Benign-Prostate-3320942	40000	9	4117	639360.623512266	363439.024306832
Benign-Prostate-3320942	40000	10	3784	686217.676268499	389312.644997193
Benign-Prostate-3320942	40000	11	3499	734737.835667334	415193.424475625
Benign-Prostate-3320942	40000	12	3250	786673.134461539	451467.530323741
Benign-Prostate-3320942	40000	13	3039	832908.090490293	484633.542141094
Benign-Prostate-3320942	40000	14	2863	874483.99825358	521416.10597392
Benign-Prostate-3320942	40000	15	2714	915905.558953574	545388.11212482
Benign-Prostate-3320942	40000	16	2567	959597.852356837	567465.20368886
Benign-Prostate-3320942	40000	17	2451	997587.795593635	588877.227867458
Benign-Prostate-3320942	40000	18	2348	1037328.65715503	609102.04053546
Benign-Prostate-3320942	40000	19	2224	1082449.49955036	631386.132071537
Benign-Prostate-3320942	40000	20	2139	1119274.28097242	650800.148655442
Benign-Prostate-3320942	40000	21	2064	1155565.73982558	670590.651973738
Benign-Prostate-3320942	40000	22	1996	1189061.96743487	702498.862765967
Benign-Prostate-3320942	40000	23	1904	1235949.41544118	724362.004985234
Benign-Prostate-3320942	40000	24	1850	1267441.99297297	740588.545235517
Benign-Prostate-3320942	40000	25	1802	1295742.33462819	761858.38433451
Benign-Prostate-3320942	40000	26	1746	1331619.52290951	782363.099611454
Benign-Prostate-3320942	40000	27	1722	1349086.92624855	802883.028018611
Benign-Prostate-3320942	40000	28	1681	1376661.32480666	818722.090536451
Benign-Prostate-3320942	40000	29	1651	1404220.28285887	832139.598623158
Benign-Prostate-3320942	40000	30	1597	1445740.56793989	856905.984618649
Benign-Prostate-3330581	40000	3	6877	392445.497600698	279039.339750639
Benign-Prostate-3330581	40000	4	6444	417629.994878957	273329.621121617
Benign-Prostate-3330581	40000	5	5835	459291.805826907	283158.778885191
Benign-Prostate-3330581	40000	6	5286	504080.152667423	302873.522881448
Benign-Prostate-3330581	40000	7	4791	552086.764141098	321239.386473207
Benign-Prostate-3330581	40000	8	4392	597406.121812386	344378.650009903
Benign-Prostate-3330581	40000	9	4059	640819.829268293	367913.715539602
Benign-Prostate-3330581	40000	10	3772	683331.836426299	393854.796772445
Benign-Prostate-3330581	40000	11	3489	732429.832903411	418113.446262447
Benign-Prostate-3330581	40000	12	3266	775617.78536436	443588.172346102
Benign-Prostate-3330581	40000	13	3086	816101.000324044	473202.669454944
Benign-Prostate-3330581	40000	14	2896	859215.361533149	500729.995728135
Benign-Prostate-3330581	40000	15	2730	903900.251648352	526331.677458384
Benign-Prostate-3330581	40000	16	2596	944471.37403698	552752.695009087
Benign-Prostate-3330581	40000	17	2478	983844.910008071	576835.640548762
Benign-Prostate-3330581	40000	18	2370	1023074.97341772	607171.783363475
Benign-Prostate-3330581	40000	19	2290	1050536.10786026	633422.431963126
Benign-Prostate-3330581	40000	20	2203	1084052.51339083	648016.852254159
Benign-Prostate-3330581	40000	21	2125	1118384.79388235	669404.942124208
Benign-Prostate-3330581	40000	22	2049	1154635.27916057	706433.563124218
Benign-Prostate-3330581	40000	23	1993	1185011.3833417	724482.120635594
Benign-Prostate-3330581	40000	24	1934	1211648.2352637	740411.033741332
Benign-Prostate-3330581	40000	25	1877	1242199.08737347	759120.99320478
Benign-Prostate-3330581	40000	26	1820	1277696.53131868	786376.352425569
Benign-Prostate-3330581	40000	27	1795	1297118.48857939	803231.972955326
Benign-Prostate-3330581	40000	28	1735	1338332.96080692	833943.558185108
Benign-Prostate-3330581	40000	29	1699	1366172.85874044	847891.251504708
Benign-Prostate-3330581	40000	30	1664	1394331.54266827	874598.883983845
Benign-Prostate-1595983	40000	3	7021	389025.110810426	261011.782584064
Benign-Prostate-1595983	40000	4	6621	411687.857272315	250628.285756192
Benign-Prostate-1595983	40000	5	5961	454854.102164067	258642.633831749
Benign-Prostate-1595983	40000	6	5411	498544.687303641	278983.496594
Benign-Prostate-1595983	40000	7	4900	545792.918979592	298646.419930122
Benign-Prostate-1595983	40000	8	4479	593272.003348962	318977.263729153
Benign-Prostate-1595983	40000	9	4123	638686.709434878	344376.044997558
Benign-Prostate-1595983	40000	10	3793	686798.128921698	367752.686405024
Benign-Prostate-1595983	40000	11	3523	731486.035481124	391960.335899228
Benign-Prostate-1595983	40000	12	3320	770212.440662651	412639.849640823
Benign-Prostate-1595983	40000	13	3132	809165.166985952	439393.885180814
Benign-Prostate-1595983	40000	14	2968	846814.455188679	460195.979488376
Benign-Prostate-1595983	40000	15	2812	885741.572901849	476225.028463718
Benign-Prostate-1595983	40000	16	2661	928562.6843292	500518.652019295
Benign-Prostate-1595983	40000	17	2535	969966.588954635	527473.332878055
Benign-Prostate-1595983	40000	18	2406	1011082.8358271	547160.232812243
Benign-Prostate-1595983	40000	19	2298	1048331.28938207	572588.725851194
Benign-Prostate-1595983	40000	20	2190	1093472.74109589	593163.660925978
Benign-Prostate-1595983	40000	21	2106	1134921.7962963	629518.707842785
Benign-Prostate-1595983	40000	22	2036	1165925.98379175	656125.042795053
Benign-Prostate-1595983	40000	23	1966	1198832.80925738	674841.096093415
Benign-Prostate-1595983	40000	24	1894	1237901.42713833	704544.656283559
Benign-Prostate-1595983	40000	25	1838	1271765.67083787	736304.403243525
Benign-Prostate-1595983	40000	26	1798	1295408.95606229	750880.607720981
Benign-Prostate-1595983	40000	27	1743	1334426.45037292	769178.405117487
Benign-Prostate-1595983	40000	28	1712	1355715.71436916	780154.789797434
Benign-Prostate-1595983	40000	29	1664	1388837.32151442	796140.217262431
Benign-Prostate-1595983	40000	30	1628	1414855.83722359	823436.907370613
Benign-Prostate-1648133	40000	3	7073	386577.874027994	262713.601083495
Benign-Prostate-1648133	40000	4	6661	409215.628734424	247649.69514494
Benign-Prostate-1648133	40000	5	6039	448045.25633383	259919.717894084
Benign-Prostate-1648133	40000	6	5466	492123.180204903	283870.816700624
Benign-Prostate-1648133	40000	7	4953	540138.361195235	305416.439399902
Benign-Prostate-1648133	40000	8	4509	589271.524284764	333272.859246447
Benign-Prostate-1648133	40000	9	4187	630347.576546453	347867.867390262
Benign-Prostate-1648133	40000	10	3835	679224.329335072	375222.633506531
Benign-Prostate-1648133	40000	11	3541	728174.330132731	398894.429687178
Benign-Prostate-1648133	40000	12	3308	773792.413240629	421472.354496386
Benign-Prostate-1648133	40000	13	3126	812676.040627	450516.512545271
Benign-Prostate-1648133	40000	14	2961	849829.551840595	474188.423114696
Benign-Prostate-1648133	40000	15	2794	895227.381173944	503548.785840539
