SampleID	p	FDR
PCa13266	0.994005994005994	0.994005994005994
PCa13848	0.245754245754246	0.533466533466534
PCa14121	0.803196803196803	0.994005994005994
PCa19121	0.0889110889110889	0.355644355644356
PCa3023	0.963036963036963	0.994005994005994
PCa33173	0.387612387612388	0.664478378764094
PCa40507	0.266733266733267	0.533466533466534
PCa51852	0.051948051948052	0.311688311688312
PCa53687	0.118881118881119	0.356643356643357
PCa56413	0.712287712287712	0.994005994005994
PCa57294	0.003996003996004	0.047952047952048
PCa58215	0.944055944055944	0.994005994005994
