#	Symbol	Description	Category	Score	PubmedIds
1	CHEK2	Checkpoint Kinase 2	Protein Coding	1446.4	15122511 15239132 16257342 (more) 
2	PTEN	Phosphatase And Tensin Homolog	Protein Coding	1383.71	24071797 19042984 25394175 (more) 
	PTEN::MIR21 46 	MIR21 Macro RNA (hsa-miR-21) targets PTEN			
3	MXI1	MAX Interactor 1, Dimerization Protein	Protein Coding	1343.75	24071797 19042984 25394175 (more) 
4	AR	Androgen Receptor	Protein Coding	1151.07	24071797 1631125 1779964 (more) 
5	CDH1	Cadherin 1	Protein Coding	1121.28	16189707 24071797 14961571 (more) 
6	BRCA2	BRCA2 DNA Repair Associated	Protein Coding	1103.18	24071797 11170288 19042984 (more) 
7	KLF6	Kruppel Like Factor 6	Protein Coding	1044.19	11752579 12651626 18755691 (more) 
8	MAD1L1	Mitotic Arrest Deficient 1 Like 1	Protein Coding	1019.21	11423979
9	ZFHX3	Zinc Finger Homeobox 3	Protein Coding	629.67	16637072 15750593 16932943 (more) 
10	TP53	Tumor Protein P53	Protein Coding	440.67	24071797 19042984 25394175 (more) 
11	PIK3CA	Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha	Protein Coding	430.65	24071797 19042984 25394175 (more) 
12	MIR221	MicroRNA 221	RNA Gene	428.95	17569667 17616669
13	MIR145	MicroRNA 145	RNA Gene	428.82	17891175 17616669
14	MIR21	MicroRNA 21	RNA Gene	428.34	19302977 16461460
15	MIR17	MicroRNA 17	RNA Gene	427.66	19771525 16461460
16	MIR222	MicroRNA 222	RNA Gene	422.81	17569667 17616669
17	MIR146A	MicroRNA 146a	RNA Gene	421.48	18174313 16461460
18	MIR23B	MicroRNA 23b	RNA Gene	420.62	18949015 17616669
19	MIR205	MicroRNA 205	RNA Gene	419.5	19244118 19676045
20	POLK	DNA Polymerase Kappa	Protein Coding	419.18	24071797 19042984 25394175 (more) 
21	MIRLET7C	MicroRNA Let-7c	RNA Gene	417.69	17891175 19372056
22	MIR20A	MicroRNA 20a	RNA Gene	415.36	20944140 16461460
23	DNAJC6	DnaJ Heat Shock Protein Family (Hsp40) Member C6	Protein Coding	403.33	24071797 19042984 25394175 (more) 
24	MIR34A	MicroRNA 34a	RNA Gene	372.55	18834855
25	MIR15A	MicroRNA 15a	RNA Gene	372.31	18931683
26	MIR200B	MicroRNA 200b	RNA Gene	372.05	20473869
27	HOXB13	Homeobox B13	Protein Coding	368.97	
28	MIR106B	MicroRNA 106b	RNA Gene	368.83	18676839
29	MIR16-1	MicroRNA 16-1	RNA Gene	366.26	18931683
30	MIR449A	MicroRNA 449a	RNA Gene	366.01	19252524
31	EPHB2	EPH Receptor B2	Protein Coding	364.68	16155194 16740153 17249693 (more) 
32	MIR331	MicroRNA 331	RNA Gene	364.26	19584056
33	MIR127	MicroRNA 127	RNA Gene	363.18	16766263
34	MIR521-1	MicroRNA 521-1	RNA Gene	358.74	18668526
35	MIR203A	MicroRNA 203a	RNA Gene	358.44	21159887
36	FGFR4	Fibroblast Growth Factor Receptor 4	Protein Coding	340.7	18670643 18762813 17607666 (more) 
37	PCA3	Prostate Cancer Associated 3	RNA Gene	209.43	10606244 11980670 14607216 (more) 
38	PCGEM1	PCGEM1 Prostate-Specific Transcript	RNA Gene	186.62	11050243 14724589 16515751 (more) 
39	PCAT29	Prostate Cancer Associated Transcript 29	RNA Gene	185.29	25030374 25700553
40	PCAT1	Prostate Cancer Associated Transcript 1	RNA Gene	178.08	21804560 22386265 22664915 (more) 
41	SCHLAP1	SWI/SNF Complex Antagonist Associated With Prostate Cancer 1	RNA Gene	177.64	24076601 25035039 25456366 (more) 
42	PRNCR1	Prostate Cancer Associated Non-Coding RNA 1	RNA Gene	177.17	20874843 23945587 23948400 (more) 
43	PCAT7	Prostate Cancer Associated Transcript 7	RNA Gene	175.06	23728290
