SampleID	Max_Persistence	Lesser_Persistence	Frac_Max_Persistence
Benign-Prostate-1595983	82	131	0.384976525821596
Benign-Prostate-1648133	77	140	0.354838709677419
Benign-Prostate-1664855	76	140	0.351851851851852
Benign-Prostate-3320942	75	135	0.357142857142857
Benign-Prostate-3330581	88	140	0.385964912280702
PCa13266	80	132	0.377358490566038
PCa13848	82	138	0.372727272727273
PCa14121	87	132	0.397260273972603
PCa19121	79	140	0.360730593607306
PCa3023	77	140	0.354838709677419
PCa33173	82	144	0.36283185840708
PCa40507	74	127	0.368159203980099
PCa51852	80	123	0.394088669950739
PCa53687	77	136	0.36150234741784
PCa56413	79	144	0.354260089686099
PCa57294	79	130	0.37799043062201
PCa58215	79	142	0.357466063348416
