SampleID	w	N	Label
Benign-Prostate-1595983	3	178	BP1595983
Benign-Prostate-1595983	4	162	BP1595983
Benign-Prostate-1595983	5	152	BP1595983
Benign-Prostate-1595983	6	143	BP1595983
Benign-Prostate-1595983	7	133	BP1595983
Benign-Prostate-1595983	8	122	BP1595983
Benign-Prostate-1595983	9	119	BP1595983
Benign-Prostate-1595983	10	116	BP1595983
Benign-Prostate-1595983	11	118	BP1595983
Benign-Prostate-1595983	12	108	BP1595983
Benign-Prostate-1595983	13	106	BP1595983
Benign-Prostate-1595983	14	105	BP1595983
Benign-Prostate-1595983	15	104	BP1595983
Benign-Prostate-1595983	16	100	BP1595983
Benign-Prostate-1595983	17	98	BP1595983
Benign-Prostate-1595983	18	100	BP1595983
Benign-Prostate-1595983	19	99	BP1595983
Benign-Prostate-1595983	20	94	BP1595983
Benign-Prostate-1595983	21	95	BP1595983
Benign-Prostate-1595983	22	89	BP1595983
Benign-Prostate-1595983	23	91	BP1595983
Benign-Prostate-1595983	24	90	BP1595983
Benign-Prostate-1648133	3	186	BP1648133
Benign-Prostate-1648133	4	171	BP1648133
Benign-Prostate-1648133	5	151	BP1648133
Benign-Prostate-1648133	6	141	BP1648133
Benign-Prostate-1648133	7	131	BP1648133
Benign-Prostate-1648133	8	123	BP1648133
Benign-Prostate-1648133	9	116	BP1648133
Benign-Prostate-1648133	10	115	BP1648133
Benign-Prostate-1648133	11	104	BP1648133
Benign-Prostate-1648133	12	106	BP1648133
Benign-Prostate-1648133	13	106	BP1648133
Benign-Prostate-1648133	14	103	BP1648133
Benign-Prostate-1648133	15	99	BP1648133
Benign-Prostate-1648133	16	94	BP1648133
Benign-Prostate-1648133	17	97	BP1648133
Benign-Prostate-1648133	18	93	BP1648133
Benign-Prostate-1648133	19	87	BP1648133
Benign-Prostate-1648133	20	88	BP1648133
Benign-Prostate-1648133	21	88	BP1648133
Benign-Prostate-1648133	22	81	BP1648133
Benign-Prostate-1648133	23	82	BP1648133
Benign-Prostate-1648133	24	83	BP1648133
Benign-Prostate-1664855	3	188	BP1664855
Benign-Prostate-1664855	4	176	BP1664855
Benign-Prostate-1664855	5	151	BP1664855
Benign-Prostate-1664855	6	138	BP1664855
Benign-Prostate-1664855	7	125	BP1664855
Benign-Prostate-1664855	8	123	BP1664855
Benign-Prostate-1664855	9	120	BP1664855
Benign-Prostate-1664855	10	119	BP1664855
Benign-Prostate-1664855	11	114	BP1664855
Benign-Prostate-1664855	12	110	BP1664855
Benign-Prostate-1664855	13	105	BP1664855
Benign-Prostate-1664855	14	100	BP1664855
Benign-Prostate-1664855	15	99	BP1664855
Benign-Prostate-1664855	16	102	BP1664855
Benign-Prostate-1664855	17	93	BP1664855
Benign-Prostate-1664855	18	92	BP1664855
Benign-Prostate-1664855	19	92	BP1664855
Benign-Prostate-1664855	20	93	BP1664855
Benign-Prostate-1664855	21	89	BP1664855
Benign-Prostate-1664855	22	87	BP1664855
Benign-Prostate-1664855	23	85	BP1664855
Benign-Prostate-1664855	24	80	BP1664855
Benign-Prostate-3320942	3	180	BP3320942
Benign-Prostate-3320942	4	165	BP3320942
Benign-Prostate-3320942	5	149	BP3320942
Benign-Prostate-3320942	6	134	BP3320942
Benign-Prostate-3320942	7	124	BP3320942
Benign-Prostate-3320942	8	118	BP3320942
Benign-Prostate-3320942	9	110	BP3320942
Benign-Prostate-3320942	10	111	BP3320942
Benign-Prostate-3320942	11	106	BP3320942
Benign-Prostate-3320942	12	108	BP3320942
Benign-Prostate-3320942	13	106	BP3320942
Benign-Prostate-3320942	14	102	BP3320942
Benign-Prostate-3320942	15	100	BP3320942
Benign-Prostate-3320942	16	95	BP3320942
Benign-Prostate-3320942	17	95	BP3320942
Benign-Prostate-3320942	18	90	BP3320942
Benign-Prostate-3320942	19	91	BP3320942
Benign-Prostate-3320942	20	89	BP3320942
Benign-Prostate-3320942	21	85	BP3320942
Benign-Prostate-3320942	22	81	BP3320942
Benign-Prostate-3320942	23	81	BP3320942
Benign-Prostate-3320942	24	80	BP3320942
Benign-Prostate-3330581	3	187	BP3330581
Benign-Prostate-3330581	4	175	BP3330581
Benign-Prostate-3330581	5	158	BP3330581
Benign-Prostate-3330581	6	149	BP3330581
Benign-Prostate-3330581	7	142	BP3330581
Benign-Prostate-3330581	8	129	BP3330581
Benign-Prostate-3330581	9	124	BP3330581
Benign-Prostate-3330581	10	124	BP3330581
Benign-Prostate-3330581	11	121	BP3330581
Benign-Prostate-3330581	12	122	BP3330581
Benign-Prostate-3330581	13	112	BP3330581
Benign-Prostate-3330581	14	111	BP3330581
Benign-Prostate-3330581	15	105	BP3330581
Benign-Prostate-3330581	16	101	BP3330581
Benign-Prostate-3330581	17	100	BP3330581
Benign-Prostate-3330581	18	101	BP3330581
Benign-Prostate-3330581	19	100	BP3330581
Benign-Prostate-3330581	20	98	BP3330581
Benign-Prostate-3330581	21	98	BP3330581
Benign-Prostate-3330581	22	94	BP3330581
Benign-Prostate-3330581	23	99	BP3330581
Benign-Prostate-3330581	24	94	BP3330581
PCa13266	3	168	CPCG0268
PCa13266	4	162	CPCG0268
PCa13266	5	145	CPCG0268
PCa13266	6	143	CPCG0268
PCa13266	7	131	CPCG0268
PCa13266	8	122	CPCG0268
PCa13266	9	112	CPCG0268
PCa13266	10	112	CPCG0268
PCa13266	11	111	CPCG0268
PCa13266	12	102	CPCG0268
PCa13266	13	103	CPCG0268
PCa13266	14	98	CPCG0268
PCa13266	15	94	CPCG0268
PCa13266	16	94	CPCG0268
PCa13266	17	90	CPCG0268
PCa13266	18	88	CPCG0268
PCa13266	19	93	CPCG0268
PCa13266	20	92	CPCG0268
PCa13266	21	89	CPCG0268
PCa13266	22	89	CPCG0268
PCa13266	23	88	CPCG0268
