SampleID	Max_Persistence	Lesser_Persistence	Frac_Max_Persistence
Benign-Prostate-1595983	2663	6534	0.289550940524084
Benign-Prostate-1648133	2566	6938	0.269991582491583
Benign-Prostate-1664855	2722	6570	0.292940163581576
Benign-Prostate-3320942	2640	6750	0.281150159744409
Benign-Prostate-3330581	2843	6350	0.309257043402589
PCa13266	2480	6564	0.27421494913755
PCa13848	2796	6811	0.291037784948475
PCa14121	2483	6689	0.270715220235499
PCa19121	2591	6738	0.277736091756887
PCa3023	2718	6642	0.290384615384615
PCa33173	2597	6470	0.286423293261277
PCa40507	2408	6911	0.258396823693529
PCa51852	2342	6751	0.257560761024964
PCa53687	2591	6753	0.277290239726027
PCa56413	2677	6635	0.28747852233677
PCa57294	2535	6652	0.275933384129749
PCa58215	2737	6620	0.2925082825692
