w	s1	s2	BPscore
3	PCa13266	PCa13848	0.3857663677538297
3	PCa13848	PCa13266	0.3857663677538297
3	PCa13266	PCa14121	0.40127525295462274
3	PCa14121	PCa13266	0.40127525295462274
3	PCa13266	PCa19121	0.3891578090738549
3	PCa19121	PCa13266	0.3891578090738549
3	PCa13266	PCa3023	0.3853890273051386
3	PCa3023	PCa13266	0.3853890273051386
3	PCa13266	PCa33173	0.3693243039375661
3	PCa33173	PCa13266	0.3693243039375661
3	PCa13266	PCa40507	0.3980037541032417
3	PCa40507	PCa13266	0.3980037541032417
3	PCa13266	PCa51852	0.40830600305649645
3	PCa51852	PCa13266	0.40830600305649645
3	PCa13266	PCa53687	0.4046681950857043
3	PCa53687	PCa13266	0.4046681950857043
3	PCa13266	PCa56413	0.38994770752433755
3	PCa56413	PCa13266	0.38994770752433755
3	PCa13266	PCa57294	0.3893934166587997
3	PCa57294	PCa13266	0.3893934166587997
3	PCa13266	PCa58215	0.3846424798511566
3	PCa58215	PCa13266	0.3846424798511566
3	PCa13266	Benign-Prostate-1648133	0.38060600904127
3	Benign-Prostate-1648133	PCa13266	0.38060600904127
3	PCa13266	Benign-Prostate-1595983	0.3742768109860017
3	Benign-Prostate-1595983	PCa13266	0.3742768109860017
3	PCa13266	Benign-Prostate-1664855	0.3654293317138693
3	Benign-Prostate-1664855	PCa13266	0.3654293317138693
3	PCa13266	Benign-Prostate-3320942	0.37819572266505436
3	Benign-Prostate-3320942	PCa13266	0.37819572266505436
3	PCa13266	Benign-Prostate-3330581	0.37382356135124084
3	Benign-Prostate-3330581	PCa13266	0.37382356135124084
3	PCa13266	SRR7702334	0.41858583187685594
3	SRR7702334	PCa13266	0.41858583187685594
3	PCa13266	SRR7702335	0.4153241299634763
3	SRR7702335	PCa13266	0.4153241299634763
3	PCa13266	SRR8446383	0.4274569449262401
3	SRR8446383	PCa13266	0.4274569449262401
3	PCa13266	SRR8446384	0.4163118219245224
3	SRR8446384	PCa13266	0.4163118219245224
3	PCa13266	SRR8446385	0.4322962655941723
3	SRR8446385	PCa13266	0.4322962655941723
3	PCa13266	SRR8446386	0.4292936489802633
3	SRR8446386	PCa13266	0.4292936489802633
3	PCa13266	SRR8446387	0.43313613275401247
3	SRR8446387	PCa13266	0.43313613275401247
3	PCa13266	4DNFI6HDY7WZ	0.4343386461153059
3	4DNFI6HDY7WZ	PCa13266	0.4343386461153059
3	PCa13266	4DNFITH978XV	0.4615931967195449
3	4DNFITH978XV	PCa13266	0.4615931967195449
3	PCa13266	4DNFIT64Q7A3	0.43687289373608895
3	4DNFIT64Q7A3	PCa13266	0.43687289373608895
3	PCa13266	4DNFINSKEZND	0.4503855682826166
3	4DNFINSKEZND	PCa13266	0.4503855682826166
