w	s1	s2	BPscore
3	PCa13266	PCa13848	0.3168092857969563
3	PCa13848	PCa13266	0.3168092857969563
3	PCa13266	PCa14121	0.3404548665821881
3	PCa14121	PCa13266	0.3404548665821881
3	PCa13266	PCa19121	0.3239186070238703
3	PCa19121	PCa13266	0.3239186070238703
3	PCa13266	PCa3023	0.3201914150581806
3	PCa3023	PCa13266	0.3201914150581806
3	PCa13266	PCa33173	0.3031983480267445
3	PCa33173	PCa13266	0.3031983480267445
3	PCa13266	PCa40507	0.3374216909154033
3	PCa40507	PCa13266	0.3374216909154033
3	PCa13266	PCa51852	0.3394044521953402
3	PCa51852	PCa13266	0.3394044521953402
3	PCa13266	PCa53687	0.33812581070646724
3	PCa53687	PCa13266	0.33812581070646724
3	PCa13266	PCa56413	0.32372553781845004
3	PCa56413	PCa13266	0.32372553781845004
3	PCa13266	PCa57294	0.33403314962465563
3	PCa57294	PCa13266	0.33403314962465563
3	PCa13266	PCa58215	0.30912658965727635
3	PCa58215	PCa13266	0.30912658965727635
3	PCa13266	Benign-Prostate-1648133	0.31915810619495916
3	Benign-Prostate-1648133	PCa13266	0.31915810619495916
3	PCa13266	Benign-Prostate-1595983	0.3124772680131832
3	Benign-Prostate-1595983	PCa13266	0.3124772680131832
3	PCa13266	Benign-Prostate-1664855	0.3047091974367263
3	Benign-Prostate-1664855	PCa13266	0.3047091974367263
3	PCa13266	Benign-Prostate-3320942	0.3067334516619512
3	Benign-Prostate-3320942	PCa13266	0.3067334516619512
3	PCa13266	Benign-Prostate-3330581	0.3112424752513076
3	Benign-Prostate-3330581	PCa13266	0.3112424752513076
3	PCa13848	PCa14121	0.3401974219761739
3	PCa14121	PCa13848	0.3401974219761739
3	PCa13848	PCa19121	0.2891573412009111
3	PCa19121	PCa13848	0.2891573412009111
3	PCa13848	PCa3023	0.2748259209372587
3	PCa3023	PCa13848	0.2748259209372587
3	PCa13848	PCa33173	0.28489207057029636
3	PCa33173	PCa13848	0.28489207057029636
3	PCa13848	PCa40507	0.32361809175701234
3	PCa40507	PCa13848	0.32361809175701234
3	PCa13848	PCa51852	0.34034655936152075
3	PCa51852	PCa13848	0.34034655936152075
3	PCa13848	PCa53687	0.3268972478913075
3	PCa53687	PCa13848	0.3268972478913075
3	PCa13848	PCa56413	0.28936401219666363
3	PCa56413	PCa13848	0.28936401219666363
3	PCa13848	PCa57294	0.32274898946438946
3	PCa57294	PCa13848	0.32274898946438946
3	PCa13848	PCa58215	0.2835739606761853
3	PCa58215	PCa13848	0.2835739606761853
3	PCa13848	Benign-Prostate-1648133	0.293976465925829
3	Benign-Prostate-1648133	PCa13848	0.293976465925829
3	PCa13848	Benign-Prostate-1595983	0.27659701325562697
3	Benign-Prostate-1595983	PCa13848	0.27659701325562697
3	PCa13848	Benign-Prostate-1664855	0.2892405179737575
3	Benign-Prostate-1664855	PCa13848	0.2892405179737575
3	PCa13848	Benign-Prostate-3320942	0.2844624070746593
3	Benign-Prostate-3320942	PCa13848	0.2844624070746593
3	PCa13848	Benign-Prostate-3330581	0.2830040586858582
3	Benign-Prostate-3330581	PCa13848	0.2830040586858582
3	PCa14121	PCa19121	0.3390101087848436
3	PCa19121	PCa14121	0.3390101087848436
3	PCa14121	PCa3023	0.33010631001107993
3	PCa3023	PCa14121	0.33010631001107993
3	PCa14121	PCa33173	0.3229202588412198
3	PCa33173	PCa14121	0.3229202588412198
3	PCa14121	PCa40507	0.33911845227023424
3	PCa40507	PCa14121	0.33911845227023424
3	PCa14121	PCa51852	0.35863787930796176
3	PCa51852	PCa14121	0.35863787930796176
3	PCa14121	PCa53687	0.343778142710202
