SampleID	w	BPscore	window_step_abs_delta
PCa13266	3	0.43112899308509595	0.5688710069149041
PCa13848	3	0.3614515002342652	0.6385484997657348
PCa14121	3	0.4233165719007152	0.5766834280992847
PCa19121	3	0.41060615366303715	0.5893938463369628
PCa3023	3	0.38681817227442805	0.613181827725572
PCa33173	3	0.38789254598038464	0.6121074540196154
PCa40507	3	0.4290616830421264	0.5709383169578737
PCa51852	3	0.4494888599900851	0.550511140009915
PCa53687	3	0.4246026247625448	0.5753973752374553
PCa56413	3	0.38894706728536077	0.6110529327146392
PCa57294	3	0.41520947044872114	0.5847905295512789
PCa58215	3	0.38744180012740137	0.6125581998725986
Benign-Prostate-1595983	3	0.38282428186251716	0.6171757181374828
Benign-Prostate-1648133	3	0.3866962002191764	0.6133037997808236
Benign-Prostate-1664855	3	0.36574038532394637	0.6342596146760536
Benign-Prostate-3320942	3	0.3852701259691912	0.6147298740308088
Benign-Prostate-3330581	3	0.3694165702138623	0.6305834297861377
PCa13266	4	0.23395335848127422	0.19717563460382173
PCa13848	4	0.18594215997634425	0.17550934025792095
PCa14121	4	0.23860168549096125	0.18471488640975395
PCa19121	4	0.20388334552407453	0.20672280813896263
PCa3023	4	0.19727243908967693	0.18954573318475113
PCa33173	4	0.2009455465546369	0.18694699942574775
PCa40507	4	0.2312968812249161	0.1977648018172103
PCa51852	4	0.24549236913102432	0.20399649085906077
PCa53687	4	0.22660757324669897	0.19799505151584582
PCa56413	4	0.19925424013872195	0.18969282714663882
PCa57294	4	0.22494656445593564	0.1902629059927855
PCa58215	4	0.2013253467215716	0.18611645340582977
Benign-Prostate-1595983	4	0.19238364210859998	0.19044063975391717
Benign-Prostate-1648133	4	0.19854078338536152	0.18815541683381487
Benign-Prostate-1664855	4	0.19379285043412198	0.1719475348898244
Benign-Prostate-3320942	4	0.20156098591220498	0.18370914005698621
Benign-Prostate-3330581	4	0.18475565499917462	0.1846609152146877
PCa13266	5	0.17851204747470978	0.05544131100656444
PCa13848	5	0.1449425221601449	0.040999637816199364
PCa14121	5	0.18516711957936074	0.05343456591160051
PCa19121	5	0.16746512300241842	0.03641822252165611
PCa3023	5	0.15278338811345046	0.04448905097622646
PCa33173	5	0.16042898795652635	0.04051655859811054
PCa40507	5	0.18164566839804952	0.049651212826866575
PCa51852	5	0.1808735085023811	0.06461886062864322
PCa53687	5	0.17027332086869784	0.05633425237800113
PCa56413	5	0.1543781312537811	0.04487610888494084
PCa57294	5	0.16945581585298045	0.05549074860295519
PCa58215	5	0.15405030155507937	0.047275045166492224
Benign-Prostate-1595983	5	0.15282273519048042	0.03956090691811956
Benign-Prostate-1648133	5	0.16165907168946214	0.03688171169589938
Benign-Prostate-1664855	5	0.15204107082270413	0.04175177961141785
Benign-Prostate-3320942	5	0.16393458335466654	0.037626402557538435
Benign-Prostate-3330581	5	0.14792816301451112	0.03682749198466351
PCa13266	6	0.14177516688910324	0.036736880585606535
PCa13848	6	0.1233568726221329	0.021585649538011994
PCa14121	6	0.1463354725090793	0.038831647070281444
PCa19121	6	0.1376143836767894	0.02985073932562901
PCa3023	6	0.1281739412780874	0.024609446835363064
PCa33173	6	0.13309807233707072	0.027330915619455637
PCa40507	6	0.14742363206693976	0.03422203633110976
PCa51852	6	0.15345902639751174	0.027414482104869353
PCa53687	6	0.14354694875554003	0.026726372113157815
PCa56413	6	0.13411251104090574	0.020265620212875368
PCa57294	6	0.14552777637364653	0.023928039479333918
PCa58215	6	0.13098897666503317	0.023061324890046198
Benign-Prostate-1595983	6	0.12663340367693401	0.02618933151354641
Benign-Prostate-1648133	6	0.13593810039226564	0.0257209712971965
Benign-Prostate-1664855	6	0.1254640411658614	0.02657702965684272
Benign-Prostate-3320942	6	0.1360675557149553	0.027867027639711245
Benign-Prostate-3330581	6	0.12688379597195754	0.02104436704255358
PCa13266	7	0.1248561905586808	0.01691897633042244
PCa13848	7	0.11493560125351684	0.008421271368616048
PCa14121	7	0.13129691051730072	0.015038561991778582
PCa19121	7	0.12473042574850009	0.012883957928289322
PCa3023	7	0.11809529595078387	0.010078645327303529
PCa33173	7	0.12267654682612439	0.010421525510946328
PCa40507	7	0.1336151113549435	0.013808520711996258
PCa51852	7	0.13487857693079658	0.018580449466715165
PCa53687	7	0.1241034391491613	0.019443509606378723
PCa56413	7	0.11630251255532952	0.017809998485576226
PCa57294	7	0.12360058085794468	0.021927195515701853
PCa58215	7	0.11772491924181853	0.01326405742321464
Benign-Prostate-1595983	7	0.1118208046111666	0.014812599065767415
Benign-Prostate-1648133	7	0.1191226942479756	0.016815406144290043
Benign-Prostate-1664855	7	0.11139335603481328	0.01407068513104813
Benign-Prostate-3320942	7	0.11881914646461175	0.017248409250343544
Benign-Prostate-3330581	7	0.11063529386273648	0.01624850210922106
PCa13266	8	0.11649657813381514	0.008359612424865659
PCa13848	8	0.10198820071519087	0.012947400538325979
PCa14121	8	0.12179342549043555	0.009503485026865169
PCa19121	8	0.11291688864810423	0.011813537100395857
PCa3023	8	0.11193766331695627	0.006157632633827598
PCa33173	8	0.10795114874886434	0.014725398077260046
PCa40507	8	0.13002094537237324	0.0035941659825702577
PCa51852	8	0.12181896251511071	0.013059614415685872
PCa53687	8	0.11345504207462001	0.010648397074541294
PCa56413	8	0.10989255197979929	0.006409960575530227
PCa57294	8	0.11753829930837396	0.006062281549570711
PCa58215	8	0.10507599822235063	0.012648921019467907
Benign-Prostate-1595983	8	0.10231058890621539	0.009510215704951211
Benign-Prostate-1648133	8	0.11450224836462722	0.004620445883348381
Benign-Prostate-1664855	8	0.10401079337718637	0.0073825626576269066
Benign-Prostate-3320942	8	0.10994910346170625	0.008870043002905503
Benign-Prostate-3330581	8	0.0984009806776239	0.012234313185112575
PCa13266	9	0.10510644131213982	0.01139013682167532
PCa13848	9	0.0910641343338628	0.010924066381328063
PCa14121	9	0.1092332618512405	0.012560163639195043
PCa19121	9	0.09983246012541333	0.0130844285226909
PCa3023	9	0.09867178492267353	0.01326587839428274
PCa33173	9	0.09252371112929102	0.015427437619573325
PCa40507	9	0.11247304492489633	0.017547900447476908
PCa51852	9	0.11073108893912371	0.011087873575986992
PCa53687	9	0.10676577810481289	0.006689263969807124
PCa56413	9	0.10072015704755902	0.009172394932240271
PCa57294	9	0.10533718515727968	0.012201114151094289
PCa58215	9	0.09793113954731394	0.007144858675036683
Benign-Prostate-1595983	9	0.08738832301243736	0.014922265893778028
Benign-Prostate-1648133	9	0.10188498347245224	0.012617264892174976
Benign-Prostate-1664855	9	0.09383278349682225	0.010178009880364117
Benign-Prostate-3320942	9	0.10032163852144305	0.009627464940263203
Benign-Prostate-3330581	9	0.09010021660957504	0.00830076406804886
PCa13266	10	0.09713401367918426	0.007972427632955567
PCa13848	10	0.08824118583178527	0.002822948502077538
PCa14121	10	0.10210242730175968	0.0071308345494808245
PCa19121	10	0.09618595007354515	0.003646510051868182
PCa3023	10	0.09092576824532765	0.007746016677345882
PCa33173	10	0.08751502716464418	0.0050086839646468345
PCa40507	10	0.09998399776285503	0.0124890471620413
PCa51852	10	0.10778556712038496	0.00294552181873875
PCa53687	10	0.09581571750450164	0.010950060600311243
PCa56413	10	0.09446887390617915	0.0062512831413798625
PCa57294	10	0.09951003609484885	0.005827149062430828
PCa58215	10	0.09079358140456746	0.0071375581427464835
Benign-Prostate-1595983	10	0.08209134601944396	0.005296976992993405
Benign-Prostate-1648133	10	0.09795268644210274	0.003932297030349502
Benign-Prostate-1664855	10	0.08909137025847658	0.004741413238345676
Benign-Prostate-3320942	10	0.0897015297651926	0.01062010875625044
