SampleID	w
PCa13266	32
PCa13848	32
PCa14121	32
PCa19121	32
PCa3023	32
PCa33173	32
PCa40507	32
PCa51852	32
PCa53687	32
PCa56413	32
PCa57294	32
PCa58215	32
Benign-Prostate-1595983	32
Benign-Prostate-1648133	32
Benign-Prostate-1664855	32
Benign-Prostate-3320942	32
Benign-Prostate-3330581	32
SRR7702334	32
SRR7702335	32
SRR8446383	32
SRR8446384	32
SRR8446385	32
SRR8446386	32
SRR8446387	32
4DNFI6HDY7WZ	32
4DNFITH978XV	32
4DNFIT64Q7A3	32
4DNFINSKEZND	32
4DNFIIV4M7TF	32
4DNFIXVAKX9Q	32
