N_Samples	N_Loops_Mean	N_Loops_SEM	Model
1	3979.59	138.904749789708	All
2	5888.09	128.553208018778	All
3	7124.7	123.883262498502	All
4	8238	114.075588089564	All
5	9148.02	111.521988573346	All
6	9913.04	106.099415853455	All
7	10755.15	101.872344732082	All
8	11418.04	95.9814259388374	All
9	12093.2	89.8260136445603	All
10	12766.55	80.0830987288841	All
11	13335.27	80.1777820744865	All
12	13938.87	75.1807124617919	All
13	14467.37	68.6052515217577	All
14	14995.14	61.6644225963514	All
15	15514.42	46.5243678521311	All
16	15995.6	34.160408887388	All
17	16474	0	All
1	3839.08	174.492562244893	Tumour_Only
2	5861.94	154.567631446267	Tumour_Only
3	7163.31	139.405479143223	Tumour_Only
4	8153.97	117.972852942163	Tumour_Only
5	9044.55	111.13638484022	Tumour_Only
6	9937.64	100.455765952639	Tumour_Only
7	10699.17	93.0479327491422	Tumour_Only
8	11306.05	88.0883513951485	Tumour_Only
9	11986.66	75.2503434268482	Tumour_Only
10	12538.25	60.1083388473671	Tumour_Only
11	13097.66	42.4611199936025	Tumour_Only
12	13668	0	Tumour_Only
1	4590.74	65.2574723768098	Benign_Only
2	6487.38	57.158536889899	Benign_Only
3	7728.84	44.3282264545522	Benign_Only
4	8755.06	32.4020382823131	Benign_Only
5	9614	0	Benign_Only
1	3865.62	165.490755810063	T2E_Tumour_Only
2	5747.54	156.266197654173	T2E_Tumour_Only
3	7312.63	132.946278096064	T2E_Tumour_Only
4	8507.33	111.593664110903	T2E_Tumour_Only
5	9591.5	78.483491798266	T2E_Tumour_Only
6	10487	0	T2E_Tumour_Only
1	3177.5	153.2403469697	NonT2E_Tumour_Only
2	5140.4	134.237533326322	NonT2E_Tumour_Only
3	6532.51	109.35024212838	NonT2E_Tumour_Only
4	7559.12	79.8273342213611	NonT2E_Tumour_Only
5	8499.24	54.280634640447	NonT2E_Tumour_Only
6	9260	0	NonT2E_Tumour_Only
