N_Samples	Est_N_Loops	Frac_Saturation	Model
1	4440.53328134639	0.215869331866817	All
2	5716.77992900812	0.277911995140015	All
3	6892.04628826596	0.335045665279205	All
4	7974.32220862496	0.387658755874621	All
5	8970.96535982395	0.436108948121291	All
6	9888.75125170851	0.480725622454118	All
7	10733.9192963883	0.521812097785047	All
8	11512.2152258246	0.559647693565367	All
9	12228.9301532171	0.594489628691745	All
10	12888.9365437417	0.626574770165378	All
11	13496.7213391807	0.656121243392224	All
12	14056.4164616373	0.683329915071673	All
13	14571.826903709	0.708385758754815	All
14	15046.4565960862	0.731459112355839	All
15	15483.5322284319	0.752706836165518	All
16	15886.0251854856	0.772273379239357	All
17	16256.6717475198	0.790291761410065	All
18	16597.9916924782	0.806884477600373	All
19	16912.3054262603	0.822164330584051	All
20	17201.7497576077	0.836235197856473	All
21	17468.2924248372	0.8491927378282	All
22	17713.7454731767	0.861125040142498	All
23	17939.7775736482	0.872113224537876	All
24	18147.9253672454	0.882231992326899	All
25	18339.6039115273	0.891550134240431	All
26	18516.1163006481	0.900130998089773	All
27	18678.6625242216	0.908032919426045	All
28	18828.3476252484	0.915309618124558	All
29	18966.1892125633	0.9220105635903	All
30	19093.1243788767	0.928181311067316	All
31	19210.0160714411	0.933863811338325	All
32	19317.6589586522	0.939096695920021	All
33	19416.7848324669	0.943915539692903	All
34	19508.0675833676	0.948353102751081	All
35	19592.1277816927	0.952439553116233	All
36	19669.5368964787	0.956202671829799	All
37	19740.8211804958	0.959668041817684	All
38	19806.4652478888	0.962859221811462	All
39	19866.9153687437	0.965797906508417	All
40	19922.5825029798	0.968504074059278	All
41	19973.8450941912	0.970996121886294	All
42	20021.0516424314	0.973290991754997	All
43	20064.5230734318	0.975404284949932	All
44	20104.5549203613	0.977350368337345	All
45	20141.4193329586	0.979142472035895	All
46	20175.3669276957	0.980792779359379	All
47	20206.6284915519	0.982312509642926	All
48	20235.4165509802	0.983711994515753	All
49	20261.9268167321	0.985000748138994	All
50	20286.339514364	0.986187531886119	All
51	20308.8206094705	0.987280413905644	All
52	20329.5229359734	0.98828682397108	All
53	20348.5872351366	0.989213603990987	All
54	20366.1431123728	0.990067054522532	All
55	20382.309918343	0.990852977604761	All
56	20397.1975603425	0.991576716202782	All
57	20410.9072494867	0.992243190531008	All
58	20423.5321887776	0.992856931502401	All
59	20435.1582067292	0.993422111531119	All
60	20445.8643408574	0.993942572897966	All
61	20455.7233750039	0.99442185387149	All
62	20464.8023341443	0.994863212762304	All
63	20473.1629400462	0.995269650074153	All
64	20480.8620308744	0.995643928902339	All
65	20487.9519475953	0.995988593718153	All
66	20494.4808898082	0.996305987667033	All
67	20500.4932434221	0.996598268498041	All
68	20506.029882406	0.996867423232959	All
69	20511.1284466631	0.997115281674713	All
70	20515.8235979201	0.997343528846985	All
71	20520.1472553683	0.997553716449562	All
72	20524.1288126614	0.997747273407297	All
73	20527.7953377431	0.997925515584421	All
74	20531.1717568638	0.998089654730219	All
75	20534.2810240377	0.998240806716903	All
76	20537.1442770915	0.998379999125683	All
77	20539.7809813668	0.9985081782326	All
78	20542.2090620515	0.998626215441626	All
79	20544.4450260413	0.998734913208757	All
80	20546.5040741591	0.998835010497373	All
81	20548.4002044951	0.998927187801955	All
82	20550.1463075708	0.999012071774312	All
83	20551.7542539723	0.999090239483771	All
84	20553.2349750513	0.999162222340279	All
85	20554.5985372396	0.999228509707107	All
86	20555.8542104839	0.999289552227705	All
87	20557.0105312663	0.99934576488932	All
88	20558.0753606382	0.999397529844222	All
89	20559.0559376617	0.9994451990077	All
90	20559.958928624	0.999489096450496	All
91	20560.7904723562	0.999529520601948	All
92	20561.5562219678	0.999566746278811	All
93	20562.2613832779	0.999601026553551	All
94	20562.9107502064	0.999632594474816	All
95	20563.5087373646	0.999661664651777	All
96	20564.0594100669	0.999688434713116	All
97	20564.5665119685	0.999713086650564	All
98	20565.0334905159	0.999735788056147	All
99	20565.4635203838	0.999756693261531	All
100	20565.8595250574	0.999775944387217	All
101	20566.2241967076	0.999793672308728	All
102	20566.5600144928	0.999809997546336	All
103	20566.8692614135	0.99982503108441	All
104	20567.1540398325	0.999838875125912	All
105	20567.4162857677	0.999851623787219	All
106	20567.6577820538	0.999863363737946	All
107	20567.8801704624	0.999874174790162	All
108	20568.0849628634	0.999884130440977	All
109	20568.2735515034	0.999893298372198	All
110	20568.4472184703	0.999901740910456	All
111	20568.6071444096	0.999909515450917	All
112	20568.7544165507	0.999916674847479	All
113	20568.8900360984	0.99992326777209	All
114	20569.0149250393	0.999929339045632	All
115	20569.1299324096	0.99993492994263	All
116	20569.2358400676	0.999940078471851	All
117	20569.3333680084	0.999944819634702	All
118	20569.4231792594	0.999949185663175	All
119	20569.5058843871	0.999953206238976	All
120	20569.5820456483	0.999956908695309	All
121	20569.6521808125	0.999960318202698	All
122	20569.7167666817	0.999963457940102	All
123	20569.776242332	0.999966349252494	All
124	20569.8310120987	0.999969011795972	All
125	20569.8814483246	0.999971463671388	All
126	20569.9278938919	0.999973721547401	All
127	20569.9706645529	0.999975800773801	All
128	20570.0100510768	0.999977715485855	All
129	20570.0463212262	0.99997947870041	All
130	20570.0797215776	0.999981102404383	All
131	20570.1104791975	0.999982597636248	All
132	20570.1388031865	0.999983974561087	All
133	20570.1648861003	0.999985242539692	All
134	20570.1889052594	0.999986410192199	All
135	20570.2110239538	0.999987485456697	All
136	20570.2313925539	0.99998847564319	All
137	20570.2501495319	0.999989387483293	All
138	20570.2674224042	0.999990227175996	All
139	20570.2833285973	0.999991000429809	All
140	20570.297976247	0.999991712501567	All
141	20570.3114649326	0.999992368232168	All
142	20570.3238863549	0.999992972079487	All
143	20570.3353249586	0.999993528148678	All
144	20570.3458585073	0.999994040220082	All
145	20570.3555586114	0.999994511774931	All
146	20570.3644912155	0.99999494601901	All
147	20570.3727170465	0.999995345904454	All
148	20570.3802920261	0.999995714149818	All
149	20570.3872676516	0.999996053258554	All
150	20570.3936913457	0.999996365536036	All
151	20570.3996067788	0.999996653105229	All
152	20570.4050541658	0.999996917921125	All
153	20570.41007054	0.999997161784029	All
154	20570.4146900043	0.999997386351802	All
155	20570.4189439633	0.99999759315113	All
156	20570.4228613369	0.999997783587903	All
157	20570.4264687567	0.999997958956773	All
158	20570.4297907472	0.999998120449956	All
159	20570.4328498922	0.999998269165336	All
160	20570.4356669889	0.99999840611393	All
161	20570.4382611889	0.999998532226759	All
162	20570.4406501283	0.99999864836118	All
163	20570.4428500481	0.999998755306713	All
164	20570.4448759038	0.999998853790409	All
165	20570.4467414681	0.999998944481793	All
166	20570.4484594236	0.999999027997415	All
167	20570.4500414495	0.999999104905042	All
168	20570.451498301	0.999999175727518	All
169	20570.4528398822	0.999999240946316	All
170	20570.4540753137	0.999999301004817	All
171	20570.4552129943	0.999999356311317	All
172	20570.4562606584	0.999999407241808	All
173	20570.4572254283	0.999999454142533	All
174	20570.4581138628	0.999999497332339	All
175	20570.4589320018	0.999999537104843	All
176	20570.4596854074	0.999999573730433	All
177	20570.4603792013	0.999999607458102	All
178	20570.4610181003	0.99999963851714	All
179	20570.4616064478	0.999999667118699	All
180	20570.4621482435	0.999999693457221	All
181	20570.4626471708	0.999999717711763	All
182	20570.4631066215	0.999999740047216	All
183	20570.4635297192	0.999999760615425	All
184	20570.4639193402	0.999999779556218	All
185	20570.4642781333	0.999999796998361	All
186	20570.4646085376	0.999999813060432	All
187	20570.4649127994	0.999999827851626	All
188	20570.4651929871	0.999999841472498	All
189	20570.4654510055	0.999999854015648	All
190	20570.4656886089	0.999999865566348	All
191	20570.4659074123	0.999999876203123	All
192	20570.4661089034	0.999999885998286	All
193	20570.466294452	0.999999895018428	All
194	20570.4664653194	0.999999903324871	All
195	20570.4666226673	0.999999910974084	All
196	20570.4667675653	0.999999918018069	All
197	20570.4669009987	0.999999924504714	All
198	20570.4670238744	0.999999930478117	All
199	20570.4671370278	0.999999935978888	All
200	20570.4672412282	0.999999941044421	All
1	4129.45711716502	0.250661759915573	Tumour_Only
2	5620.59739913763	0.341175315754811	Tumour_Only
3	6931.62087676663	0.42075561962263	Tumour_Only
4	8084.28409676944	0.490723313466661	Tumour_Only
5	9097.71560384672	0.552239517149212	Tumour_Only
6	9988.73338051736	0.60632509733067	Tumour_Only
7	10772.1239429765	0.653877608839027	Tumour_Only
8	11460.8877245962	0.695686189669	Tumour_Only
9	12066.4548192289	0.732444656794531	Tumour_Only
10	12598.8746645924	0.764763020120799	Tumour_Only
11	13066.9828135478	0.793177605650761	Tumour_Only
12	13478.5475608553	0.818159955861028	Tumour_Only
13	13840.3988586895	0.840124654989593	Tumour_Only
14	14158.5416602799	0.859436209096702	Tumour_Only
15	14438.2555726235	0.876415095074105	Tumour_Only
16	14684.182472014	0.891343078986465	Tumour_Only
17	14900.4035363763	0.904467892003308	Tumour_Only
18	15090.5069727625	0.916007341518956	Tumour_Only
19	15257.6475639552	0.926152925684864	Tumour_Only
20	15404.5990223577	0.935073011337819	Tumour_Only
21	15533.8000199879	0.942915628061991	Tumour_Only
22	15647.3946584495	0.949810924752544	Tumour_Only
23	15747.2680504814	0.955873329447677	Tumour_Only
24	15835.0776035645	0.961203448271704	Tumour_Only
25	15912.2805247409	0.965889735002291	Tumour_Only
26	15980.1580030892	0.970009958968458	Tumour_Only
27	16039.8364711667	0.973632495639246	Tumour_Only
28	16092.3062982543	0.976817461320471	Tumour_Only
29	16138.4382256194	0.979617710789961	Tumour_Only
30	16178.9978165412	0.982079714427112	Tumour_Only
31	16214.6581608994	0.98424432939281	Tumour_Only
32	16246.011045158	0.986147477657508	Tumour_Only
33	16273.5767731121	0.987820742129398	Tumour_Only
34	16297.8128003745	0.989291890775471	Tumour_Only
35	16319.1213258898	0.990585337433309	Tumour_Only
36	16337.8559664612	0.9917225469608	Tumour_Only
37	16354.3276250509	0.992722391447298	Tumour_Only
38	16368.8096502417	0.993601463397552	Tumour_Only
39	16381.5423724801	0.994374351085747	Tumour_Only
40	16392.7370923803	0.995053880649159	Tumour_Only
41	16402.5795872764	0.995651328938999	Tumour_Only
42	16411.2331942128	0.996176610660724	Tumour_Only
43	16418.8415205366	0.996638442909425	Tumour_Only
44	16425.5308270738	0.99704448983076	Tumour_Only
45	16431.4121234382	0.997401489808109	Tumour_Only
46	16436.583010246	0.997715367286624	Tumour_Only
47	16441.1292988059	0.9979913310899	Tumour_Only
48	16445.1264351654	0.998233960860852	Tumour_Only
