Frac_Saturation	N_Loops	N_Samples	Model
0.5	10285.234226986	6.45887333344169	All
0.9	18513.4216085749	25.984097281434	All
0.95	19541.9450312735	34.3931535269675	All
0.99	20364.7637694323	53.9183774749599	All
0.5	8237.11027672489	4.14280222076738	Tumour_Only
0.9	14826.7984981048	16.6449412034065	Tumour_Only
0.95	15650.5095257773	22.0293193890047	Tumour_Only
0.99	16309.4783479153	34.5314583716437	Tumour_Only
0.5	6004.30437721966	1.7474604519501	Benign_Only
0.9	10807.7478789954	7.53561279850766	Benign_Only
0.95	11408.1783167174	10.0284343287275	Benign_Only
0.99	11888.5226668949	15.8165866752851	Benign_Only
0.5	7302.56305342334	3.01791822507075	T2E_Tumour_Only
0.9	13144.613496162	11.4586469449733	T2E_Tumour_Only
0.95	13874.8698015044	15.0938709376921	T2E_Tumour_Only
0.99	14459.0748457782	23.5345996575946	T2E_Tumour_Only
0.5	5839.50711230618	2.50476479400147	NonT2E_Tumour_Only
0.9	10511.1128021511	9.02944592159965	NonT2E_Tumour_Only
0.95	11095.0635133817	11.8394731321601	NonT2E_Tumour_Only
0.99	11562.2240823662	18.3641542597582	NonT2E_Tumour_Only
