gene_id	GRN_Satisfies_Testing_Requirements	Rejection_Reason	GRN_Class	n_transcripts	Median_log2FC	Mean_log2FC	WeightedMean_log2FC
ENSG00000000419.12	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	5	0.399034585560739	0.227078895502512	0.432049910767757
ENSG00000000938.13	FALSE	No loop changes, multiple opposing enhancer changes	(Same loop(s), Gained enhancer(s))	5	0.134169670619785	0.287356032940233	0.297646174665268
ENSG00000001084.13	TRUE	Not rejected	(Same loop(s), Lost enhancer(s))	13	-0.553252195862919	-0.323956499839093	-0.247773524198091
ENSG00000003400.15	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	6	0.627531461855023	0.55727704635583	0.561003901764263
ENSG00000004961.15	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	3	0.622603661170075	0.277377173487209	0.370539656828481
ENSG00000005020.13	FALSE	No loop changes, multiple opposing enhancer changes	(Same loop(s), Gained enhancer(s))	7	0.0835036154129029	-0.0462981930429837	0.0378314393640633
ENSG00000005194.15	TRUE	Not rejected	(Same loop(s), Gained enhancer(s))	10	0.0393934761691026	-0.0199935845049123	0.0918361767050025
ENSG00000005981.13	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	1	0.0381938946344358	0.0381938946344358	0.0381938946344358
ENSG00000006432.15	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	6	-0.271039366909955	-0.0500613743693775	0.115990453225422
ENSG00000006453.14	TRUE	Not rejected	(Same loop(s), Lost enhancer(s))	5	-0.340442390429114	-0.385833451355328	-0.271726372831569
ENSG00000006611.16	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))				
ENSG00000006744.19	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	17	0.0566318769614248	0.067758658899281	0.101867797434895
ENSG00000007237.18	TRUE	Not rejected	(Same loop(s), Gained enhancer(s))	8	0.523813949923397	0.441782867715819	0.42331751518651
ENSG00000007944.15	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	2	0.119538600061333	0.119538600061333	0.11897689790676
ENSG00000008083.14	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	3	0.00189355914316176	-0.228008850871713	-0.0969840616186662
ENSG00000008086.13	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	10	-0.405483739110025	-0.602437645657359	-0.457718882267353
ENSG00000008256.16	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	8	0.102024346012392	0.0485098146373675	0.221348049113925
ENSG00000008283.16	TRUE	Not rejected	(Same loop(s), Lost enhancer(s))	13	-0.319437658218303	-0.0758115132164943	-0.0683002112663372
ENSG00000008513.16	TRUE	Not rejected	(Same loop(s), Gained enhancer(s))	12	0.246418982365996	0.456782859304398	0.452591115038488
ENSG00000010165.20	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	6	-0.10800510344906	-0.261821300478362	-0.189120092276016
ENSG00000012232.9	TRUE	Not rejected	(Same loop(s), Lost enhancer(s))	7	-0.114788043066861	-0.173156830433806	-0.175358468298769
ENSG00000014914.21	FALSE	No loop changes, multiple opposing enhancer changes	(Same loop(s), Gained enhancer(s))	8	0.18510532796368	0.242955728995183	0.154985198685569
ENSG00000018408.14	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	9	-0.0678827862842753	-0.0833833932631377	-0.0177916912318186
ENSG00000019485.13	TRUE	Not rejected	(Same loop(s), Gained enhancer(s))	5	0.168108677226198	0.22643113573937	0.258834291819269
ENSG00000019549.13	TRUE	Not rejected	(Same loop(s), Gained enhancer(s))	2	0.328799393752004	0.328799393752004	0.342284598091068
ENSG00000020129.16	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	6	-0.139198763673223	-0.168263588862012	-0.171542691368627
ENSG00000020219.9	TRUE	Not rejected	(Gained loop(s), Gained enhancer(s))				
ENSG00000020256.20	FALSE	No loop changes, multiple opposing enhancer changes	(Same loop(s), Gained enhancer(s))	11	-0.192782440065539	-0.24802927794023	-0.265782757790743
ENSG00000023041.11	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	5	0.0703291348815166	0.105313081838266	0.149528132445933
ENSG00000030304.14	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	1	0.261007326874276	0.261007326874276	0.261007326874276
ENSG00000033170.17	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	12	0.115161630408662	-0.115428305786212	0.00737549664067208
ENSG00000036054.13	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	9	0.152225040911892	0.180180164869737	0.248984931351744
ENSG00000039523.20	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	17	0.0101879530961524	-0.222021047299328	-0.0890521111410152
ENSG00000040275.17	FALSE	No loop changes, multiple opposing enhancer changes	(Same loop(s), Gained enhancer(s))	6	0.279762357815292	0.300424037698039	0.352042467080654
ENSG00000041982.16	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	13	0.815269836512309	0.414169706082073	0.533019880513007
ENSG00000042062.13	TRUE	Not rejected	(Same loop(s), Gained enhancer(s))	3	0.211255019025413	0.152447396887246	0.177364072669317
ENSG00000042753.11	TRUE	Not rejected	(Same loop(s), Gained enhancer(s))	8	0.207564814420941	0.0240208214345835	0.0887109123661423
ENSG00000042832.12	TRUE	Not rejected	(Same loop(s), Gained enhancer(s))	5	0.509885672539919	0.300956359289412	0.395745625385227
ENSG00000043039.7	TRUE	Not rejected	(Same loop(s), Gained enhancer(s))	1	0.185242954121123	0.185242954121123	0.185242954121123
ENSG00000043462.12	TRUE	Not rejected	(Same loop(s), Gained enhancer(s))	10	0.1421974694015	0.0986569302916324	0.117676957784762
ENSG00000044115.21	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	25	-0.136759456127643	-0.209930620192389	-0.139439562366722
ENSG00000047249.18	TRUE	Not rejected	(Same loop(s), Lost enhancer(s))	15	-0.0878979185135342	0.0738953612812994	0.099319765794376
ENSG00000047648.23	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	7	-0.293345763960777	-0.24645479488135	-0.252208999599072
ENSG00000048342.16	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	15	0.000190082876731029	0.311678923806808	0.308651952643181
ENSG00000048392.12	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	6	-0.164767958393649	0.127516982224175	0.268902392170991
ENSG00000049860.14	TRUE	Not rejected	(Same loop(s), Gained enhancer(s))	12	0.751976456552174	0.623028368270728	0.667947912244417
ENSG00000049883.15	TRUE	Not rejected	(Same loop(s), Gained enhancer(s))	11	0.121673464177626	0.462486804070968	0.392345285679692
ENSG00000050393.11	TRUE	Not rejected	(Same loop(s), Lost enhancer(s))	3	0.191374697177372	0.215727819671037	0.212064395613486
ENSG00000053524.12	TRUE	Not rejected	(Same loop(s), Lost enhancer(s))	5	0.26455552068514	0.278908409764474	0.25122666297721
ENSG00000054179.12	TRUE	Not rejected	(Same loop(s), Lost enhancer(s))	3	-0.370398580785145	-0.511700212214576	-0.476325067669662
ENSG00000054356.14	TRUE	Not rejected	(Same loop(s), Gained enhancer(s))				
ENSG00000054654.17	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	25	-0.348031126538483	-0.335955300912399	-0.253945667093839
ENSG00000054793.14	FALSE	No loop changes, multiple opposing enhancer changes	(Same loop(s), Gained enhancer(s))	2	-0.147285141297488	-0.147285141297488	0.0881052941477037
ENSG00000055813.6	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	1	0.308815879559449	0.308815879559449	0.308815879559449
ENSG00000057019.16	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	9	0.300897634119755	0.224159253203611	0.131309025298402
ENSG00000058600.16	FALSE	No differential loops or enhancers	(Same loop(s), Same enhancer(s))	18	-0.352798453732559	0.0992182834579312	0.11025474241735
ENSG00000058729.11	TRUE	Not rejected	(Same loop(s), Gained enhancer(s))	7	0.324946436141959	0.273517174586702	0.328686526783511
ENSG00000059377.17	TRUE	Not rejected	(Same loop(s), Lost enhancer(s))	21	0.182439250817215	0.1940451595561	0.164718494571437
