gene_id	Satisfies_Testing_Requirements	Rejection_Reason
ENSG00000067606.17	False	No loops
ENSG00000234396.3	False	No differential loops or enhancers
ENSG00000157916.20	False	No differential loops or enhancers
ENSG00000233234.1	False	No loops
ENSG00000287396.1	False	No loops
ENSG00000231630.1	False	No loops
ENSG00000169717.7	False	No loops
ENSG00000272088.1	False	No loops
ENSG00000162591.16	False	No loops
ENSG00000238260.1	False	No loops
ENSG00000158109.15	False	No loops
ENSG00000196581.11	False	No loops
ENSG00000260972.1	False	No loops
ENSG00000116237.16	False	No loops
ENSG00000225077.3	False	No loops
ENSG00000173673.8	False	No loops
ENSG00000158292.7	False	No loops
ENSG00000228750.7	False	No differential loops or enhancers
ENSG00000207056.1	False	No differential loops or enhancers
ENSG00000200344.1	True	Not rejected
ENSG00000284747.1	True	Not rejected
ENSG00000284716.1	True	Not rejected
ENSG00000116285.13	True	Not rejected
ENSG00000162426.14	True	Not rejected
ENSG00000252254.1	False	No loops
ENSG00000142599.19	True	Not rejected
ENSG00000229716.2	True	Not rejected
ENSG00000175262.14	False	No differential loops or enhancers
ENSG00000116649.10	False	No loops
ENSG00000207451.1	False	No loops
ENSG00000238173.1	False	No loops
ENSG00000284646.1	False	No loops
ENSG00000284708.1	False	No loops
ENSG00000116661.11	False	No loops
ENSG00000132879.14	False	No loops
ENSG00000177674.16	False	No loops
ENSG00000225196.2	False	No loops
ENSG00000252969.1	False	No loops
ENSG00000048707.15	False	No loops
ENSG00000272482.1	False	No loop changes, multiple opposing enhancer changes
ENSG00000204518.2	False	No loop changes, multiple opposing enhancer changes
ENSG00000237445.2	False	No differential loops or enhancers
ENSG00000252151.1	False	No loops
ENSG00000233485.1	False	No loops
ENSG00000162438.12	False	No loops
ENSG00000224321.1	False	No loops
ENSG00000233954.6	False	No loops
ENSG00000231353.1	False	No loops
ENSG00000275503.1	False	No loops
ENSG00000224966.4	False	No loops
ENSG00000183888.4	False	No loops
ENSG00000233078.1	False	No loops
ENSG00000173641.17	False	No loops
ENSG00000186510.12	False	No loops
ENSG00000232456.1	False	No loops
ENSG00000184908.17	False	No loops
ENSG00000185519.9	False	No loops
ENSG00000234166.1	True	Not rejected
ENSG00000142632.17	True	Not rejected
ENSG00000142619.4	False	No loops
ENSG00000117154.12	False	No loops
ENSG00000280222.1	False	No loops
ENSG00000225478.2	False	No differential loops or enhancers
ENSG00000179002.5	False	No differential loops or enhancers
ENSG00000221662.1	False	No loops
ENSG00000169991.11	False	No loops
ENSG00000053372.5	False	No loops
ENSG00000286064.1	False	No loops
ENSG00000211454.14	False	No loops
ENSG00000162482.5	False	No loops
ENSG00000077549.18	False	No loops
ENSG00000173436.15	False	No loops
ENSG00000158748.4	False	No loops
ENSG00000162542.13	False	No loops
ENSG00000188784.4	False	No loops
ENSG00000227066.2	False	No loops
ENSG00000187980.6	False	No loops
ENSG00000284641.1	False	No loops
ENSG00000284743.1	False	No loops
ENSG00000162545.6	False	No loops
ENSG00000215520.3	False	No loops
ENSG00000158828.8	False	No loops
ENSG00000284005.1	False	No loops
ENSG00000117242.7	False	No loops
ENSG00000235432.1	False	No loops
ENSG00000221808.1	False	No loops
ENSG00000233072.1	False	No loops
ENSG00000287192.1	False	No loops
ENSG00000236936.1	False	No loops
ENSG00000162552.15	False	No loops
ENSG00000285873.1	False	No loops
ENSG00000184677.18	False	No loops
ENSG00000276835.2	False	No loops
ENSG00000173372.17	False	No loops
ENSG00000159189.12	False	No loops
ENSG00000173369.16	False	No loops
ENSG00000133216.16	True	Not rejected
ENSG00000179546.4	False	No loops
ENSG00000230023.2	True	Not rejected
ENSG00000239106.1	True	Not rejected
ENSG00000133226.17	True	Not rejected
ENSG00000231953.2	False	No loops
ENSG00000117614.10	False	No loops
ENSG00000117643.14	False	No loops
ENSG00000162430.17	False	No loops
ENSG00000255054.3	False	No loops
ENSG00000243905.3	False	No loops
ENSG00000252802.1	False	No loops
ENSG00000252429.2	False	No loops
ENSG00000060642.10	False	No loops
ENSG00000090020.11	False	No loops
ENSG00000243659.1	False	No loops
ENSG00000142748.12	False	No loop changes, multiple opposing enhancer changes
ENSG00000174950.11	False	No loop changes, multiple opposing enhancer changes
ENSG00000231207.1	False	No loop changes, multiple opposing enhancer changes
ENSG00000181773.7	False	No loop changes, multiple opposing enhancer changes
ENSG00000158195.11	False	No loop changes, multiple opposing enhancer changes
ENSG00000000938.13	False	No loop changes, multiple opposing enhancer changes
ENSG00000158161.16	False	No loops
ENSG00000238231.2	False	No loops
ENSG00000228589.3	False	No loops
ENSG00000126698.11	False	No loops
ENSG00000233427.1	True	Not rejected
ENSG00000199756.1	True	Not rejected
ENSG00000159023.21	True	Not rejected
ENSG00000277958.1	True	Not rejected
ENSG00000116353.16	True	Not rejected
ENSG00000237934.1	True	Not rejected
ENSG00000060656.20	True	Not rejected
ENSG00000162510.6	False	No loops
ENSG00000186056.10	False	No loops
ENSG00000266210.2	False	No loops
ENSG00000084628.10	False	No loops
ENSG00000229044.1	False	No loops
ENSG00000084636.18	False	No loops
ENSG00000254545.1	False	No loops
ENSG00000134668.12	False	No loops
ENSG00000284702.1	False	No loops
ENSG00000224333.1	False	No differential loops or enhancers
ENSG00000270850.1	False	No differential loops or enhancers
ENSG00000229259.1	False	No differential loops or enhancers
ENSG00000134684.10	False	No differential loops or enhancers
ENSG00000287691.1	False	No differential loops or enhancers
ENSG00000116514.16	False	No differential loops or enhancers
ENSG00000142920.17	False	No differential loops or enhancers
ENSG00000184389.9	True	Not rejected
ENSG00000225313.5	True	Not rejected
ENSG00000234512.1	True	Not rejected
ENSG00000189280.3	False	No differential loops or enhancers
ENSG00000189433.7	False	No loops
ENSG00000142687.18	False	No differential loops or enhancers
ENSG00000020129.16	False	No differential loops or enhancers
ENSG00000239636.1	False	No differential loops or enhancers
ENSG00000116819.8	False	No differential loops or enhancers
ENSG00000142686.8	False	No differential loops or enhancers
ENSG00000092853.14	False	No differential loops or enhancers
ENSG00000232335.1	False	No differential loops or enhancers
ENSG00000171812.13	True	Not rejected
ENSG00000116871.15	False	No loops
ENSG00000222821.1	True	Not rejected
ENSG00000116885.18	True	Not rejected
ENSG00000201448.1	True	Not rejected
ENSG00000163874.11	False	No differential loops or enhancers
ENSG00000283724.1	False	No differential loops or enhancers
ENSG00000116922.14	False	No differential loops or enhancers
ENSG00000185668.8	False	No loops
ENSG00000224592.5	False	No loops
ENSG00000116954.8	False	No loops
ENSG00000273637.1	False	No loops
ENSG00000127603.28	False	No loops
ENSG00000226438.1	False	No loops
ENSG00000228477.1	False	No loop changes, multiple opposing enhancer changes
ENSG00000226745.2	False	No loops
ENSG00000117000.9	False	No loops
ENSG00000227311.3	False	No loops
ENSG00000233118.2	False	No loops
