Iteration	Median_Both_DGE_Enhns	Median_Some_NonDGE_Enhns	log2FC
0	21	22	-0.06711419585853691
1	26	22	0.24100809950379498
2	35	22	0.6698513983076692
3	27	22	0.2954558835261713
4	23	22	0.06413033741971556
5	8	22	-1.4594316186372973
6	22	22	0.0
7	39	22	0.8259706002249511
8	15	22	-0.5525410230287788
9	38	22	0.7884958948062882
10	4	22	-2.4594316186372973
11	32	22	0.5405683813627028
12	21	22	-0.06711419585853691
13	12	22	-0.8744691179161412
14	33	22	0.5849625007211562
15	27	22	0.2954558835261713
16	26	22	0.24100809950379498
17	27	22	0.2954558835261713
18	35	22	0.6698513983076692
19	11	22	-1.0
20	35	22	0.6698513983076692
21	35	22	0.6698513983076692
22	8	22	-1.4594316186372973
23	45	22	1.0324214776923775
24	21	22	-0.06711419585853691
25	18	22	-0.2895066171949848
26	30	22	0.44745897697122117
27	21	22	-0.06711419585853691
28	11	22	-1.0
29	29	22	0.3985493764902748
30	16	22	-0.4594316186372972
31	22	22	0.0
32	15	22	-0.5525410230287788
33	25	22	0.18442457113742758
34	32	22	0.5405683813627028
35	25	22	0.18442457113742758
36	38	22	0.7884958948062882
37	18	22	-0.2895066171949848
38	22	22	0.0
39	30	22	0.44745897697122117
40	8	22	-1.4594316186372973
41	28	22	0.3479233034203068
42	35	22	0.6698513983076692
43	25	22	0.18442457113742758
44	30	22	0.44745897697122117
45	2	22	-3.4594316186372973
46	25	22	0.18442457113742758
47	26	22	0.24100809950379498
48	26	22	0.24100809950379498
49	38	22	0.7884958948062882
50	18	22	-0.2895066171949848
51	25	22	0.18442457113742758
52	32	22	0.5405683813627028
53	29	22	0.3985493764902748
54	38	22	0.7884958948062882
55	36	22	0.7104933828050152
56	5	22	-2.137503523749935
57	20	22	-0.13750352374993496
58	36	22	0.7104933828050152
59	35	22	0.6698513983076692
60	25	22	0.18442457113742758
61	21	22	-0.06711419585853691
62	25	22	0.18442457113742758
63	27	22	0.2954558835261713
64	8	22	-1.4594316186372973
65	26	22	0.24100809950379498
66	15	22	-0.5525410230287788
67	31	22	0.49476469174957804
68	21	22	-0.06711419585853691
69	25	22	0.18442457113742758
70	26	22	0.24100809950379498
71	29	22	0.3985493764902748
72	21	22	-0.06711419585853691
73	28	22	0.3479233034203068
74	35	22	0.6698513983076692
75	26	22	0.24100809950379498
76	35	22	0.6698513983076692
77	15	22	-0.5525410230287788
78	29	22	0.3985493764902748
79	28	22	0.3479233034203068
80	24	22	0.12553088208385882
81	22	22	0.0
82	42	22	0.932885804141463
83	25	22	0.18442457113742758
84	6	22	-1.8744691179161412
85	18	22	-0.2895066171949848
86	23	22	0.06413033741971556
87	27	22	0.2954558835261713
88	30	22	0.44745897697122117
89	13	22	-0.758991900496205
90	20	22	-0.13750352374993496
91	21	22	-0.06711419585853691
92	15	22	-0.5525410230287788
93	24	22	0.12553088208385882
94	36	22	0.7104933828050152
95	32	22	0.5405683813627028
96	22	22	0.0
97	38	22	0.7884958948062882
98	10	22	-1.137503523749935
99	35	22	0.6698513983076692
100	21	22	-0.06711419585853691
101	30	22	0.44745897697122117
102	21	22	-0.06711419585853691
103	25	22	0.18442457113742758
104	25	22	0.18442457113742758
105	39	22	0.8259706002249511
106	13	22	-0.758991900496205
107	27	22	0.2954558835261713
108	9	22	-1.2895066171949847
109	21	22	-0.06711419585853691
110	27	22	0.2954558835261713
111	10	22	-1.137503523749935
112	38	22	0.7884958948062882
113	11	22	-1.0
114	38	22	0.7884958948062882
115	18	22	-0.2895066171949848
116	33	22	0.5849625007211562
117	35	22	0.6698513983076692
118	10	22	-1.137503523749935
119	25	22	0.18442457113742758
120	8	22	-1.4594316186372973
121	21	22	-0.06711419585853691
122	41	22	0.8981203859807864
123	36	22	0.7104933828050152
124	29	22	0.3985493764902748
125	37	22	0.7500217469916526
126	23	22	0.06413033741971556
127	20	22	-0.13750352374993496
128	6	22	-1.8744691179161412
129	14	22	-0.6520766965796931
130	22	22	0.0
131	32	22	0.5405683813627028
132	38	22	0.7884958948062882
133	32	22	0.5405683813627028
134	25	22	0.18442457113742758
135	20	22	-0.13750352374993496
136	19	22	-0.21150410519371174
137	23	22	0.06413033741971556
138	38	22	0.7884958948062882
139	25	22	0.18442457113742758
140	25	22	0.18442457113742758
141	46	22	1.0641303374197155
142	23	22	0.06413033741971556
143	22	22	0.0
144	32	22	0.5405683813627028
145	18	22	-0.2895066171949848
146	21	22	-0.06711419585853691
147	27	22	0.2954558835261713
148	12	22	-0.8744691179161412
149	40	22	0.8624964762500651
150	22	22	0.0
151	25	22	0.18442457113742758
152	35	22	0.6698513983076692
153	25	22	0.18442457113742758
154	30	22	0.44745897697122117
155	21	22	-0.06711419585853691
156	18	22	-0.2895066171949848
157	21	22	-0.06711419585853691
158	18	22	-0.2895066171949848
159	38	22	0.7884958948062882
160	21	22	-0.06711419585853691
161	32	22	0.5405683813627028
162	21	22	-0.06711419585853691
163	21	22	-0.06711419585853691
164	30	22	0.44745897697122117
165	23	22	0.06413033741971556
166	23	22	0.06413033741971556
167	13	22	-0.758991900496205
168	12	22	-0.8744691179161412
169	21	22	-0.06711419585853691
170	21	22	-0.06711419585853691
171	9	22	-1.2895066171949847
172	15	22	-0.5525410230287788
173	21	22	-0.06711419585853691
174	20	22	-0.13750352374993496
175	26	22	0.24100809950379498
176	15	22	-0.5525410230287788
177	35	22	0.6698513983076692
178	14	22	-0.6520766965796931
179	30	22	0.44745897697122117
180	35	22	0.6698513983076692
181	38	22	0.7884958948062882
182	23	22	0.06413033741971556
183	29	22	0.3985493764902748
184	29	22	0.3985493764902748
185	39	22	0.8259706002249511
186	22	22	0.0
187	18	22	-0.2895066171949848
188	39	22	0.8259706002249511
189	12	22	-0.8744691179161412
190	2	22	-3.4594316186372973
191	21	22	-0.06711419585853691
192	9	22	-1.2895066171949847
193	15	22	-0.5525410230287788
194	12	22	-0.8744691179161412
195	20	22	-0.13750352374993496
196	23	22	0.06413033741971556
197	38	22	0.7884958948062882
198	10	22	-1.137503523749935
199	25	22	0.18442457113742758
200	27	22	0.2954558835261713
201	38	22	0.7884958948062882
